isic_id,split
ISIC_6828587,train
ISIC_6555618,train
ISIC_4407024,train
ISIC_5329118,train
ISIC_0779135,train
ISIC_5202235,train
ISIC_0612834,train
ISIC_3120592,train
ISIC_1594456,train
ISIC_1067985,train
ISIC_4153900,train
ISIC_1431332,train
ISIC_2460105,train
ISIC_9914240,train
ISIC_1903848,train
ISIC_8253326,train
ISIC_2913484,train
ISIC_5557806,train
ISIC_4037959,train
ISIC_7651944,train
ISIC_4818460,train
ISIC_0886519,train
ISIC_8606094,train
ISIC_3600799,train
ISIC_3608788,train
ISIC_7189455,train
ISIC_9723519,train
ISIC_1255700,train
ISIC_3939977,train
ISIC_4075338,train
ISIC_1595658,train
ISIC_4597011,train
ISIC_2221217,train
ISIC_6293244,train
ISIC_4612180,train
ISIC_7186677,train
ISIC_0897190,train
ISIC_4306724,train
ISIC_6242942,train
ISIC_7407847,train
ISIC_2583592,train
ISIC_0283506,train
ISIC_1778400,train
ISIC_6553041,train
ISIC_1578253,train
ISIC_6345354,train
ISIC_0224300,train
ISIC_1745816,train
ISIC_1228845,train
ISIC_8658037,train
ISIC_5457826,train
ISIC_9680433,train
ISIC_9189319,train
ISIC_1797927,train
ISIC_2215371,train
ISIC_3699927,train
ISIC_3055257,train
ISIC_8177391,train
ISIC_5226018,train
ISIC_2313297,train
ISIC_7185381,train
ISIC_5960641,train
ISIC_4057921,train
ISIC_6434344,train
ISIC_9508560,train
ISIC_1730477,train
ISIC_9815788,train
ISIC_8764464,train
ISIC_1737276,train
ISIC_6204286,train
ISIC_2863397,train
ISIC_3068575,train
ISIC_7225024,train
ISIC_0253516,train
ISIC_9806768,train
ISIC_7685920,train
ISIC_8445109,train
ISIC_5713942,train
ISIC_3376737,train
ISIC_9227653,train
ISIC_2730170,train
ISIC_8479913,train
ISIC_7483981,train
ISIC_0853430,train
ISIC_9546876,train
ISIC_7063629,train
ISIC_4107250,train
ISIC_1896191,train
ISIC_0350117,train
ISIC_2662644,train
ISIC_6917587,train
ISIC_3310739,train
ISIC_8790582,train
ISIC_5520553,train
ISIC_4580506,train
ISIC_7413149,train
ISIC_5682259,train
ISIC_2194936,train
ISIC_2052192,train
ISIC_8386990,train
ISIC_0248936,train
ISIC_2575480,train
ISIC_9143744,train
ISIC_4637479,train
ISIC_9633789,train
ISIC_6188196,train
ISIC_6482239,train
ISIC_6672885,train
ISIC_2203163,train
ISIC_0251149,train
ISIC_1072531,train
ISIC_8697426,train
ISIC_8922893,train
ISIC_3331982,train
ISIC_2612661,train
ISIC_3526122,train
ISIC_4662418,train
ISIC_6633906,train
ISIC_4219589,train
ISIC_4237327,train
ISIC_1833138,train
ISIC_3909259,train
ISIC_8821260,train
ISIC_5018298,train
ISIC_5576354,train
ISIC_2160145,train
ISIC_8302739,train
ISIC_1521135,train
ISIC_5667469,train
ISIC_5006135,train
ISIC_8033490,train
ISIC_7742740,train
ISIC_8231999,train
ISIC_8735133,train
ISIC_1410481,train
ISIC_2973595,train
ISIC_5451336,train
ISIC_4493028,train
ISIC_8889103,train
ISIC_1507583,train
ISIC_2766061,train
ISIC_0586396,train
ISIC_2137735,train
ISIC_9815806,train
ISIC_2779433,train
ISIC_3377082,train
ISIC_4851652,train
ISIC_2829017,train
ISIC_9535651,train
ISIC_9051856,train
ISIC_2108425,train
ISIC_1732527,train
ISIC_4564048,train
ISIC_7365889,train
ISIC_7578777,train
ISIC_5712974,train
ISIC_6814221,train
ISIC_2176112,train
ISIC_9329505,train
ISIC_1078707,train
ISIC_1195689,train
ISIC_2042483,train
ISIC_8925378,train
ISIC_1534800,train
ISIC_1044758,train
ISIC_5175564,train
ISIC_0744870,train
ISIC_9364994,train
ISIC_9789911,train
ISIC_3341278,train
ISIC_4670096,train
ISIC_7136995,train
ISIC_2968272,train
ISIC_9190018,train
ISIC_6538955,train
ISIC_4731117,train
ISIC_0692990,train
ISIC_1861662,train
ISIC_8573647,train
ISIC_8862858,train
ISIC_8635903,train
ISIC_2312766,train
ISIC_8479104,train
ISIC_0531490,train
ISIC_5591038,train
ISIC_4400664,train
ISIC_4072730,train
ISIC_1477534,train
ISIC_1154756,train
ISIC_3283934,train
ISIC_7603320,train
ISIC_4905111,train
ISIC_5662175,train
ISIC_2716425,train
ISIC_0516613,train
ISIC_1174017,train
ISIC_2293230,train
ISIC_6174933,train
ISIC_5247735,train
ISIC_5178031,train
ISIC_6985531,train
ISIC_0912291,train
ISIC_7579536,train
ISIC_3373578,train
ISIC_9177435,train
ISIC_7921335,train
ISIC_5733748,train
ISIC_1390987,train
ISIC_2853290,train
ISIC_5637105,train
ISIC_7780895,train
ISIC_0052212,train
ISIC_2511658,train
ISIC_2334293,train
ISIC_2649275,train
ISIC_2720790,train
ISIC_0649705,train
ISIC_5108076,train
ISIC_0464200,train
ISIC_0316656,train
ISIC_9333842,train
ISIC_7054957,train
ISIC_8959928,train
ISIC_3854244,train
ISIC_8987085,train
ISIC_1318137,train
ISIC_7473653,train
ISIC_2281984,train
ISIC_7143533,train
ISIC_9044368,train
ISIC_0495405,train
ISIC_1969322,train
ISIC_9899912,train
ISIC_6003763,train
ISIC_3975660,train
ISIC_9749362,train
ISIC_9673791,train
ISIC_5977230,train
ISIC_0354123,train
ISIC_8421394,train
ISIC_9580101,train
ISIC_6952652,train
ISIC_9433232,train
ISIC_2742674,train
ISIC_8618260,train
ISIC_6584847,train
ISIC_8013225,train
ISIC_2754616,train
ISIC_7357436,train
ISIC_7981097,train
ISIC_8692634,train
ISIC_5065360,train
ISIC_0421041,train
ISIC_5170482,train
ISIC_1944659,train
ISIC_1928510,train
ISIC_6553951,train
ISIC_1539145,train
ISIC_8196660,train
ISIC_5561988,train
ISIC_9849018,train
ISIC_6352174,train
ISIC_6132725,train
ISIC_8842646,train
ISIC_8998299,train
ISIC_5357067,train
ISIC_1349353,train
ISIC_6790442,train
ISIC_5002738,train
ISIC_8128848,train
ISIC_5003862,train
ISIC_0541345,train
ISIC_7314034,train
ISIC_5856088,train
ISIC_3183794,train
ISIC_6245809,train
ISIC_6653780,train
ISIC_4012074,train
ISIC_9084914,train
ISIC_6515221,train
ISIC_2597975,train
ISIC_9024078,train
ISIC_1199920,train
ISIC_9960804,train
ISIC_7459465,train
ISIC_3074710,train
ISIC_3253484,train
ISIC_5340815,train
ISIC_1076554,train
ISIC_5453231,train
ISIC_7599444,train
ISIC_6306410,train
ISIC_9846081,train
ISIC_0404479,train
ISIC_5891099,train
ISIC_9168624,train
ISIC_3400972,train
ISIC_0786170,train
ISIC_1658780,train
ISIC_5546806,train
ISIC_7268592,train
ISIC_4434803,train
ISIC_0580054,train
ISIC_6869128,train
ISIC_4543944,train
ISIC_3646802,train
ISIC_9803747,train
ISIC_5301962,train
ISIC_3730172,train
ISIC_5325810,train
ISIC_5087951,train
ISIC_5467675,train
ISIC_3389696,train
ISIC_8910091,train
ISIC_3650598,train
ISIC_2362404,train
ISIC_0958701,train
ISIC_3978732,train
ISIC_4442983,train
ISIC_4034806,train
ISIC_8195729,train
ISIC_8899352,train
ISIC_3820602,train
ISIC_8600809,train
ISIC_0788453,train
ISIC_2975580,train
ISIC_5479774,train
ISIC_0922251,train
ISIC_7989119,train
ISIC_6573739,train
ISIC_1152648,train
ISIC_5310011,train
ISIC_7798403,train
ISIC_2930312,train
ISIC_5205468,train
ISIC_2932418,train
ISIC_8933226,train
ISIC_5413788,train
ISIC_2186828,train
ISIC_3846236,train
ISIC_9068039,train
ISIC_6723937,train
ISIC_0401522,train
ISIC_7225433,train
ISIC_3897881,train
ISIC_8276826,train
ISIC_4206035,train
ISIC_1368336,train
ISIC_3108147,train
ISIC_3881573,train
ISIC_9488163,train
ISIC_1774797,train
ISIC_2517258,train
ISIC_5009085,train
ISIC_2799004,train
ISIC_0084270,train
ISIC_2087446,train
ISIC_3939657,train
ISIC_4013189,train
ISIC_3135594,train
ISIC_6686804,train
ISIC_6329217,train
ISIC_2832584,train
ISIC_0772957,train
ISIC_4193253,train
ISIC_7155505,train
ISIC_6627659,train
ISIC_6183124,train
ISIC_2685593,train
ISIC_8145195,train
ISIC_8699796,train
ISIC_6603154,train
ISIC_2690733,train
ISIC_5506360,train
ISIC_6552552,train
ISIC_3262153,train
ISIC_8846065,train
ISIC_2618902,train
ISIC_5204992,train
ISIC_7711947,train
ISIC_4690506,train
ISIC_6486856,train
ISIC_7583134,train
ISIC_6461484,train
ISIC_5317565,train
ISIC_0798837,train
ISIC_1226868,train
ISIC_1326366,train
ISIC_4630228,train
ISIC_8671662,train
ISIC_4718313,train
ISIC_4910271,train
ISIC_0951915,train
ISIC_8523423,train
ISIC_1680153,train
ISIC_5299464,train
ISIC_7773473,train
ISIC_7849885,train
ISIC_5361404,train
ISIC_0736928,train
ISIC_8690631,train
ISIC_0420624,train
ISIC_2041385,train
ISIC_9227392,train
ISIC_7842845,train
ISIC_5976039,train
ISIC_5166636,train
ISIC_2405237,train
ISIC_5732980,train
ISIC_7821647,train
ISIC_7535412,train
ISIC_9048017,train
ISIC_3040088,train
ISIC_8712868,train
ISIC_6978997,train
ISIC_5442834,train
ISIC_4762702,train
ISIC_1406022,train
ISIC_5306841,train
ISIC_0165273,train
ISIC_1500139,train
ISIC_2748873,train
ISIC_5722813,train
ISIC_6855941,train
ISIC_5458166,train
ISIC_0273594,train
ISIC_7967108,train
ISIC_2102371,train
ISIC_0936865,train
ISIC_0781380,train
ISIC_0638468,train
ISIC_3567352,train
ISIC_3351694,train
ISIC_7259400,train
ISIC_3466777,train
ISIC_4035599,train
ISIC_0418519,train
ISIC_6916445,train
ISIC_4095559,train
ISIC_8258970,train
ISIC_1169724,train
ISIC_5441597,train
ISIC_8224371,train
ISIC_6162663,train
ISIC_9127934,train
ISIC_4243470,train
ISIC_1716135,train
ISIC_3359057,train
ISIC_7948461,train
ISIC_1927418,train
ISIC_2632587,train
ISIC_3123711,train
ISIC_9698498,train
ISIC_4732985,train
ISIC_9140498,train
ISIC_1155612,train
ISIC_9364585,train
ISIC_7212271,train
ISIC_5070664,train
ISIC_1304105,train
ISIC_3072143,train
ISIC_3655327,train
ISIC_7505369,train
ISIC_4205013,train
ISIC_5133804,train
ISIC_0616698,train
ISIC_5310880,train
ISIC_9286968,train
ISIC_3484988,train
ISIC_9278477,train
ISIC_4248273,train
ISIC_8843217,train
ISIC_9860895,train
ISIC_6407230,train
ISIC_1997692,train
ISIC_2216526,train
ISIC_7318464,train
ISIC_4980079,train
ISIC_6208708,train
ISIC_5775068,train
ISIC_8315128,train
ISIC_1565767,train
ISIC_5467082,train
ISIC_7112749,train
ISIC_2634743,train
ISIC_9777543,train
ISIC_1580022,train
ISIC_5400113,train
ISIC_1881546,train
ISIC_2203242,train
ISIC_1241817,train
ISIC_4932763,train
ISIC_1131588,train
ISIC_9099430,train
ISIC_4595741,train
ISIC_6048088,train
ISIC_4173783,train
ISIC_9161937,train
ISIC_0860318,train
ISIC_1686254,train
ISIC_9204678,train
ISIC_3315810,train
ISIC_4100532,train
ISIC_3924904,train
ISIC_9791275,train
ISIC_6773833,train
ISIC_5418861,train
ISIC_6092800,train
ISIC_2692366,train
ISIC_9094608,train
ISIC_0584566,train
ISIC_6559979,train
ISIC_0217057,train
ISIC_6504118,train
ISIC_5651319,train
ISIC_9649534,train
ISIC_0864527,train
ISIC_1480119,train
ISIC_7288895,train
ISIC_5349205,train
ISIC_0808108,train
ISIC_9013554,train
ISIC_1537141,train
ISIC_7570891,train
ISIC_0255796,train
ISIC_0911989,train
ISIC_9135390,train
ISIC_3427713,train
ISIC_2641026,train
ISIC_8097610,train
ISIC_4340428,train
ISIC_6498269,train
ISIC_8413593,train
ISIC_2721934,train
ISIC_9837324,train
ISIC_0729264,train
ISIC_9773404,train
ISIC_5945155,train
ISIC_6982776,train
ISIC_4581863,train
ISIC_1450273,train
ISIC_3251828,train
ISIC_4072073,train
ISIC_9752420,train
ISIC_9614763,train
ISIC_0520202,train
ISIC_5247560,train
ISIC_9813537,train
ISIC_1920685,train
ISIC_7181296,train
ISIC_5796081,train
ISIC_4513493,train
ISIC_9834463,train
ISIC_5248948,train
ISIC_2741962,train
ISIC_1612350,train
ISIC_8676622,train
ISIC_7576652,train
ISIC_0811783,train
ISIC_2199969,train
ISIC_9338524,train
ISIC_2316159,train
ISIC_0933821,train
ISIC_4693226,train
ISIC_2954564,train
ISIC_5527447,train
ISIC_1974777,train
ISIC_8059246,train
ISIC_7326704,train
ISIC_7852465,train
ISIC_2465834,train
ISIC_9904494,train
ISIC_2751294,train
ISIC_7351614,train
ISIC_4678962,train
ISIC_9136423,train
ISIC_2891694,train
ISIC_8443326,train
ISIC_3695190,train
ISIC_9050826,train
ISIC_7461756,train
ISIC_3782057,train
ISIC_6730455,train
ISIC_5336289,train
ISIC_6113248,train
ISIC_7253689,train
ISIC_7662847,train
ISIC_9087581,train
ISIC_5563844,train
ISIC_5714201,train
ISIC_5037785,train
ISIC_3635991,train
ISIC_8846817,train
ISIC_7964819,train
ISIC_1328417,train
ISIC_2357022,train
ISIC_4262925,train
ISIC_6549826,train
ISIC_4965795,train
ISIC_3427736,train
ISIC_5564757,train
ISIC_9995837,train
ISIC_2105312,train
ISIC_5527224,train
ISIC_5646135,train
ISIC_5627928,train
ISIC_2078787,train
ISIC_1370277,train
ISIC_6162437,train
ISIC_3802134,train
ISIC_3067885,train
ISIC_4289873,train
ISIC_6679922,train
ISIC_9514708,train
ISIC_3402778,train
ISIC_5687743,train
ISIC_5832440,train
ISIC_6892199,train
ISIC_0449405,train
ISIC_6326315,train
ISIC_6655888,train
ISIC_6584629,train
ISIC_2355513,train
ISIC_5767172,train
ISIC_2539218,train
ISIC_3917053,train
ISIC_2574197,train
ISIC_3858405,train
ISIC_8659639,train
ISIC_6378798,train
