epoch,image_id,severity,dataset,reid_rate,epsilon_beta0,success_rate,n_gaps,arm
10,test_01,Medium,chase,0.631179,90.0,0.676806,263,memory
10,test_02,Medium,chase,0.51087,219.0,0.576087,276,memory
10,test_03,Medium,chase,0.57619,221.5,0.647619,210,memory
10,test_04,Medium,chase,0.567766,132.0,0.556777,273,memory
10,test_05,Medium,chase,0.497992,134.5,0.550201,249,memory
10,test_06,Medium,chase,0.47619,97.5,0.520408,294,memory
10,test_07,Medium,chase,0.565737,157.0,0.569721,251,memory
10,test_08,Medium,chase,0.544715,303.0,0.573171,246,memory
20,test_01,Medium,chase,0.665399,102.5,0.703422,263,memory
20,test_02,Medium,chase,0.503623,167.0,0.539855,276,memory
20,test_03,Medium,chase,0.552381,172.0,0.604762,210,memory
20,test_04,Medium,chase,0.593407,157.0,0.578755,273,memory
20,test_05,Medium,chase,0.506024,99.5,0.546185,249,memory
20,test_06,Medium,chase,0.428571,63.0,0.459184,294,memory
20,test_07,Medium,chase,0.649402,226.0,0.649402,251,memory
20,test_08,Medium,chase,0.479675,228.0,0.443089,246,memory
30,test_01,Medium,chase,0.581749,40.0,0.581749,263,memory
30,test_02,Medium,chase,0.413043,93.0,0.423913,276,memory
30,test_03,Medium,chase,0.504762,58.5,0.52381,210,memory
30,test_04,Medium,chase,0.465201,56.5,0.443223,273,memory
30,test_05,Medium,chase,0.413655,42.5,0.429719,249,memory
30,test_06,Medium,chase,0.329932,33.0,0.340136,294,memory
30,test_07,Medium,chase,0.52988,77.0,0.50996,251,memory
30,test_08,Medium,chase,0.402439,96.0,0.390244,246,memory
40,test_01,Medium,chase,0.574144,45.0,0.589354,263,memory
40,test_02,Medium,chase,0.442029,79.0,0.427536,276,memory
40,test_03,Medium,chase,0.47619,47.5,0.533333,210,memory
40,test_04,Medium,chase,0.472527,54.5,0.468864,273,memory
40,test_05,Medium,chase,0.413655,47.5,0.417671,249,memory
40,test_06,Medium,chase,0.272109,33.0,0.272109,294,memory
40,test_07,Medium,chase,0.601594,119.0,0.577689,251,memory
40,test_08,Medium,chase,0.357724,60.5,0.325203,246,memory
50,test_01,Medium,chase,0.604563,55.5,0.631179,263,memory
50,test_02,Medium,chase,0.496377,88.0,0.485507,276,memory
50,test_03,Medium,chase,0.514286,64.5,0.528571,210,memory
50,test_04,Medium,chase,0.527473,66.0,0.509158,273,memory
50,test_05,Medium,chase,0.51004,50.0,0.522088,249,memory
50,test_06,Medium,chase,0.387755,30.25,0.414966,294,memory
50,test_07,Medium,chase,0.633466,114.0,0.59761,251,memory
50,test_08,Medium,chase,0.45935,68.5,0.45122,246,memory
60,test_01,Medium,chase,0.570342,37.5,0.585551,263,memory
60,test_02,Medium,chase,0.467391,65.0,0.460145,276,memory
60,test_03,Medium,chase,0.5,44.0,0.495238,210,memory
60,test_04,Medium,chase,0.479853,48.0,0.465201,273,memory
60,test_05,Medium,chase,0.461847,32.5,0.457831,249,memory
60,test_06,Medium,chase,0.360544,25.25,0.353741,294,memory
60,test_07,Medium,chase,0.589641,96.0,0.561753,251,memory
60,test_08,Medium,chase,0.430894,67.5,0.410569,246,memory
70,test_01,Medium,chase,0.596958,52.5,0.619772,263,memory
70,test_02,Medium,chase,0.485507,85.0,0.496377,276,memory
70,test_03,Medium,chase,0.495238,48.0,0.5,210,memory
70,test_04,Medium,chase,0.512821,50.0,0.490842,273,memory
70,test_05,Medium,chase,0.481928,41.0,0.477912,249,memory
70,test_06,Medium,chase,0.343537,28.25,0.357143,294,memory
70,test_07,Medium,chase,0.59761,115.0,0.557769,251,memory
70,test_08,Medium,chase,0.422764,72.5,0.398374,246,memory
80,test_01,Medium,chase,0.581749,69.0,0.612167,263,memory
80,test_02,Medium,chase,0.525362,139.0,0.507246,276,memory
80,test_03,Medium,chase,0.495238,56.5,0.519048,210,memory
80,test_04,Medium,chase,0.542125,65.5,0.509158,273,memory
80,test_05,Medium,chase,0.473896,58.0,0.477912,249,memory
80,test_06,Medium,chase,0.384354,32.0,0.408163,294,memory
80,test_07,Medium,chase,0.59761,126.0,0.557769,251,memory
80,test_08,Medium,chase,0.48374,85.5,0.45122,246,memory
