pair,feature_group,auroc_mean,auroc_std,n_id,n_ood
NIH_vs_VinDr,all_43dim,0.8963,0.0051,300,300
NIH_vs_VinDr,hist32,0.794,0.0057,300,300
NIH_vs_VinDr,edge_ratio,0.5947,0.0035,300,300
NIH_vs_VinDr,glcm,0.8085,0.0026,300,300
NIH_vs_VinDr,stats,0.7493,0.0028,300,300
NIH_vs_VinDr,fft_ratio,0.5266,0.0025,300,300
NIH_vs_RSNA_normal,all_43dim,0.6401,0.0136,300,300
NIH_vs_RSNA_normal,hist32,0.5619,0.0198,300,300
NIH_vs_RSNA_normal,edge_ratio,0.5425,0.0027,300,300
NIH_vs_RSNA_normal,glcm,0.5983,0.0056,300,300
NIH_vs_RSNA_normal,stats,0.5435,0.0013,300,300
NIH_vs_RSNA_normal,fft_ratio,0.5948,0.0034,300,300
BraTS_normal_vs_BrainTumor_normal,all_43dim,0.9997,0.0001,300,300
BraTS_normal_vs_BrainTumor_normal,hist32,0.9979,0.0003,300,300
BraTS_normal_vs_BrainTumor_normal,edge_ratio,0.9551,0.0008,300,300
BraTS_normal_vs_BrainTumor_normal,glcm,0.9987,0.0001,300,300
BraTS_normal_vs_BrainTumor_normal,stats,0.9921,0.0006,300,300
BraTS_normal_vs_BrainTumor_normal,fft_ratio,0.9798,0.0005,300,300
HAM_NV_vs_ISIC2020_benign,all_43dim,0.8157,0.0108,300,300
HAM_NV_vs_ISIC2020_benign,hist32,0.8007,0.0078,300,300
HAM_NV_vs_ISIC2020_benign,edge_ratio,0.5199,0.0005,300,300
HAM_NV_vs_ISIC2020_benign,glcm,0.6903,0.0054,300,300
HAM_NV_vs_ISIC2020_benign,stats,0.7367,0.0019,300,300
HAM_NV_vs_ISIC2020_benign,fft_ratio,0.4851,0.0014,300,300
VinDr_CXR_vs_RSNA_normal,all_43dim,0.9074,0.0032,300,300
VinDr_CXR_vs_RSNA_normal,hist32,0.7837,0.0085,300,300
VinDr_CXR_vs_RSNA_normal,edge_ratio,0.5482,0.0038,300,300
VinDr_CXR_vs_RSNA_normal,glcm,0.7809,0.0023,300,300
VinDr_CXR_vs_RSNA_normal,stats,0.7583,0.0028,300,300
VinDr_CXR_vs_RSNA_normal,fft_ratio,0.5463,0.0014,300,300
HAM_NV_vs_Fitzpatrick_NV,all_43dim,0.991,0.0029,300,300
HAM_NV_vs_Fitzpatrick_NV,hist32,0.959,0.0035,300,300
HAM_NV_vs_Fitzpatrick_NV,edge_ratio,0.9748,0.0008,300,300
HAM_NV_vs_Fitzpatrick_NV,glcm,0.9527,0.002,300,300
HAM_NV_vs_Fitzpatrick_NV,stats,0.9447,0.0015,300,300
HAM_NV_vs_Fitzpatrick_NV,fft_ratio,0.9115,0.0008,300,300
ISIC2020_benign_vs_PAD_UFES_NEV,all_43dim,0.8055,0.0097,300,244
ISIC2020_benign_vs_PAD_UFES_NEV,hist32,0.7946,0.0089,300,244
ISIC2020_benign_vs_PAD_UFES_NEV,edge_ratio,0.4951,0.0015,300,244
ISIC2020_benign_vs_PAD_UFES_NEV,glcm,0.6917,0.0017,300,244
ISIC2020_benign_vs_PAD_UFES_NEV,stats,0.7816,0.0025,300,244
ISIC2020_benign_vs_PAD_UFES_NEV,fft_ratio,0.6611,0.0035,300,244
