pair,method,subset,raw_auroc,clean_auroc,delta_drop,actual_rank_by_drop,hypothesis_rank,ci1_spearman,ci1_ci_lower,ci1_ci_upper,ci1_upper_lt_0.7,ci1_top1_dropped,ci2_mech_spearman,ci2_mech_match_gte_0.5,a4_verdict
NIH_vs_VinDr,ViM,cleanC,0.8407,0.7557,0.085,1,3,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,Residual,cleanC,0.8407,0.7557,0.085,2,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,KNN,cleanC,0.6575,0.5964,0.0611,3,2,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,SHE,cleanC,0.5731,0.5187,0.0544,4,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,ODIN,cleanC,0.6516,0.5974,0.0542,5,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,MSP,cleanC,0.6516,0.5975,0.0541,6,4,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,MDS,cleanC,0.4592,0.4234,0.0358,7,1,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,Energy,cleanC,0.5832,0.554,0.0292,8,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,ASH,cleanC,0.5771,0.5487,0.0284,9,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,NNGuide,cleanC,0.6006,0.5741,0.0265,10,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,DICE,cleanC,0.5823,0.5579,0.0244,11,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,fDBD,cleanC,0.3985,0.4122,-0.0137,12,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_VinDr,GradNorm,cleanC,0.422,0.4702,-0.0482,13,N/A,0.9725,0.8492,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_RSNA_normal,MSP,cleanC,0.6827,0.6298,0.0529,1,4,0.967,0.8324,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_RSNA_normal,ODIN,cleanC,0.6827,0.6298,0.0529,2,N/A,0.967,0.8324,1.0,0,0,-0.4,0,A-4 FAIL
NIH_vs_RSNA_normal,Energy,cleanC,0.685,0.64,0.045,3,N/A,0.967,0.8324,1.0,0,0,-0.4,0,A-4 FAIL
