path,dataset,modality,split,label,pair_role
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00022386_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00010547_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00004871_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00030346_003.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00027464_016.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00013890_018.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00001700_001.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00021123_002.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00004145_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00017406_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00001718_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00016943_007.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00017044_011.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00015548_001.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00015826_034.png,NIH_CXR14,CXR,all,normal,cross_source_id
D:\YJ-Agent\project\meeting\Med-NCA\NCA-JEPA\data\nih_cxr14\images-224\images-224\00015789_000.png,NIH_CXR14,CXR,all,normal,cross_source_id
