pair,subset,method,rank,auroc
NIH_vs_VinDr,cleanA,ViM,1,0.8277
NIH_vs_VinDr,cleanA,KNN,2,0.6124
NIH_vs_VinDr,cleanA,ODIN,3,0.5515
NIH_vs_VinDr,cleanA,MSP,4,0.5505
NIH_vs_VinDr,cleanA,Energy,5,0.5306
NIH_vs_VinDr,cleanA,GradNorm,6,0.4897
NIH_vs_VinDr,cleanA,MDS,7,0.4837
NIH_vs_RSNA_normal,cleanA,ViM,1,0.9942
NIH_vs_RSNA_normal,cleanA,Energy,2,0.631
NIH_vs_RSNA_normal,cleanA,ODIN,3,0.6065
NIH_vs_RSNA_normal,cleanA,MSP,4,0.605
NIH_vs_RSNA_normal,cleanA,MDS,5,0.5014
NIH_vs_RSNA_normal,cleanA,KNN,6,0.4221
NIH_vs_RSNA_normal,cleanA,GradNorm,7,0.383
BraTS_normal_vs_BrainTumor_normal,cleanA,GradNorm,1,0.5469
BraTS_normal_vs_BrainTumor_normal,cleanA,MSP,2,0.5037
BraTS_normal_vs_BrainTumor_normal,cleanA,ODIN,3,0.4814
BraTS_normal_vs_BrainTumor_normal,cleanA,Energy,4,0.4652
BraTS_normal_vs_BrainTumor_normal,cleanA,KNN,5,0.454
BraTS_normal_vs_BrainTumor_normal,cleanA,MDS,6,0.4063
BraTS_normal_vs_BrainTumor_normal,cleanA,ViM,7,0.3852
HAM_NV_vs_ISIC2020_benign,cleanA,ViM,1,0.7323
HAM_NV_vs_ISIC2020_benign,cleanA,GradNorm,2,0.5324
HAM_NV_vs_ISIC2020_benign,cleanA,KNN,3,0.5079
HAM_NV_vs_ISIC2020_benign,cleanA,MSP,4,0.5021
HAM_NV_vs_ISIC2020_benign,cleanA,ODIN,5,0.4925
HAM_NV_vs_ISIC2020_benign,cleanA,Energy,6,0.4795
HAM_NV_vs_ISIC2020_benign,cleanA,MDS,7,0.4392
