pair,subset,method,rank,auroc
NIH_vs_VinDr,cleanB,ViM,1,1.0
NIH_vs_VinDr,cleanB,KNN,2,0.7033
NIH_vs_VinDr,cleanB,MSP,3,0.6577
NIH_vs_VinDr,cleanB,ODIN,4,0.6577
NIH_vs_VinDr,cleanB,Energy,5,0.5931
NIH_vs_VinDr,cleanB,MDS,6,0.4542
NIH_vs_VinDr,cleanB,GradNorm,7,0.4241
NIH_vs_RSNA_normal,cleanB,ViM,1,1.0
NIH_vs_RSNA_normal,cleanB,Energy,2,0.6916
NIH_vs_RSNA_normal,cleanB,MSP,3,0.686
NIH_vs_RSNA_normal,cleanB,ODIN,4,0.686
NIH_vs_RSNA_normal,cleanB,MDS,5,0.5078
NIH_vs_RSNA_normal,cleanB,KNN,6,0.3368
NIH_vs_RSNA_normal,cleanB,GradNorm,7,0.3227
BraTS_normal_vs_BrainTumor_normal,cleanB,ViM,1,1.0
BraTS_normal_vs_BrainTumor_normal,cleanB,MDS,2,0.9771
BraTS_normal_vs_BrainTumor_normal,cleanB,KNN,3,0.977
BraTS_normal_vs_BrainTumor_normal,cleanB,Energy,4,0.7673
BraTS_normal_vs_BrainTumor_normal,cleanB,ODIN,5,0.7555
BraTS_normal_vs_BrainTumor_normal,cleanB,MSP,6,0.7554
BraTS_normal_vs_BrainTumor_normal,cleanB,GradNorm,7,0.4474
HAM_NV_vs_ISIC2020_benign,cleanB,ViM,1,1.0
HAM_NV_vs_ISIC2020_benign,cleanB,KNN,2,0.739
HAM_NV_vs_ISIC2020_benign,cleanB,MDS,3,0.7384
HAM_NV_vs_ISIC2020_benign,cleanB,Energy,4,0.5775
HAM_NV_vs_ISIC2020_benign,cleanB,ODIN,5,0.5667
HAM_NV_vs_ISIC2020_benign,cleanB,MSP,6,0.5667
HAM_NV_vs_ISIC2020_benign,cleanB,GradNorm,7,0.3992
