pair,subset,method,rank,auroc
NIH_vs_VinDr,cleanB,ViM,1,0.8446
NIH_vs_VinDr,cleanB,Residual,2,0.8446
NIH_vs_VinDr,cleanB,KNN,3,0.6845
NIH_vs_VinDr,cleanB,MSP,4,0.6479
NIH_vs_VinDr,cleanB,ODIN,5,0.6479
NIH_vs_VinDr,cleanB,NNGuide,6,0.592
NIH_vs_VinDr,cleanB,SHE,7,0.5818
NIH_vs_VinDr,cleanB,Energy,8,0.5744
NIH_vs_VinDr,cleanB,DICE,9,0.5718
NIH_vs_VinDr,cleanB,ASH,10,0.5705
NIH_vs_VinDr,cleanB,MDS,11,0.4714
NIH_vs_VinDr,cleanB,GradNorm,12,0.4395
NIH_vs_VinDr,cleanB,fDBD,13,0.4044
NIH_vs_RSNA_normal,cleanB,ASH,1,0.6805
NIH_vs_RSNA_normal,cleanB,ODIN,2,0.6803
NIH_vs_RSNA_normal,cleanB,MSP,3,0.6803
NIH_vs_RSNA_normal,cleanB,Energy,4,0.6791
NIH_vs_RSNA_normal,cleanB,NNGuide,5,0.6776
NIH_vs_RSNA_normal,cleanB,DICE,6,0.6764
NIH_vs_RSNA_normal,cleanB,MDS,7,0.5138
NIH_vs_RSNA_normal,cleanB,ViM,8,0.4189
NIH_vs_RSNA_normal,cleanB,Residual,9,0.4189
NIH_vs_RSNA_normal,cleanB,SHE,10,0.3521
NIH_vs_RSNA_normal,cleanB,KNN,11,0.3386
NIH_vs_RSNA_normal,cleanB,GradNorm,12,0.3314
NIH_vs_RSNA_normal,cleanB,fDBD,13,0.3229
BraTS_normal_vs_BrainTumor_normal,cleanB,ViM,1,0.9967
BraTS_normal_vs_BrainTumor_normal,cleanB,Residual,2,0.9967
BraTS_normal_vs_BrainTumor_normal,cleanB,MDS,3,0.9725
BraTS_normal_vs_BrainTumor_normal,cleanB,KNN,4,0.9658
BraTS_normal_vs_BrainTumor_normal,cleanB,SHE,5,0.9481
BraTS_normal_vs_BrainTumor_normal,cleanB,ASH,6,0.7777
BraTS_normal_vs_BrainTumor_normal,cleanB,Energy,7,0.7673
BraTS_normal_vs_BrainTumor_normal,cleanB,ODIN,8,0.7514
BraTS_normal_vs_BrainTumor_normal,cleanB,MSP,9,0.7513
BraTS_normal_vs_BrainTumor_normal,cleanB,NNGuide,10,0.7466
BraTS_normal_vs_BrainTumor_normal,cleanB,DICE,11,0.5289
BraTS_normal_vs_BrainTumor_normal,cleanB,fDBD,12,0.4902
BraTS_normal_vs_BrainTumor_normal,cleanB,GradNorm,13,0.4559
HAM_NV_vs_ISIC2020_benign,cleanB,SHE,1,0.7602
HAM_NV_vs_ISIC2020_benign,cleanB,ViM,2,0.7532
HAM_NV_vs_ISIC2020_benign,cleanB,Residual,3,0.7532
HAM_NV_vs_ISIC2020_benign,cleanB,KNN,4,0.7509
HAM_NV_vs_ISIC2020_benign,cleanB,MDS,5,0.7095
HAM_NV_vs_ISIC2020_benign,cleanB,fDBD,6,0.6002
HAM_NV_vs_ISIC2020_benign,cleanB,DICE,7,0.5969
HAM_NV_vs_ISIC2020_benign,cleanB,ASH,8,0.5916
HAM_NV_vs_ISIC2020_benign,cleanB,Energy,9,0.5892
HAM_NV_vs_ISIC2020_benign,cleanB,ODIN,10,0.5811
HAM_NV_vs_ISIC2020_benign,cleanB,MSP,11,0.5811
HAM_NV_vs_ISIC2020_benign,cleanB,NNGuide,12,0.5468
HAM_NV_vs_ISIC2020_benign,cleanB,GradNorm,13,0.4177
VinDr_CXR_vs_RSNA_normal,cleanB,ViM,1,0.7838
VinDr_CXR_vs_RSNA_normal,cleanB,Residual,2,0.7838
VinDr_CXR_vs_RSNA_normal,cleanB,MDS,3,0.7077
VinDr_CXR_vs_RSNA_normal,cleanB,NNGuide,4,0.6508
VinDr_CXR_vs_RSNA_normal,cleanB,ASH,5,0.6486
VinDr_CXR_vs_RSNA_normal,cleanB,Energy,6,0.6396
VinDr_CXR_vs_RSNA_normal,cleanB,KNN,7,0.6273
VinDr_CXR_vs_RSNA_normal,cleanB,SHE,8,0.6039
VinDr_CXR_vs_RSNA_normal,cleanB,DICE,9,0.5658
VinDr_CXR_vs_RSNA_normal,cleanB,fDBD,10,0.5284
VinDr_CXR_vs_RSNA_normal,cleanB,MSP,11,0.5085
VinDr_CXR_vs_RSNA_normal,cleanB,ODIN,12,0.5085
VinDr_CXR_vs_RSNA_normal,cleanB,GradNorm,13,0.3618
HAM_NV_vs_fitzpatrick17k,cleanB,ViM,1,0.9112
HAM_NV_vs_fitzpatrick17k,cleanB,Residual,2,0.9112
HAM_NV_vs_fitzpatrick17k,cleanB,KNN,3,0.825
HAM_NV_vs_fitzpatrick17k,cleanB,MDS,4,0.8139
HAM_NV_vs_fitzpatrick17k,cleanB,SHE,5,0.8062
HAM_NV_vs_fitzpatrick17k,cleanB,Energy,6,0.6997
HAM_NV_vs_fitzpatrick17k,cleanB,MSP,7,0.6885
HAM_NV_vs_fitzpatrick17k,cleanB,ODIN,8,0.6883
HAM_NV_vs_fitzpatrick17k,cleanB,ASH,9,0.6872
HAM_NV_vs_fitzpatrick17k,cleanB,NNGuide,10,0.637
HAM_NV_vs_fitzpatrick17k,cleanB,fDBD,11,0.6125
HAM_NV_vs_fitzpatrick17k,cleanB,DICE,12,0.4262
HAM_NV_vs_fitzpatrick17k,cleanB,GradNorm,13,0.2778
ISIC2020_benign_vs_PAD_UFES,cleanB,ViM,1,0.782
ISIC2020_benign_vs_PAD_UFES,cleanB,Residual,2,0.782
ISIC2020_benign_vs_PAD_UFES,cleanB,KNN,3,0.776
ISIC2020_benign_vs_PAD_UFES,cleanB,SHE,4,0.6826
ISIC2020_benign_vs_PAD_UFES,cleanB,GradNorm,5,0.6064
ISIC2020_benign_vs_PAD_UFES,cleanB,MDS,6,0.582
ISIC2020_benign_vs_PAD_UFES,cleanB,fDBD,7,0.5775
ISIC2020_benign_vs_PAD_UFES,cleanB,ODIN,8,0.5128
ISIC2020_benign_vs_PAD_UFES,cleanB,MSP,9,0.5128
ISIC2020_benign_vs_PAD_UFES,cleanB,Energy,10,0.5031
ISIC2020_benign_vs_PAD_UFES,cleanB,ASH,11,0.4983
ISIC2020_benign_vs_PAD_UFES,cleanB,DICE,12,0.4578
ISIC2020_benign_vs_PAD_UFES,cleanB,NNGuide,13,0.3848
