pair,subset,method,rank,auroc,n_matched
NIH_vs_VinDr,cleanC,ViM,1,1.0,156
NIH_vs_VinDr,cleanC,ODIN,2,0.5943,156
NIH_vs_VinDr,cleanC,MSP,3,0.5943,156
NIH_vs_VinDr,cleanC,KNN,4,0.5484,156
NIH_vs_VinDr,cleanC,Energy,5,0.5344,156
NIH_vs_VinDr,cleanC,GradNorm,6,0.4906,156
NIH_vs_VinDr,cleanC,MDS,7,0.4084,156
NIH_vs_RSNA_normal,cleanC,ViM,1,1.0,382
NIH_vs_RSNA_normal,cleanC,Energy,2,0.6464,382
NIH_vs_RSNA_normal,cleanC,MSP,3,0.6404,382
NIH_vs_RSNA_normal,cleanC,ODIN,4,0.6403,382
NIH_vs_RSNA_normal,cleanC,MDS,5,0.4532,382
NIH_vs_RSNA_normal,cleanC,KNN,6,0.3832,382
NIH_vs_RSNA_normal,cleanC,GradNorm,7,0.373,382
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,MSP,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,ODIN,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,Energy,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,MDS,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,KNN,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,ViM,-1,nan,6
BraTS_normal_vs_BrainTumor_normal,cleanC_INSUF,GradNorm,-1,nan,6
HAM_NV_vs_ISIC2020_benign,cleanC,ViM,1,1.0,228
HAM_NV_vs_ISIC2020_benign,cleanC,GradNorm,2,0.5337,228
HAM_NV_vs_ISIC2020_benign,cleanC,KNN,3,0.5314,228
HAM_NV_vs_ISIC2020_benign,cleanC,MDS,4,0.4981,228
HAM_NV_vs_ISIC2020_benign,cleanC,ODIN,5,0.4888,228
HAM_NV_vs_ISIC2020_benign,cleanC,MSP,6,0.4887,228
HAM_NV_vs_ISIC2020_benign,cleanC,Energy,7,0.4879,228
