pair,idx,label,msp_score,odin_score,energy_score,mds_score,knn_score,vim_score,gradnorm_score,residual_score,she_score,nnguide_score,fdbd_score,dice_score,ash_score
NIH_vs_VinDr,0,0,0.850349,0.500434,1.145609,89055.875,0.463249,1.760443,0.060941,1e-06,-0.795264,1.268628,4.050956,-0.77387,-0.093302
NIH_vs_VinDr,1,0,0.876147,0.500489,1.005733,61556.128906,0.487085,1.893122,0.094299,1e-06,-0.850015,1.123451,3.243007,-0.843299,-0.143667
NIH_vs_VinDr,2,0,0.866965,0.500469,0.522499,64732.167969,0.584363,2.269938,0.232547,1e-06,-0.856949,0.61569,5.725407,-0.905984,-0.601742
NIH_vs_VinDr,3,0,0.526283,0.500027,-1.11104,95311.710938,0.795214,2.809587,0.486698,1e-06,-0.677999,-1.57515,126.413521,-1.765059,-1.769863
NIH_vs_VinDr,4,0,0.024715,0.499081,-3.837068,229788.9375,0.735246,4.902837,0.272792,2e-06,-0.568889,-5.085932,48.708557,-2.935079,-4.28801
NIH_vs_VinDr,5,0,0.875156,0.500487,1.417553,104339.484375,0.454588,1.952388,0.048901,1e-06,-0.814044,1.565805,3.52914,-0.701791,0.112602
NIH_vs_VinDr,6,0,0.902576,0.500557,0.890332,89625.5,0.748057,3.175992,0.2068,2e-06,-0.707444,1.192895,5.25562,-0.819213,0.037481
NIH_vs_VinDr,7,0,0.876584,0.50049,1.701926,187583.65625,0.471169,2.414349,0.021684,1e-06,-0.778424,1.890612,4.447314,-0.510504,0.390065
NIH_vs_VinDr,8,0,0.935754,0.50067,1.372437,103145.851562,0.607943,1.797988,0.103699,1e-06,-0.831012,1.639428,3.563306,-0.66315,0.175086
NIH_vs_VinDr,9,0,0.859328,0.500452,1.057024,64735.578125,0.470434,1.733404,0.068855,1e-06,-0.858813,1.176382,3.255074,-0.714335,-0.188298
NIH_vs_VinDr,10,0,0.775519,0.50031,-0.147598,43279.410156,0.614018,1.681269,0.445162,1e-06,-0.855421,-0.179164,6.782301,-1.410712,-1.176792
NIH_vs_VinDr,11,0,0.600946,0.500103,-0.042859,76985.515625,0.673117,2.013152,0.312895,1e-06,-0.800075,-0.053403,25.00502,-1.291857,-0.811979
NIH_vs_VinDr,12,0,0.849055,0.500432,1.192084,119469.054688,0.603415,2.213336,0.074117,1e-06,-0.836449,1.427363,4.273878,-0.502263,-0.082037
NIH_vs_VinDr,13,0,0.890187,0.500523,1.423377,94209.351562,0.463451,1.998872,0.061585,1e-06,-0.845711,1.582173,3.238075,-0.743025,-0.019424
NIH_vs_VinDr,14,0,0.809002,0.500361,0.444778,26970.779297,0.616325,1.410421,0.309155,1e-06,-0.889481,0.533523,4.972962,-0.977045,-0.55267
NIH_vs_VinDr,15,0,0.863563,0.500461,1.364892,104921.882812,0.53826,2.072443,0.068708,1e-06,-0.834005,1.576178,3.936564,-0.43575,0.179616
NIH_vs_VinDr,16,0,0.770703,0.500303,-0.450419,57330.339844,0.783657,2.643336,0.515524,1e-06,-0.745194,-0.624185,6.959369,-1.489795,-1.32291
NIH_vs_VinDr,17,0,0.184239,0.499628,-1.786733,99168.671875,0.682855,2.714859,0.240866,1e-06,-0.791661,-2.28412,10.338432,-1.893413,-2.123519
NIH_vs_VinDr,18,0,0.32005,0.499812,-1.411606,85790.921875,0.735254,2.413967,0.416486,1e-06,-0.743584,-1.879549,15.690781,-1.730525,-1.941961
NIH_vs_VinDr,19,0,0.115737,0.499492,-2.603385,138582.4375,0.736131,3.392476,0.30731,2e-06,-0.580625,-3.45615,31.560131,-2.359586,-3.099277
NIH_vs_VinDr,20,0,0.825762,0.500389,0.877323,96279.75,0.466696,2.057147,0.114565,1e-06,-0.821329,0.972541,4.433733,-0.656278,-0.32528
NIH_vs_VinDr,21,0,0.870028,0.500475,1.302882,81785.070312,0.534736,1.472664,0.071831,1e-06,-0.894586,1.495175,3.214903,-0.649867,0.187467
NIH_vs_VinDr,22,0,0.051237,0.499271,-3.2348,210579.390625,0.691326,4.229376,0.588074,2e-06,-0.575522,-4.177525,31.909456,-2.442197,-3.424701
NIH_vs_VinDr,23,0,0.062123,0.499322,-2.89042,200698.59375,0.670778,3.697797,0.655053,2e-06,-0.645354,-3.629282,28.255926,-2.303449,-3.250934
NIH_vs_VinDr,24,0,0.697404,0.500209,-0.787117,89804.5625,0.742498,2.324877,0.350835,1e-06,-0.740335,-1.058153,12.34682,-1.655408,-1.609066
NIH_vs_VinDr,25,0,0.41395,0.499913,-1.358117,101825.53125,0.769026,2.532602,0.587739,1e-06,-0.683053,-1.874277,36.936005,-1.505104,-1.60124
NIH_vs_VinDr,26,0,0.877419,0.500492,1.240741,117712.132812,0.617259,2.796631,0.081963,1e-06,-0.734553,1.500863,4.33273,-0.914737,0.017468
