pair,idx,label,msp_score,odin_score,energy_score,mds_score,knn_score,vim_score,gradnorm_score,residual_score,she_score,nnguide_score,fdbd_score,dice_score,ash_score
NIH_vs_VinDr,0,0,0.8738,0.500484,1.755847,539771.5625,0.629814,354017.59375,0.019211,0.216748,-0.750451,2.15716,5.368385,-0.306258,0.490203
NIH_vs_VinDr,1,0,0.822067,0.500383,0.585026,218219.421875,0.738085,454532.28125,0.449124,0.278289,-0.794313,0.778394,8.206737,-1.06671,-0.086328
NIH_vs_VinDr,2,0,0.865485,0.500465,1.393944,223327.0625,0.599394,319955.125,0.046156,0.195894,-0.828152,1.681998,3.782695,-0.524069,-0.039247
NIH_vs_VinDr,3,0,0.168138,0.4996,-2.086712,175655.046875,0.740396,449552.3125,0.485842,0.27524,-0.801791,-2.77962,30.159264,-1.90889,-2.363262
NIH_vs_VinDr,4,0,0.861529,0.500457,1.201506,173109.296875,0.565658,331427.25,0.065353,0.202917,-0.820121,1.421655,3.573748,-0.775096,0.026469
NIH_vs_VinDr,5,0,0.759175,0.500287,0.145054,135275.390625,0.72418,425433.3125,0.204319,0.260473,-0.805528,0.193292,6.966561,-1.041784,-0.776513
NIH_vs_VinDr,6,0,0.894538,0.500535,0.907155,120066.078125,0.701168,341576.46875,0.171976,0.209131,-0.86402,1.162424,2.873143,-0.950906,-0.091001
NIH_vs_VinDr,7,0,0.182538,0.499626,-1.992115,203002.90625,0.685478,393487.90625,0.812445,0.240914,-0.731174,-2.612862,21.552265,-1.958286,-2.264013
NIH_vs_VinDr,8,0,0.144126,0.499555,-2.217721,189680.53125,0.73041,531193.0625,0.328968,0.325225,-0.793113,-2.936135,23.303535,-2.285259,-2.576532
NIH_vs_VinDr,9,0,0.866625,0.500468,1.593179,457548.84375,0.59753,343198.6875,0.034347,0.210125,-0.752377,1.937301,5.357274,-0.522682,0.203354
NIH_vs_VinDr,10,0,0.269355,0.499751,-1.438527,158880.578125,0.728995,413845.59375,0.399745,0.253378,-0.818984,-1.902834,8.430778,-1.747312,-1.784696
NIH_vs_VinDr,11,0,0.363785,0.499861,-1.178344,146237.265625,0.735059,437266.0625,0.554015,0.267718,-0.776995,-1.596383,15.706744,-1.838404,-1.856714
NIH_vs_VinDr,12,0,0.454436,0.499955,-0.866961,217025.875,0.690995,504816.53125,0.344502,0.309076,-0.810012,-1.120458,60.574528,-1.753322,-1.565052
NIH_vs_VinDr,13,0,0.381377,0.499879,-1.333634,206105.703125,0.726188,430485.8125,0.312239,0.263566,-0.807379,-1.770546,118.40493,-1.837672,-1.93866
NIH_vs_VinDr,14,0,0.886277,0.500514,0.889647,86746.40625,0.688102,404195.65625,0.17284,0.24747,-0.884983,1.142234,3.32993,-0.940142,-0.27174
NIH_vs_VinDr,15,0,0.811259,0.500365,1.343926,728795.75,0.701178,468409.6875,0.04769,0.286785,-0.73083,1.758931,8.163064,-0.357866,0.317633
NIH_vs_VinDr,16,0,0.577454,0.500078,-0.095617,304464.78125,0.7598,473689.3125,0.427198,0.290018,-0.766374,-0.128865,43.790882,-1.202159,-0.74657
NIH_vs_VinDr,17,0,0.37556,0.499873,-1.311009,212516.625,0.782027,412362.75,0.627857,0.25247,-0.717556,-1.836841,21.173613,-1.647904,-1.692858
NIH_vs_VinDr,18,0,0.101161,0.499454,-2.367783,316787.0625,0.771646,538879.5,0.578335,0.329931,-0.68852,-3.365355,14.512879,-2.0584,-2.563922
NIH_vs_VinDr,19,0,0.86207,0.500458,1.466947,240879.40625,0.550551,338463.90625,0.03764,0.207226,-0.806137,1.728027,4.073051,-0.508833,0.222785
NIH_vs_VinDr,20,0,0.939803,0.500687,1.889093,295848.78125,0.753961,517215.4375,0.059523,0.316667,-0.754558,2.564909,3.144922,-0.380479,0.77673
NIH_vs_VinDr,21,0,0.820965,0.500381,1.046448,435195.0,0.706268,605860.0625,0.083788,0.37094,-0.779738,1.372681,6.855142,-0.522322,-0.456011
NIH_vs_VinDr,22,0,0.698415,0.50021,-0.12893,117268.414062,0.733242,460432.5,0.495322,0.281901,-0.84871,-0.171745,9.192812,-1.027481,-0.809154
NIH_vs_VinDr,23,0,0.461376,0.499962,-1.251202,285063.71875,0.897643,508117.875,0.489006,0.311097,-0.613684,-1.998353,77.115807,-1.814892,-1.80923
NIH_vs_VinDr,24,0,0.258447,0.499737,-2.02365,304669.03125,0.865466,701288.0,0.612554,0.429366,-0.687551,-3.115465,283.12915,-2.110955,-2.628784
NIH_vs_VinDr,25,0,0.628392,0.500131,-0.4756,247324.65625,0.731285,628312.9375,0.372087,0.384687,-0.809415,-0.631441,24.519739,-1.39462,-1.637815
NIH_vs_VinDr,26,0,0.89108,0.500526,0.8477,175009.0,0.704343,457238.34375,0.297197,0.279946,-0.838014,1.101884,4.55158,-0.827349,0.001693
NIH_vs_VinDr,27,0,0.936212,0.500672,1.698232,192040.3125,0.614681,424268.96875,0.060918,0.25976,-0.89465,2.056556,2.653122,-0.550648,0.234235
NIH_vs_VinDr,28,0,0.877288,0.500492,1.743392,448768.46875,0.585624,399795.0625,0.028597,0.244776,-0.784696,2.12074,4.869612,-0.351578,0.388172
NIH_vs_VinDr,29,0,0.927313,0.500637,1.284042,335651.0625,0.716726,590842.0,0.074791,0.361745,-0.825529,1.688295,5.798433,-0.67505,-0.398708
NIH_vs_VinDr,30,0,0.251088,0.499727,-1.65371,308803.0,0.8601,745202.75,0.374799,0.456253,-0.664175,-2.51382,36.720772,-1.752266,-2.003557
NIH_vs_VinDr,31,0,0.798757,0.500345,0.203818,148050.859375,0.758373,404334.78125,0.143867,0.247555,-0.751788,0.278549,6.319737,-1.169458,-0.908623
NIH_vs_VinDr,32,0,0.392568,0.499892,-1.029859,447546.9375,0.905507,616321.9375,0.467439,0.377345,-0.683199,-1.654067,50.187336,-2.108508,-2.785026
NIH_vs_VinDr,33,0,0.79781,0.500343,0.207484,152251.8125,0.745865,415947.25,0.266516,0.254665,-0.809082,0.279253,5.805835,-0.967574,-0.908969
NIH_vs_VinDr,34,0,0.845898,0.500426,0.738244,191285.0,0.612404,379945.46875,0.133266,0.232623,-0.813747,0.900121,4.260919,-0.713658,-0.217078
NIH_vs_VinDr,35,0,0.875814,0.500489,0.456167,180959.359375,0.713406,497519.84375,0.223648,0.304608,-0.816978,0.596291,5.442504,-1.139302,-0.725151
NIH_vs_VinDr,36,0,0.850049,0.500434,0.970003,428277.71875,0.713867,451530.15625,0.206694,0.276451,-0.832891,1.243923,8.644712,-1.111619,-0.284783
NIH_vs_VinDr,37,0,0.793474,0.500337,0.011067,144553.453125,0.797087,451930.25,0.754765,0.276696,-0.776289,0.0155,7.877193,-1.449432,-0.887139
NIH_vs_VinDr,38,0,0.880921,0.500501,0.924639,159896.0625,0.735203,550696.375,0.113263,0.337166,-0.839918,1.244138,4.564487,-0.867138,-0.47453
NIH_vs_VinDr,39,0,0.395882,0.499894,-1.196918,182842.671875,0.781798,601910.125,0.347593,0.368521,-0.746429,-1.710123,28.466002,-1.554218,-1.574506
NIH_vs_VinDr,40,0,0.020677,0.499036,-4.09857,457559.125,0.869682,500864.875,0.553515,0.306656,-0.581718,-6.271251,34.424568,-2.710827,-4.280937
NIH_vs_VinDr,41,0,0.465754,0.499966,-1.157347,190865.546875,0.78663,504582.4375,0.629495,0.308932,-0.752578,-1.624567,85.586029,-1.606328,-1.56673
NIH_vs_VinDr,42,0,0.915667,0.500596,1.139224,232196.140625,0.706685,524593.3125,0.12662,0.321184,-0.836472,1.465542,5.257729,-0.886856,-0.258568
NIH_vs_VinDr,43,0,0.369166,0.499866,-1.465302,320751.03125,0.856689,751766.875,0.496123,0.460272,-0.611338,-2.225419,27.075245,-1.936013,-1.877846
NIH_vs_VinDr,44,0,0.890097,0.500523,1.266541,177938.875,0.590195,380888.46875,0.059943,0.2332,-0.790014,1.531349,3.488982,-0.852114,-0.180096
NIH_vs_VinDr,45,0,0.853092,0.50044,1.495646,397925.03125,0.611566,387357.375,0.030556,0.237161,-0.779993,1.834358,5.261718,-0.393633,0.351758
NIH_vs_VinDr,46,0,0.927924,0.500639,1.404639,231392.0625,0.625109,358373.8125,0.118427,0.219416,-0.880042,1.691438,4.108041,-0.69908,0.047002
NIH_vs_VinDr,47,0,0.096999,0.499443,-2.400989,237613.5,0.708832,475248.5,0.563845,0.290972,-0.771455,-3.140403,16.566738,-2.209238,-2.865945
NIH_vs_VinDr,48,0,0.860966,0.500456,1.324267,333182.15625,0.623921,491367.625,0.082508,0.300841,-0.811142,1.629804,4.739052,-0.613584,0.107518
NIH_vs_VinDr,49,0,0.913205,0.500589,1.272383,249593.984375,0.776317,431463.34375,0.163103,0.264165,-0.788469,1.737124,4.776944,-0.635157,0.354896
NIH_vs_VinDr,50,0,0.898997,0.500547,1.270621,228860.28125,0.62586,454714.1875,0.082251,0.2784,-0.85079,1.537184,3.61427,-0.965788,-0.058024
NIH_vs_VinDr,51,0,0.323079,0.499815,-1.691281,327016.09375,0.777157,688530.9375,0.305318,0.421555,-0.756018,-2.31566,32.880997,-1.990831,-2.218439
NIH_vs_VinDr,52,0,0.87938,0.500497,1.176493,202375.5,0.693261,586455.75,0.141703,0.359059,-0.876182,1.500341,5.41288,-0.779032,-0.032282
NIH_vs_VinDr,53,0,0.875929,0.500489,1.07982,145719.65625,0.667551,437203.5625,0.159327,0.267679,-0.886634,1.343919,4.8619,-0.921594,0.021294
NIH_vs_VinDr,54,0,0.756642,0.500284,0.707706,353159.9375,0.723429,505570.125,0.135608,0.309537,-0.772192,0.94287,8.267933,-0.712215,-0.289219
NIH_vs_VinDr,55,0,0.859555,0.500453,1.264533,216271.671875,0.567773,344886.53125,0.079916,0.211158,-0.803887,1.501712,4.151683,-0.738972,-0.060373
NIH_vs_VinDr,56,0,0.236727,0.499708,-2.008816,316923.8125,0.844747,572786.6875,0.439603,0.350691,-0.667442,-3.018243,88.492401,-1.866849,-2.160481
NIH_vs_VinDr,57,0,0.139523,0.499545,-2.168525,221886.140625,0.741311,424875.0,0.588519,0.260131,-0.728937,-2.942431,12.082391,-2.142075,-2.407336
NIH_vs_VinDr,58,0,0.93719,0.500676,1.96124,342133.125,0.656572,440428.90625,0.055745,0.269654,-0.87204,2.417608,3.630827,-0.358291,0.791471
NIH_vs_VinDr,59,0,0.722002,0.500239,-0.175839,110962.164062,0.755375,379460.625,0.410315,0.232326,-0.831477,-0.237403,8.245416,-1.340623,-0.964845
