pair,subset,method,rank,auroc
NIH_vs_VinDr,raw,ViM,1,1.0
NIH_vs_VinDr,raw,KNN,2,0.6804
NIH_vs_VinDr,raw,ODIN,3,0.6618
NIH_vs_VinDr,raw,MSP,4,0.6618
NIH_vs_VinDr,raw,Energy,5,0.6026
NIH_vs_VinDr,raw,MDS,6,0.4361
NIH_vs_VinDr,raw,GradNorm,7,0.4091
NIH_vs_RSNA_normal,raw,ViM,1,1.0
NIH_vs_RSNA_normal,raw,Energy,2,0.7002
NIH_vs_RSNA_normal,raw,MSP,3,0.6905
NIH_vs_RSNA_normal,raw,ODIN,4,0.6905
NIH_vs_RSNA_normal,raw,MDS,5,0.493
NIH_vs_RSNA_normal,raw,KNN,6,0.3205
NIH_vs_RSNA_normal,raw,GradNorm,7,0.3092
BraTS_normal_vs_BrainTumor_normal,raw,ViM,1,1.0
BraTS_normal_vs_BrainTumor_normal,raw,KNN,2,0.9809
BraTS_normal_vs_BrainTumor_normal,raw,MDS,3,0.9804
BraTS_normal_vs_BrainTumor_normal,raw,Energy,4,0.7758
BraTS_normal_vs_BrainTumor_normal,raw,ODIN,5,0.753
BraTS_normal_vs_BrainTumor_normal,raw,MSP,6,0.753
BraTS_normal_vs_BrainTumor_normal,raw,GradNorm,7,0.3966
HAM_NV_vs_ISIC2020_benign,raw,ViM,1,1.0
HAM_NV_vs_ISIC2020_benign,raw,MDS,2,0.7488
HAM_NV_vs_ISIC2020_benign,raw,KNN,3,0.7007
HAM_NV_vs_ISIC2020_benign,raw,Energy,4,0.5641
HAM_NV_vs_ISIC2020_benign,raw,MSP,5,0.5464
HAM_NV_vs_ISIC2020_benign,raw,ODIN,6,0.5464
HAM_NV_vs_ISIC2020_benign,raw,GradNorm,7,0.3643
