pair,subset,method,rank,auroc
NIH_vs_VinDr,raw,ViM,1,0.8407
NIH_vs_VinDr,raw,Residual,2,0.8407
NIH_vs_VinDr,raw,KNN,3,0.6575
NIH_vs_VinDr,raw,MSP,4,0.6516
NIH_vs_VinDr,raw,ODIN,5,0.6516
NIH_vs_VinDr,raw,NNGuide,6,0.6006
NIH_vs_VinDr,raw,Energy,7,0.5832
NIH_vs_VinDr,raw,DICE,8,0.5823
NIH_vs_VinDr,raw,ASH,9,0.5771
NIH_vs_VinDr,raw,SHE,10,0.5731
NIH_vs_VinDr,raw,MDS,11,0.4592
NIH_vs_VinDr,raw,GradNorm,12,0.422
NIH_vs_VinDr,raw,fDBD,13,0.3985
NIH_vs_RSNA_normal,raw,ASH,1,0.6853
NIH_vs_RSNA_normal,raw,DICE,2,0.6852
NIH_vs_RSNA_normal,raw,Energy,3,0.685
NIH_vs_RSNA_normal,raw,NNGuide,4,0.6827
NIH_vs_RSNA_normal,raw,ODIN,5,0.6827
NIH_vs_RSNA_normal,raw,MSP,6,0.6827
NIH_vs_RSNA_normal,raw,MDS,7,0.5025
NIH_vs_RSNA_normal,raw,ViM,8,0.4055
NIH_vs_RSNA_normal,raw,Residual,9,0.4055
NIH_vs_RSNA_normal,raw,SHE,10,0.3487
NIH_vs_RSNA_normal,raw,GradNorm,11,0.3194
NIH_vs_RSNA_normal,raw,KNN,12,0.3189
NIH_vs_RSNA_normal,raw,fDBD,13,0.3134
BraTS_normal_vs_BrainTumor_normal,raw,ViM,1,0.9967
BraTS_normal_vs_BrainTumor_normal,raw,Residual,2,0.9967
BraTS_normal_vs_BrainTumor_normal,raw,MDS,3,0.9783
BraTS_normal_vs_BrainTumor_normal,raw,KNN,4,0.9754
BraTS_normal_vs_BrainTumor_normal,raw,SHE,5,0.9643
BraTS_normal_vs_BrainTumor_normal,raw,ASH,6,0.7819
BraTS_normal_vs_BrainTumor_normal,raw,Energy,7,0.7791
BraTS_normal_vs_BrainTumor_normal,raw,ODIN,8,0.7543
BraTS_normal_vs_BrainTumor_normal,raw,MSP,9,0.7543
BraTS_normal_vs_BrainTumor_normal,raw,NNGuide,10,0.7517
BraTS_normal_vs_BrainTumor_normal,raw,DICE,11,0.5384
BraTS_normal_vs_BrainTumor_normal,raw,fDBD,12,0.4961
BraTS_normal_vs_BrainTumor_normal,raw,GradNorm,13,0.4037
HAM_NV_vs_ISIC2020_benign,raw,SHE,1,0.7425
HAM_NV_vs_ISIC2020_benign,raw,MDS,2,0.7239
HAM_NV_vs_ISIC2020_benign,raw,KNN,3,0.7112
HAM_NV_vs_ISIC2020_benign,raw,ViM,4,0.6887
HAM_NV_vs_ISIC2020_benign,raw,Residual,5,0.6887
HAM_NV_vs_ISIC2020_benign,raw,DICE,6,0.5933
HAM_NV_vs_ISIC2020_benign,raw,fDBD,7,0.5897
HAM_NV_vs_ISIC2020_benign,raw,ASH,8,0.58
HAM_NV_vs_ISIC2020_benign,raw,Energy,9,0.5599
HAM_NV_vs_ISIC2020_benign,raw,MSP,10,0.5476
HAM_NV_vs_ISIC2020_benign,raw,ODIN,11,0.5476
HAM_NV_vs_ISIC2020_benign,raw,NNGuide,12,0.5216
HAM_NV_vs_ISIC2020_benign,raw,GradNorm,13,0.3871
VinDr_CXR_vs_RSNA_normal,raw,ViM,1,0.7716
VinDr_CXR_vs_RSNA_normal,raw,Residual,2,0.7716
VinDr_CXR_vs_RSNA_normal,raw,MDS,3,0.6972
VinDr_CXR_vs_RSNA_normal,raw,NNGuide,4,0.6474
VinDr_CXR_vs_RSNA_normal,raw,ASH,5,0.6461
VinDr_CXR_vs_RSNA_normal,raw,Energy,6,0.6366
VinDr_CXR_vs_RSNA_normal,raw,KNN,7,0.6148
VinDr_CXR_vs_RSNA_normal,raw,SHE,8,0.5969
VinDr_CXR_vs_RSNA_normal,raw,DICE,9,0.5636
VinDr_CXR_vs_RSNA_normal,raw,fDBD,10,0.5243
VinDr_CXR_vs_RSNA_normal,raw,MSP,11,0.5113
VinDr_CXR_vs_RSNA_normal,raw,ODIN,12,0.5112
VinDr_CXR_vs_RSNA_normal,raw,GradNorm,13,0.3619
HAM_NV_vs_fitzpatrick17k,raw,ViM,1,0.9381
HAM_NV_vs_fitzpatrick17k,raw,Residual,2,0.9381
HAM_NV_vs_fitzpatrick17k,raw,KNN,3,0.8881
HAM_NV_vs_fitzpatrick17k,raw,SHE,4,0.8728
HAM_NV_vs_fitzpatrick17k,raw,MDS,5,0.8475
HAM_NV_vs_fitzpatrick17k,raw,Energy,6,0.7459
HAM_NV_vs_fitzpatrick17k,raw,MSP,7,0.7424
HAM_NV_vs_fitzpatrick17k,raw,ODIN,8,0.7422
HAM_NV_vs_fitzpatrick17k,raw,ASH,9,0.724
HAM_NV_vs_fitzpatrick17k,raw,NNGuide,10,0.6734
HAM_NV_vs_fitzpatrick17k,raw,fDBD,11,0.6489
HAM_NV_vs_fitzpatrick17k,raw,DICE,12,0.4575
HAM_NV_vs_fitzpatrick17k,raw,GradNorm,13,0.2559
ISIC2020_benign_vs_PAD_UFES,raw,ViM,1,0.7982
ISIC2020_benign_vs_PAD_UFES,raw,Residual,2,0.7982
ISIC2020_benign_vs_PAD_UFES,raw,KNN,3,0.7954
ISIC2020_benign_vs_PAD_UFES,raw,SHE,4,0.7025
ISIC2020_benign_vs_PAD_UFES,raw,GradNorm,5,0.628
ISIC2020_benign_vs_PAD_UFES,raw,MDS,6,0.6045
ISIC2020_benign_vs_PAD_UFES,raw,fDBD,7,0.6007
ISIC2020_benign_vs_PAD_UFES,raw,ODIN,8,0.5284
ISIC2020_benign_vs_PAD_UFES,raw,MSP,9,0.5283
ISIC2020_benign_vs_PAD_UFES,raw,Energy,10,0.516
ISIC2020_benign_vs_PAD_UFES,raw,ASH,11,0.495
ISIC2020_benign_vs_PAD_UFES,raw,DICE,12,0.4356
ISIC2020_benign_vs_PAD_UFES,raw,NNGuide,13,0.3864
