backbone,analysis,n,param,mean,std,ci_lo,ci_hi,n_repeats
ResNet-50,bootstrap,9936,T0,0.6418459061054534,0.1740148248539903,0.27397108061693054,0.7739233746429086,500
ResNet-50,bootstrap,9936,alpha,0.15563697419838424,0.20653478883510634,0.0,0.6873372337989755,500
ResNet-50,bootstrap,9936,ece_lq,0.05131247000547665,0.0010280497343701771,0.0496527787408312,0.05318616341742228,500
ResNet-50,subsample,200,T0,0.6162905300895531,0.23274822678470888,0.09814783256517338,0.7739233746429086,100
ResNet-50,subsample,200,alpha,0.17310993988122314,0.29431728189863837,0.0,1.4009273926518706,100
ResNet-50,subsample,500,T0,0.624616610988602,0.2346591024710058,0.1011040161757511,0.7739233746429086,100
ResNet-50,subsample,500,alpha,0.12122318277842126,0.15957424150577257,0.0,0.5204738951053407,100
ResNet-50,subsample,1000,T0,0.6661429089205919,0.19386602501044517,0.1796288556357748,0.7739233746429086,100
ResNet-50,subsample,1000,alpha,0.11485825243548536,0.1732485622396357,0.0,0.494731460121954,100
ResNet-50,subsample,2000,T0,0.6799029886714486,0.17110923813472753,0.24382673948622674,0.7739233746429086,100
ResNet-50,subsample,2000,alpha,0.10381924215032702,0.16334641448688572,0.0,0.5475665690747459,100
ResNet-50,subsample,9936,T0,0.5523036473918741,0.0,0.5523036473918741,0.5523036473918741,1
ResNet-50,subsample,9936,alpha,0.24328535506839166,0.0,0.24328535506839166,0.24328535506839166,1
ConvNeXt-Tiny,bootstrap,9936,T0,1.3796208542534598,0.07911350412627181,1.3861122111447353,1.409424973203716,500
ConvNeXt-Tiny,bootstrap,9936,alpha,0.5533354835038672,0.20070674117144208,0.5226551056287232,0.6596679433288923,500
ConvNeXt-Tiny,bootstrap,9936,ece_lq,0.04641771840593276,0.0018271296864676293,0.0389553207123284,0.04681726792889407,500
ConvNeXt-Tiny,subsample,200,T0,1.2560711580156327,0.3299131452094604,0.5236432494005134,1.6281230123805288,100
ConvNeXt-Tiny,subsample,200,alpha,0.6572328740772864,0.3137217682901563,0.452216457679568,1.4009273926518706,100
ConvNeXt-Tiny,subsample,500,T0,1.324691377439567,0.2405034780857784,0.5236432494005134,1.5318202015089066,100
ConvNeXt-Tiny,subsample,500,alpha,0.6055362804629698,0.2563871397332383,0.5226551056287232,1.4009273926518706,100
ConvNeXt-Tiny,subsample,1000,T0,1.3508259725023266,0.20632861029168162,0.5236432494005134,1.505731180191034,100
ConvNeXt-Tiny,subsample,1000,alpha,0.5840762554357651,0.23799834383057386,0.5226551056287232,1.4009273926518706,100
ConvNeXt-Tiny,subsample,2000,T0,1.3750938389788832,0.06711287547562393,1.2867311085103812,1.3861122111447353,100
ConvNeXt-Tiny,subsample,2000,alpha,0.5494003583640079,0.19585636094505843,0.5226551056287232,0.5226551056287232,100
ConvNeXt-Tiny,subsample,9936,T0,1.3861122111447353,0.0,1.3861122111447353,1.3861122111447353,1
ConvNeXt-Tiny,subsample,9936,alpha,0.5226551056287232,0.0,0.5226551056287232,0.5226551056287232,1
Swin-Tiny,bootstrap,9936,T0,0.4784329299346994,0.2201068496822703,0.1810703901086299,0.7739233746429086,500
Swin-Tiny,bootstrap,9936,alpha,0.19607984320163296,0.17306859093615679,0.0,0.5535262739645838,500
Swin-Tiny,bootstrap,9936,ece_lq,0.04213773920717514,0.012891739674604509,0.018417975226613433,0.05780246240964397,500
Swin-Tiny,subsample,200,T0,0.48163534327200525,0.3122736569268812,0.023224230112577328,0.7739233746429086,100
Swin-Tiny,subsample,200,alpha,0.1078867163969051,0.14994658209491324,0.0,0.465132901175784,100
Swin-Tiny,subsample,500,T0,0.5139204100508228,0.28459665501488546,0.023224268498632794,0.7739233746429086,100
Swin-Tiny,subsample,500,alpha,0.11650680828634206,0.13504360862162265,0.0,0.4260496449949429,100
Swin-Tiny,subsample,1000,T0,0.5274310771029334,0.2597683935685731,0.09690988271406858,0.7739233746429086,100
Swin-Tiny,subsample,1000,alpha,0.12918522338251212,0.1491995381378789,0.0,0.5023417179447445,100
