method,dataset,label_ratio,seed,dice_mean,hd95_mean,n_labeled,n_unlabeled,n_test,train_time_min,structure,dice
cps,hc18,0.01,0,0.878,13.96,6,618,155,0.67,head,0.878
cps,hc18,0.01,1,0.8448,22.11,6,618,155,0.47,head,0.8448
cps,hc18,0.01,2,0.8684,16.84,6,618,155,0.45,head,0.8684
cps,hc18,0.02,0,0.9107,10.68,12,612,155,0.78,head,0.9107
cps,hc18,0.02,1,0.8681,21.06,12,612,155,0.78,head,0.8681
cps,hc18,0.02,2,0.9063,13.52,12,612,155,0.78,head,0.9063
cps,hc18,0.05,0,0.9584,4.43,31,593,155,1.43,head,0.9584
cps,hc18,0.05,1,0.9564,5.22,31,593,155,1.46,head,0.9564
cps,hc18,0.05,2,0.9547,5.62,31,593,155,1.45,head,0.9547
cps,hc18,0.1,0,0.9717,2.48,62,562,155,2.8,head,0.9717
cps,hc18,0.1,1,0.9691,2.25,62,562,155,2.88,head,0.9691
cps,hc18,0.1,2,0.9604,4.5,62,562,155,2.83,head,0.9604
cps,hc18,0.2,0,0.9755,1.11,124,500,155,5.49,head,0.9755
cps,hc18,0.2,1,0.975,0.91,124,500,155,5.46,head,0.975
cps,hc18,0.2,2,0.9718,1.42,124,500,155,5.63,head,0.9718
fixmatch,hc18,0.01,0,0.8389,15.21,6,618,155,0.49,head,0.8389
fixmatch,hc18,0.01,1,0.8438,19.76,6,618,155,0.41,head,0.8438
fixmatch,hc18,0.01,2,0.8508,18.2,6,618,155,0.41,head,0.8508
fixmatch,hc18,0.02,0,0.9178,10.54,12,612,155,0.74,head,0.9178
fixmatch,hc18,0.02,1,0.9222,11.68,12,612,155,0.72,head,0.9222
fixmatch,hc18,0.02,2,0.9128,13.1,12,612,155,0.73,head,0.9128
fixmatch,hc18,0.05,0,0.9595,4.24,31,593,155,1.39,head,0.9595
fixmatch,hc18,0.05,1,0.9617,3.88,31,593,155,1.38,head,0.9617
fixmatch,hc18,0.05,2,0.9565,5.67,31,593,155,1.36,head,0.9565
fixmatch,hc18,0.1,0,0.9713,2.9,62,562,155,2.64,head,0.9713
fixmatch,hc18,0.1,1,0.9705,2.36,62,562,155,2.62,head,0.9705
