method,dataset,label_ratio,seed,dice_mean,hd95_mean,n_labeled,n_unlabeled,n_test,train_time_min
cps,hc18,0.01,0,0.878,13.96,6,618,155,0.67
cps,hc18,0.01,1,0.8448,22.11,6,618,155,0.47
cps,hc18,0.01,2,0.8684,16.84,6,618,155,0.45
cps,hc18,0.02,0,0.9107,10.68,12,612,155,0.78
cps,hc18,0.02,1,0.8681,21.06,12,612,155,0.78
cps,hc18,0.02,2,0.9063,13.52,12,612,155,0.78
cps,hc18,0.05,0,0.9584,4.43,31,593,155,1.43
cps,hc18,0.05,1,0.9564,5.22,31,593,155,1.46
cps,hc18,0.05,2,0.9547,5.62,31,593,155,1.45
cps,hc18,0.1,0,0.9717,2.48,62,562,155,2.8
cps,hc18,0.1,1,0.9691,2.25,62,562,155,2.88
cps,hc18,0.1,2,0.9604,4.5,62,562,155,2.83
cps,hc18,0.2,0,0.9755,1.11,124,500,155,5.49
cps,hc18,0.2,1,0.975,0.91,124,500,155,5.46
cps,hc18,0.2,2,0.9718,1.42,124,500,155,5.63
fixmatch,hc18,0.01,0,0.8389,15.21,6,618,155,0.49
fixmatch,hc18,0.01,1,0.8438,19.76,6,618,155,0.41
fixmatch,hc18,0.01,2,0.8508,18.2,6,618,155,0.41
fixmatch,hc18,0.02,0,0.9178,10.54,12,612,155,0.74
fixmatch,hc18,0.02,1,0.9222,11.68,12,612,155,0.72
fixmatch,hc18,0.02,2,0.9128,13.1,12,612,155,0.73
fixmatch,hc18,0.05,0,0.9595,4.24,31,593,155,1.39
fixmatch,hc18,0.05,1,0.9617,3.88,31,593,155,1.38
fixmatch,hc18,0.05,2,0.9565,5.67,31,593,155,1.36
fixmatch,hc18,0.1,0,0.9713,2.9,62,562,155,2.64
fixmatch,hc18,0.1,1,0.9705,2.36,62,562,155,2.62
fixmatch,hc18,0.1,2,0.965,2.83,62,562,155,2.64
fixmatch,hc18,0.2,0,0.9738,2.69,124,500,155,5.14
fixmatch,hc18,0.2,1,0.9745,1.81,124,500,155,5.1
fixmatch,hc18,0.2,2,0.9724,1.97,124,500,155,5.09
mean_teacher,hc18,0.01,0,0.8736,16.73,6,618,155,0.49
mean_teacher,hc18,0.01,1,0.7414,34.11,6,618,155,0.41
mean_teacher,hc18,0.01,2,0.818,24.88,6,618,155,0.38
mean_teacher,hc18,0.02,0,0.9197,9.02,12,612,155,0.65
mean_teacher,hc18,0.02,1,0.9,14.36,12,612,155,0.66
mean_teacher,hc18,0.02,2,0.9139,11.43,12,612,155,0.65
mean_teacher,hc18,0.05,0,0.9632,3.37,31,593,155,1.19
mean_teacher,hc18,0.05,1,0.9622,2.53,31,593,155,1.19
mean_teacher,hc18,0.05,2,0.9586,4.27,31,593,155,1.19
mean_teacher,hc18,0.1,0,0.9722,1.5,62,562,155,2.27
mean_teacher,hc18,0.1,1,0.9713,1.92,62,562,155,2.26
mean_teacher,hc18,0.1,2,0.9652,2.84,62,562,155,2.27
mean_teacher,hc18,0.2,0,0.9749,1.19,124,500,155,4.48
mean_teacher,hc18,0.2,1,0.9732,1.37,124,500,155,4.42
mean_teacher,hc18,0.2,2,0.9729,1.53,124,500,155,4.46
supervised,hc18,0.01,0,0.8708,13.49,6,618,155,0.51
supervised,hc18,0.01,1,0.8246,21.2,6,618,155,0.31
supervised,hc18,0.01,2,0.8088,23.71,6,618,155,0.28
supervised,hc18,0.02,0,0.9147,9.27,12,612,155,0.44
supervised,hc18,0.02,1,0.9147,13.02,12,612,155,0.44
supervised,hc18,0.02,2,0.9036,12.65,12,612,155,0.45
supervised,hc18,0.05,0,0.9593,4.39,31,593,155,0.72
supervised,hc18,0.05,1,0.9641,3.39,31,593,155,0.72
supervised,hc18,0.05,2,0.9538,5.01,31,593,155,0.71
supervised,hc18,0.1,0,0.9715,2.71,62,562,155,1.26
supervised,hc18,0.1,1,0.9706,2.26,62,562,155,1.24
supervised,hc18,0.1,2,0.9643,3.26,62,562,155,1.25
supervised,hc18,0.2,0,0.976,1.21,124,500,155,2.34
supervised,hc18,0.2,1,0.9741,1.65,124,500,155,2.32
supervised,hc18,0.2,2,0.9741,0.67,124,500,155,2.32
uamt,hc18,0.01,0,0.8764,15.86,6,618,155,0.64
uamt,hc18,0.01,1,0.7554,30.37,6,618,155,0.48
uamt,hc18,0.01,2,0.8497,18.3,6,618,155,0.45
uamt,hc18,0.02,0,0.9105,11.01,12,612,155,0.8
uamt,hc18,0.02,1,0.909,14.29,12,612,155,0.8
uamt,hc18,0.02,2,0.8995,14.02,12,612,155,0.79
uamt,hc18,0.05,0,0.9608,3.73,31,593,155,1.52
uamt,hc18,0.05,1,0.9556,3.82,31,593,155,1.55
uamt,hc18,0.05,2,0.9574,3.8,31,593,155,1.54
