pid,dice,nqm,seed,git_commit
182,0.863435,0.04583642,42,9d844b58
183,0.864351,0.0458993,42,9d844b58
184,0.874827,0.08363024,42,9d844b58
185,0.885385,0.04234539,42,9d844b58
186,0.877815,0.03595126,42,9d844b58
187,0.873918,0.03701941,42,9d844b58
188,0.859376,0.05439127,42,9d844b58
189,0.772954,0.09531467,42,9d844b58
190,0.856453,0.04132804,42,9d844b58
191,0.874067,0.04894748,42,9d844b58
192,0.896203,0.04848355,42,9d844b58
193,0.908508,0.04701912,42,9d844b58
194,0.883229,0.04140708,42,9d844b58
195,0.881553,0.04324201,42,9d844b58
196,0.812713,0.07141784,42,9d844b58
197,0.926761,0.0378798,42,9d844b58
198,0.838296,0.04915495,42,9d844b58
199,0.809698,0.06103781,42,9d844b58
200,0.889387,0.04180897,42,9d844b58
201,0.854254,0.04187018,42,9d844b58
202,0.863627,0.05034451,42,9d844b58
203,0.855274,0.04635292,42,9d844b58
204,0.86764,0.05370583,42,9d844b58
205,0.889875,0.0538068,42,9d844b58
206,0.889898,0.05425364,42,9d844b58
207,0.875418,0.05069168,42,9d844b58
208,0.880794,0.0475268,42,9d844b58
209,0.888182,0.04705383,42,9d844b58
210,0.875145,0.04880806,42,9d844b58
211,0.911515,0.05114079,42,9d844b58
212,0.918564,0.04811303,42,9d844b58
213,0.809811,0.05946228,42,9d844b58
214,0.686129,0.10482746,42,9d844b58
215,0.877472,0.0395293,42,9d844b58
216,0.891284,0.03963955,42,9d844b58
217,0.845832,0.06991232,42,9d844b58
218,0.849438,0.06944777,42,9d844b58
219,0.841768,0.06570529,42,9d844b58
220,0.828509,0.06687328,42,9d844b58
221,0.887155,0.04010852,42,9d844b58
222,0.880917,0.04363678,42,9d844b58
223,0.879995,0.0378153,42,9d844b58
224,0.87564,0.05214092,42,9d844b58
225,0.868483,0.0392165,42,9d844b58
226,0.876562,0.05637279,42,9d844b58
227,0.860705,0.04380169,42,9d844b58
228,0.871711,0.04090693,42,9d844b58
229,0.901368,0.06017764,42,9d844b58
230,0.903569,0.068099,42,9d844b58
231,0.862088,0.04658072,42,9d844b58
232,0.891369,0.04619466,42,9d844b58
233,0.866588,0.06594241,42,9d844b58
234,0.89005,0.04148341,42,9d844b58
235,0.877619,0.03937475,42,9d844b58
236,0.864693,0.04666949,42,9d844b58
237,0.880335,0.03653895,42,9d844b58
238,0.860394,0.05789049,42,9d844b58
239,0.897427,0.05086666,42,9d844b58
240,0.916351,0.03779232,42,9d844b58
241,0.895635,0.04107879,42,9d844b58
242,0.875701,0.0483632,42,9d844b58
243,0.884665,0.03749667,42,9d844b58
244,0.907257,0.03893594,42,9d844b58
245,0.917846,0.03674644,42,9d844b58
246,0.907549,0.0366667,42,9d844b58
247,0.869565,0.05381333,42,9d844b58
248,0.874934,0.05832837,42,9d844b58
249,0.892548,0.04229058,42,9d844b58
250,0.911038,0.04230955,42,9d844b58
251,0.914225,0.03937538,42,9d844b58
252,0.890744,0.06744338,42,9d844b58
253,0.903141,0.04026563,42,9d844b58
254,0.913795,0.03907695,42,9d844b58
255,0.876317,0.05128859,42,9d844b58
256,0.89187,0.04814935,42,9d844b58
257,0.880933,0.06777547,42,9d844b58
258,0.89017,0.03519403,42,9d844b58
259,0.901241,0.03892272,42,9d844b58
