perturb_type,level,pid,dice,seed,commit
scale,0.80,182,0.711396,42,9d844b58
scale,0.80,183,0.747828,42,9d844b58
scale,0.80,184,0.614781,42,9d844b58
scale,0.80,185,0.748594,42,9d844b58
scale,0.80,186,0.801826,42,9d844b58
scale,0.80,187,0.793568,42,9d844b58
scale,0.80,188,0.740014,42,9d844b58
scale,0.80,189,0.580472,42,9d844b58
scale,0.80,190,0.768614,42,9d844b58
scale,0.80,191,0.681287,42,9d844b58
scale,0.80,192,0.760041,42,9d844b58
scale,0.80,193,0.785603,42,9d844b58
scale,0.80,194,0.727817,42,9d844b58
scale,0.80,195,0.708418,42,9d844b58
scale,0.80,196,0.622657,42,9d844b58
scale,0.80,197,0.823784,42,9d844b58
scale,0.80,198,0.72339,42,9d844b58
scale,0.80,199,0.612078,42,9d844b58
scale,0.80,200,0.741959,42,9d844b58
scale,0.80,201,0.754764,42,9d844b58
scale,0.80,202,0.731114,42,9d844b58
scale,0.80,203,0.757245,42,9d844b58
scale,0.80,204,0.759969,42,9d844b58
scale,0.80,205,0.704809,42,9d844b58
scale,0.80,206,0.810327,42,9d844b58
scale,0.80,207,0.674244,42,9d844b58
scale,0.80,208,0.660574,42,9d844b58
scale,0.80,209,0.714705,42,9d844b58
scale,0.80,210,0.702129,42,9d844b58
scale,0.80,211,0.837673,42,9d844b58
scale,0.80,212,0.750299,42,9d844b58
scale,0.80,213,0.643972,42,9d844b58
scale,0.80,214,0.541641,42,9d844b58
scale,0.80,215,0.771767,42,9d844b58
scale,0.80,216,0.811824,42,9d844b58
scale,0.80,217,0.690383,42,9d844b58
scale,0.80,218,0.621416,42,9d844b58
scale,0.80,219,0.713538,42,9d844b58
scale,0.80,220,0.645738,42,9d844b58
scale,0.80,221,0.820982,42,9d844b58
scale,0.80,222,0.776046,42,9d844b58
scale,0.80,223,0.753178,42,9d844b58
scale,0.80,224,0.770708,42,9d844b58
scale,0.80,225,0.819392,42,9d844b58
scale,0.80,226,0.699886,42,9d844b58
scale,0.80,227,0.746268,42,9d844b58
scale,0.80,228,0.801669,42,9d844b58
scale,0.80,229,0.689591,42,9d844b58
scale,0.80,230,0.633346,42,9d844b58
scale,0.80,231,0.782132,42,9d844b58
scale,0.80,232,0.774434,42,9d844b58
scale,0.80,233,0.697049,42,9d844b58
scale,0.80,234,0.765084,42,9d844b58
scale,0.80,235,0.807449,42,9d844b58
scale,0.80,236,0.813904,42,9d844b58
scale,0.80,237,0.805219,42,9d844b58
scale,0.80,238,0.727017,42,9d844b58
scale,0.80,239,0.741534,42,9d844b58
