filename,brain_px,brain_threshold,full_frame_px,brain_method,size_px,area_ratio_brain,area_ratio_full
BraTS2021_01467_flair_13.png,1655,1e-06,4096,nonzero,13.0,0.007855,0.003174
BraTS2021_01467_flair_18.png,1722,1e-06,4096,nonzero,128.0,0.074332,0.03125
BraTS2021_01467_flair_23.png,1769,1e-06,4096,nonzero,218.0,0.123233,0.053223
BraTS2021_01467_flair_28.png,1773,1e-06,4096,nonzero,302.0,0.170333,0.07373
BraTS2021_01467_flair_33.png,1759,1e-06,4096,nonzero,359.0,0.204093,0.087646
BraTS2021_01467_flair_38.png,1727,1e-06,4096,nonzero,403.0,0.233353,0.098389
BraTS2021_01467_flair_43.png,1673,1e-06,4096,nonzero,418.0,0.249851,0.102051
BraTS2021_01467_flair_48.png,1602,1e-06,4096,nonzero,413.0,0.257803,0.10083
BraTS2021_01467_flair_53.png,1495,1e-06,4096,nonzero,401.0,0.268227,0.0979
BraTS2021_01467_flair_58.png,1376,1e-06,4096,nonzero,353.0,0.256541,0.086182
BraTS2021_01467_flair_63.png,1249,1e-06,4096,nonzero,279.0,0.223379,0.068115
BraTS2021_01467_flair_68.png,1071,1e-06,4096,nonzero,223.0,0.208217,0.054443
BraTS2021_01468_flair_0.png,1318,1e-06,4096,nonzero,203.0,0.154021,0.049561
BraTS2021_01468_flair_10.png,1561,1e-06,4096,nonzero,235.0,0.150545,0.057373
BraTS2021_01468_flair_15.png,1634,1e-06,4096,nonzero,204.0,0.124847,0.049805
BraTS2021_01468_flair_20.png,1698,1e-06,4096,nonzero,154.0,0.090695,0.037598
BraTS2021_01468_flair_25.png,1716,1e-06,4096,nonzero,39.0,0.022727,0.009521
BraTS2021_01468_flair_5.png,1472,1e-06,4096,nonzero,232.0,0.157609,0.056641
BraTS2021_01469_flair_0.png,1428,1e-06,4096,nonzero,111.0,0.077731,0.0271
BraTS2021_01469_flair_10.png,1621,1e-06,4096,nonzero,126.0,0.07773,0.030762
BraTS2021_01469_flair_15.png,1698,1e-06,4096,nonzero,91.0,0.053592,0.022217
BraTS2021_01469_flair_20.png,1739,1e-06,4096,nonzero,88.0,0.050604,0.021484
BraTS2021_01469_flair_25.png,1797,1e-06,4096,nonzero,40.0,0.022259,0.009766
BraTS2021_01469_flair_5.png,1469,1e-06,4096,nonzero,152.0,0.103472,0.037109
BraTS2021_01470_flair_0.png,1443,1e-06,4096,nonzero,154.0,0.106722,0.037598
BraTS2021_01470_flair_10.png,1647,1e-06,4096,nonzero,212.0,0.128719,0.051758
BraTS2021_01470_flair_15.png,1749,1e-06,4096,nonzero,204.0,0.116638,0.049805
BraTS2021_01470_flair_20.png,1785,1e-06,4096,nonzero,173.0,0.096919,0.042236
BraTS2021_01470_flair_25.png,1787,1e-06,4096,nonzero,173.0,0.09681,0.042236
