conspicuity_col,coverage,retained_n,ad_auroc
fft_spectral_entropy,0.1,278,0.7239
fft_spectral_entropy,0.15,417,0.7478
fft_spectral_entropy,0.2,556,0.7458
fft_spectral_entropy,0.25,694,0.756
fft_spectral_entropy,0.3,833,0.7602
fft_spectral_entropy,0.35,972,0.7729
fft_spectral_entropy,0.4,1111,0.783
fft_spectral_entropy,0.45,1250,0.7909
fft_spectral_entropy,0.5,1388,0.8006
fft_spectral_entropy,0.55,1527,0.8046
fft_spectral_entropy,0.6,1666,0.8096
fft_spectral_entropy,0.65,1805,0.8126
fft_spectral_entropy,0.7,1944,0.8138
fft_spectral_entropy,0.75,2082,0.8184
fft_spectral_entropy,0.8,2221,0.8185
fft_spectral_entropy,0.85,2360,0.8189
fft_spectral_entropy,0.9,2499,0.8206
fft_spectral_entropy,0.95,2638,0.8227
fft_spectral_entropy,1.0,2776,0.8228
