conspicuity_col,coverage,retained_n,ad_auroc
glcm_cluster_prom,0.1,278,0.9119
glcm_cluster_prom,0.15,417,0.8843
glcm_cluster_prom,0.2,556,0.8801
glcm_cluster_prom,0.25,694,0.8867
glcm_cluster_prom,0.3,833,0.885
glcm_cluster_prom,0.35,972,0.9067
glcm_cluster_prom,0.4,1111,0.8886
glcm_cluster_prom,0.45,1250,0.8785
glcm_cluster_prom,0.5,1388,0.8654
glcm_cluster_prom,0.55,1527,0.867
glcm_cluster_prom,0.6,1666,0.8544
glcm_cluster_prom,0.65,1805,0.8382
glcm_cluster_prom,0.7,1944,0.8356
glcm_cluster_prom,0.75,2082,0.8383
glcm_cluster_prom,0.8,2221,0.8333
glcm_cluster_prom,0.85,2360,0.8282
glcm_cluster_prom,0.9,2499,0.8308
glcm_cluster_prom,0.95,2638,0.8289
glcm_cluster_prom,1.0,2776,0.8228
