conspicuity_col,coverage,retained_n,ad_auroc
cnr_proxy_otsu,0.1,278,0.7403
cnr_proxy_otsu,0.15,417,0.7533
cnr_proxy_otsu,0.2,556,0.7577
cnr_proxy_otsu,0.25,694,0.747
cnr_proxy_otsu,0.3,833,0.7303
cnr_proxy_otsu,0.35,972,0.7425
cnr_proxy_otsu,0.4,1111,0.7451
cnr_proxy_otsu,0.45,1250,0.7471
cnr_proxy_otsu,0.5,1388,0.7426
cnr_proxy_otsu,0.55,1527,0.748
cnr_proxy_otsu,0.6,1666,0.7544
cnr_proxy_otsu,0.65,1805,0.757
cnr_proxy_otsu,0.7,1944,0.7692
cnr_proxy_otsu,0.75,2082,0.7765
cnr_proxy_otsu,0.8,2221,0.7878
cnr_proxy_otsu,0.85,2360,0.79
cnr_proxy_otsu,0.9,2499,0.801
cnr_proxy_otsu,0.95,2638,0.8126
cnr_proxy_otsu,1.0,2776,0.8228
