conspicuity_col,coverage,retained_n,ad_auroc
sigma_global,0.1,278,0.8668
sigma_global,0.15,417,0.8633
sigma_global,0.2,556,0.8698
sigma_global,0.25,694,0.879
sigma_global,0.3,833,0.8668
sigma_global,0.35,972,0.8629
sigma_global,0.4,1111,0.8587
sigma_global,0.45,1250,0.8538
sigma_global,0.5,1388,0.8513
sigma_global,0.55,1527,0.8408
sigma_global,0.6,1666,0.8422
sigma_global,0.65,1805,0.8364
sigma_global,0.7,1944,0.8329
sigma_global,0.75,2082,0.8305
sigma_global,0.8,2221,0.8292
sigma_global,0.85,2360,0.8274
sigma_global,0.9,2499,0.8256
sigma_global,0.95,2638,0.8284
sigma_global,1.0,2776,0.8228
