filename,seg_filename,n_components
BraTS2021_01467_flair_13.png,BraTS2021_01467_seg_13.png,6
BraTS2021_01467_flair_18.png,BraTS2021_01467_seg_18.png,2
BraTS2021_01467_flair_23.png,BraTS2021_01467_seg_23.png,2
BraTS2021_01467_flair_28.png,BraTS2021_01467_seg_28.png,2
BraTS2021_01467_flair_33.png,BraTS2021_01467_seg_33.png,3
BraTS2021_01467_flair_38.png,BraTS2021_01467_seg_38.png,4
BraTS2021_01467_flair_43.png,BraTS2021_01467_seg_43.png,3
BraTS2021_01467_flair_48.png,BraTS2021_01467_seg_48.png,3
BraTS2021_01467_flair_53.png,BraTS2021_01467_seg_53.png,1
BraTS2021_01467_flair_58.png,BraTS2021_01467_seg_58.png,1
BraTS2021_01467_flair_63.png,BraTS2021_01467_seg_63.png,10
BraTS2021_01467_flair_68.png,BraTS2021_01467_seg_68.png,2
BraTS2021_01468_flair_0.png,BraTS2021_01468_seg_0.png,3
BraTS2021_01468_flair_10.png,BraTS2021_01468_seg_10.png,2
BraTS2021_01468_flair_15.png,BraTS2021_01468_seg_15.png,1
BraTS2021_01468_flair_20.png,BraTS2021_01468_seg_20.png,2
BraTS2021_01468_flair_25.png,BraTS2021_01468_seg_25.png,8
BraTS2021_01468_flair_5.png,BraTS2021_01468_seg_5.png,3
BraTS2021_01469_flair_0.png,BraTS2021_01469_seg_0.png,8
BraTS2021_01469_flair_10.png,BraTS2021_01469_seg_10.png,12
BraTS2021_01469_flair_15.png,BraTS2021_01469_seg_15.png,35
BraTS2021_01469_flair_20.png,BraTS2021_01469_seg_20.png,14
BraTS2021_01469_flair_25.png,BraTS2021_01469_seg_25.png,20
BraTS2021_01469_flair_5.png,BraTS2021_01469_seg_5.png,3
BraTS2021_01470_flair_0.png,BraTS2021_01470_seg_0.png,3
BraTS2021_01470_flair_10.png,BraTS2021_01470_seg_10.png,3
BraTS2021_01470_flair_15.png,BraTS2021_01470_seg_15.png,6
BraTS2021_01470_flair_20.png,BraTS2021_01470_seg_20.png,3
BraTS2021_01470_flair_25.png,BraTS2021_01470_seg_25.png,2
BraTS2021_01470_flair_30.png,BraTS2021_01470_seg_30.png,9
BraTS2021_01470_flair_35.png,BraTS2021_01470_seg_35.png,11
BraTS2021_01470_flair_5.png,BraTS2021_01470_seg_5.png,5
BraTS2021_01471_flair_12.png,BraTS2021_01471_seg_12.png,12
BraTS2021_01471_flair_17.png,BraTS2021_01471_seg_17.png,11
BraTS2021_01471_flair_22.png,BraTS2021_01471_seg_22.png,12
BraTS2021_01471_flair_27.png,BraTS2021_01471_seg_27.png,1
BraTS2021_01471_flair_32.png,BraTS2021_01471_seg_32.png,4
BraTS2021_01471_flair_37.png,BraTS2021_01471_seg_37.png,6
BraTS2021_01471_flair_42.png,BraTS2021_01471_seg_42.png,7
BraTS2021_01471_flair_47.png,BraTS2021_01471_seg_47.png,7
BraTS2021_01471_flair_52.png,BraTS2021_01471_seg_52.png,8
BraTS2021_01471_flair_57.png,BraTS2021_01471_seg_57.png,8
BraTS2021_01471_flair_62.png,BraTS2021_01471_seg_62.png,6
BraTS2021_01471_flair_67.png,BraTS2021_01471_seg_67.png,5
BraTS2021_01472_flair_0.png,BraTS2021_01472_seg_0.png,1
BraTS2021_01472_flair_10.png,BraTS2021_01472_seg_10.png,2
BraTS2021_01472_flair_15.png,BraTS2021_01472_seg_15.png,9
BraTS2021_01472_flair_5.png,BraTS2021_01472_seg_5.png,5
BraTS2021_01473_flair_0.png,BraTS2021_01473_seg_0.png,7
BraTS2021_01473_flair_10.png,BraTS2021_01473_seg_10.png,9
BraTS2021_01473_flair_15.png,BraTS2021_01473_seg_15.png,11
BraTS2021_01473_flair_20.png,BraTS2021_01473_seg_20.png,7
BraTS2021_01473_flair_25.png,BraTS2021_01473_seg_25.png,7
BraTS2021_01473_flair_30.png,BraTS2021_01473_seg_30.png,5
BraTS2021_01473_flair_35.png,BraTS2021_01473_seg_35.png,11
BraTS2021_01473_flair_40.png,BraTS2021_01473_seg_40.png,6
BraTS2021_01473_flair_45.png,BraTS2021_01473_seg_45.png,1
BraTS2021_01473_flair_5.png,BraTS2021_01473_seg_5.png,8
BraTS2021_01474_flair_0.png,BraTS2021_01474_seg_0.png,3
BraTS2021_01474_flair_10.png,BraTS2021_01474_seg_10.png,1
BraTS2021_01474_flair_15.png,BraTS2021_01474_seg_15.png,5
BraTS2021_01474_flair_20.png,BraTS2021_01474_seg_20.png,1
BraTS2021_01474_flair_25.png,BraTS2021_01474_seg_25.png,2
BraTS2021_01474_flair_30.png,BraTS2021_01474_seg_30.png,2
BraTS2021_01474_flair_35.png,BraTS2021_01474_seg_35.png,1
BraTS2021_01474_flair_40.png,BraTS2021_01474_seg_40.png,3
BraTS2021_01474_flair_5.png,BraTS2021_01474_seg_5.png,2
