conspicuity_col,coverage,retained_n,ad_auroc
fft_spectral_entropy,0.1,278,0.6237
fft_spectral_entropy,0.15,417,0.6136
fft_spectral_entropy,0.2,556,0.6005
fft_spectral_entropy,0.25,694,0.618
fft_spectral_entropy,0.3,833,0.6095
fft_spectral_entropy,0.35,972,0.6186
fft_spectral_entropy,0.4,1111,0.6332
fft_spectral_entropy,0.45,1250,0.6411
fft_spectral_entropy,0.5,1388,0.6359
fft_spectral_entropy,0.55,1527,0.6329
fft_spectral_entropy,0.6,1666,0.6352
fft_spectral_entropy,0.65,1805,0.6445
fft_spectral_entropy,0.7,1944,0.6451
fft_spectral_entropy,0.75,2082,0.654
fft_spectral_entropy,0.8,2221,0.6534
fft_spectral_entropy,0.85,2360,0.6606
fft_spectral_entropy,0.9,2499,0.667
fft_spectral_entropy,0.95,2638,0.6705
fft_spectral_entropy,1.0,2776,0.6857
