epoch,loss,elapsed_s
1,0.14688934775499196,5.7
2,0.01750820203182789,12.5
3,0.014012301799196464,19.9
4,0.012389197673362036,26.3
5,0.011838349327445031,35.7
6,0.010913398073842893,46.7
7,0.010404222831130027,56.6
8,0.009948369889305189,64.5
9,0.009864774016806712,72.6
10,0.009396142039734583,81.1
11,0.009211145520496827,88.3
12,0.008862261452640479,94.4
13,0.008913716831459449,101.5
14,0.008526086033536837,109.0
15,0.008362250273617415,116.0
16,0.008324426118857586,122.3
17,0.008380231089316882,129.7
18,0.007870978339073749,137.8
19,0.007791888885773145,145.8
20,0.007844250133404364,152.7
21,0.007761294573832017,159.7
22,0.007428681571036577,167.2
23,0.007403862669777411,175.7
24,0.0072482929135171265,181.9
25,0.007393246358976914,188.4
26,0.007059440661508303,195.0
27,0.006815954190320693,201.2
28,0.007017498886069426,207.3
29,0.0068734535804161655,214.6
30,0.006784607627643989,222.2
31,0.006855955017873874,230.0
32,0.006702432666833584,238.0
33,0.006643858186614055,245.0
34,0.006554759265138553,251.9
35,0.006606726907193661,259.3
36,0.006688411841885402,268.3
37,0.006479258498606774,277.3
38,0.006391131577010338,286.5
39,0.006222861940757586,295.6
40,0.006208943145779463,302.5
41,0.006128152674780442,309.6
42,0.006357980383416781,316.2
43,0.006255229447896664,324.3
44,0.006147492856073838,332.0
45,0.006108635320113256,338.8
46,0.006067214562342717,346.9
47,0.005800892649075159,354.2
48,0.0059051693345491705,362.5
