epoch,loss,elapsed_s
1,0.23960875977690405,17.8
2,0.025141430646181108,34.9
3,0.018660393815774185,52.1
4,0.016266589669080882,69.0
5,0.015095513715193822,86.2
6,0.014258774427267222,103.2
7,0.013694074964867188,121.4
8,0.013479806224887187,142.5
9,0.013283096855649582,161.6
10,0.012917828903748438,179.2
11,0.012816107659958876,197.0
12,0.012625144551006648,214.5
13,0.012284106231079651,232.3
14,0.012049997855837529,252.3
15,0.012116082542790816,269.5
16,0.01224496436233704,286.9
17,0.011876404127822473,304.0
18,0.011945100243274982,321.7
19,0.011587267412016026,339.2
20,0.011455211817071988,357.2
21,0.01127581142175656,374.9
22,0.011694264956391774,393.0
23,0.011367524357942435,410.6
24,0.011485495002797016,428.3
25,0.011275140654582244,450.6
26,0.011506023444235325,471.5
27,0.01117667776460831,491.5
28,0.01112065725028515,511.6
29,0.011388821828250701,531.3
30,0.011047799942585139,550.0
31,0.01111411893597016,570.2
32,0.011071226903452323,589.7
33,0.010839271803314869,607.5
34,0.011087891717369739,625.8
35,0.010924809397413181,643.9
36,0.010712699319880743,662.0
37,0.010763344039710668,679.9
38,0.01071798805720531,698.0
39,0.010879511199891567,715.6
40,0.010875868568053613,732.9
41,0.01082985895470931,750.6
42,0.010500247905460688,768.7
43,0.010695897443936422,786.6
44,0.010523344318454083,805.1
45,0.010676600870031578,822.9
46,0.010379782777566177,840.7
47,0.010321136263127511,858.3
48,0.01047824859046019,878.4
49,0.01029423988209321,897.3
50,0.010350371023210195,916.7
51,0.01038177042053296,934.6
52,0.010660416532594424,952.5
53,0.010334177687764168,969.4
54,0.010309037752449512,987.3
55,0.01016174885802544,1005.7
56,0.010148263393113246,1025.0
57,0.0103318820349299,1049.3
58,0.010118105534750682,1070.7
59,0.010511571426804249,1100.3
60,nan,1128.8
