filename,anomaly_score,label,sigma_global,glcm_cluster_prom,glcm_contrast,fft_spectral_entropy,cnr_proxy_otsu
BraTS2021_01467_flair_13.png,0.006833,1,0.10182,40923.792184,8.449042,4.153366,6.471192
BraTS2021_01467_flair_18.png,0.008243,1,0.111825,85759.280807,8.750126,4.033379,5.000566
BraTS2021_01467_flair_23.png,0.011605,1,0.123511,179166.879779,9.628338,4.003804,3.882419
BraTS2021_01467_flair_28.png,0.015905,1,0.134019,261620.485985,10.800405,4.03279,3.492266
BraTS2021_01467_flair_33.png,0.019347,1,0.139521,321700.138199,11.856278,4.076593,3.330489
BraTS2021_01467_flair_38.png,0.019501,1,0.138947,299985.126699,12.426559,4.148176,3.407608
BraTS2021_01467_flair_43.png,0.018607,1,0.138497,281190.436994,12.561788,4.173314,3.500018
BraTS2021_01467_flair_48.png,0.016489,1,0.136369,282586.047696,12.520067,4.238916,3.464033
BraTS2021_01467_flair_53.png,0.014838,1,0.133565,270248.783525,11.749884,4.22235,3.554543
BraTS2021_01467_flair_58.png,0.010523,1,0.126527,229074.667748,10.307107,4.23095,3.775132
BraTS2021_01467_flair_63.png,0.009525,1,0.118599,208545.105872,8.798022,4.333808,3.732545
BraTS2021_01467_flair_68.png,0.008232,1,0.109717,179754.789418,8.125495,4.617766,3.776959
BraTS2021_01468_flair_0.png,0.010179,1,0.174932,550622.607014,22.396364,4.587736,6.051661
BraTS2021_01468_flair_10.png,0.015631,1,0.192514,822774.118356,26.079342,4.297494,4.721805
BraTS2021_01468_flair_15.png,0.016022,1,0.191577,668179.591061,25.092174,4.160912,5.247449
BraTS2021_01468_flair_20.png,0.010367,1,0.185568,450870.615969,22.834924,4.028256,6.274559
BraTS2021_01468_flair_25.png,0.009739,1,0.183183,408937.280841,22.580183,3.998067,6.554318
BraTS2021_01468_flair_5.png,0.015989,1,0.186033,784694.518174,25.032167,4.501287,4.900622
BraTS2021_01469_flair_0.png,0.005822,1,0.140419,209238.93365,13.6132,4.381229,6.372197
BraTS2021_01469_flair_10.png,0.006306,1,0.142264,168069.901177,12.833419,3.951922,6.477817
BraTS2021_01469_flair_15.png,0.007071,1,0.145708,157000.779321,13.125532,3.748755,7.541853
BraTS2021_01469_flair_20.png,0.006041,1,0.14375,137032.221901,13.013842,3.691802,7.903626
BraTS2021_01469_flair_25.png,0.003817,1,0.13777,104631.392606,11.595799,3.640249,8.977229
BraTS2021_01469_flair_5.png,0.00487,1,0.140739,193280.54472,12.967836,4.247295,6.569016
BraTS2021_01470_flair_0.png,0.019226,1,0.25664,2420963.327511,39.130463,4.213834,6.560116
BraTS2021_01470_flair_10.png,0.018913,1,0.284084,2577593.408321,43.647355,3.832673,7.388143
BraTS2021_01470_flair_15.png,0.02302,1,0.27961,2365386.347842,45.410658,3.824593,6.714915
BraTS2021_01470_flair_20.png,0.019654,1,0.274643,1971996.185151,44.915921,3.814822,7.461072
BraTS2021_01470_flair_25.png,0.024151,1,0.276584,2065267.643623,48.626228,3.885985,7.478685
BraTS2021_01470_flair_30.png,0.015897,1,0.261475,1639462.724934,45.581114,3.996251,7.778452
BraTS2021_01470_flair_35.png,0.014675,1,0.264752,1757641.56621,44.854701,3.974997,8.035508
BraTS2021_01470_flair_5.png,0.016174,1,0.261368,2032037.788706,38.501114,3.973757,7.236659
BraTS2021_01471_flair_12.png,0.010956,1,0.147703,145838.538498,15.523278,3.747908,7.011968
BraTS2021_01471_flair_17.png,0.014952,1,0.156932,220161.850021,16.420516,3.662691,5.886564
BraTS2021_01471_flair_22.png,0.025631,1,0.177065,578296.416077,19.870915,3.695297,4.289724
BraTS2021_01471_flair_27.png,0.031889,1,0.193693,1086764.274053,20.280828,3.673092,3.679933
BraTS2021_01471_flair_32.png,0.03588,1,0.204889,1511894.42216,20.874041,3.711266,3.437566
BraTS2021_01471_flair_37.png,0.032542,1,0.207627,1603525.806947,19.06307,3.741898,3.484228
BraTS2021_01471_flair_42.png,0.027639,1,0.209535,1651545.074598,18.549934,3.768653,3.594625
BraTS2021_01471_flair_47.png,0.025806,1,0.204462,1544504.094931,18.735086,3.905549,3.783579
BraTS2021_01471_flair_52.png,0.022846,1,0.195103,1350112.356425,17.60688,4.035002,4.049678
BraTS2021_01471_flair_57.png,0.016593,1,0.181621,1146667.016468,16.787294,4.23663,4.189074
BraTS2021_01471_flair_62.png,0.013202,1,0.162962,938933.782888,15.705971,4.593363,4.2218
BraTS2021_01471_flair_67.png,0.010355,1,0.138789,693834.789277,13.925393,5.152959,4.451181
BraTS2021_01472_flair_0.png,0.017023,1,0.192013,878140.424653,25.308744,4.348291,4.94927
BraTS2021_01472_flair_10.png,0.015269,1,0.187113,581149.050759,24.275312,4.034007,5.617777
BraTS2021_01472_flair_15.png,0.011249,1,0.179467,392147.032708,23.004124,3.940631,6.316629
BraTS2021_01472_flair_5.png,0.015721,1,0.187281,703763.420298,23.307334,4.101071,4.89228
BraTS2021_01473_flair_0.png,0.004396,1,0.08838,55286.288267,5.611951,4.571191,4.337938
BraTS2021_01473_flair_10.png,0.015117,1,0.109927,260174.025631,9.783758,4.607471,2.679729
BraTS2021_01473_flair_15.png,0.032701,1,0.134995,894525.705003,16.061628,4.916277,4.150441
BraTS2021_01473_flair_20.png,0.047416,1,0.148697,1557208.542483,17.664747,4.97937,5.590477
BraTS2021_01473_flair_25.png,0.034034,1,0.132249,1111103.835407,12.229767,4.822999,3.961234
BraTS2021_01473_flair_30.png,0.011198,1,0.097478,159670.948781,6.594591,4.376959,3.042
BraTS2021_01473_flair_35.png,0.006182,1,0.082385,32082.610881,5.336303,4.318617,4.555405
BraTS2021_01473_flair_40.png,0.003852,1,0.075197,16040.911382,4.616109,4.387698,6.007486
BraTS2021_01473_flair_45.png,0.003184,1,0.070099,9166.744065,3.72987,4.316,8.144122
BraTS2021_01473_flair_5.png,0.007008,1,0.093521,81605.632105,6.323765,4.450551,3.57139
BraTS2021_01474_flair_0.png,0.004978,1,0.161891,360187.180255,16.887231,4.411726,9.080657
BraTS2021_01474_flair_10.png,0.009528,1,0.174913,580326.394987,19.801635,4.415883,6.559133
BraTS2021_01474_flair_15.png,0.014058,1,0.180464,733087.249771,20.840206,4.281986,5.608334
BraTS2021_01474_flair_20.png,0.013567,1,0.189211,868580.794523,21.84003,4.131886,5.52267
BraTS2021_01474_flair_25.png,0.015898,1,0.189658,814868.317788,23.23069,4.158006,5.582143
BraTS2021_01474_flair_30.png,0.010426,1,0.182857,555526.322683,21.100246,4.054008,6.699632
BraTS2021_01474_flair_35.png,0.006369,1,0.176242,372348.390921,17.793901,3.922012,8.59531
BraTS2021_01474_flair_40.png,0.004945,1,0.172647,318068.626438,17.483223,3.956511,9.590211
BraTS2021_01474_flair_5.png,0.006084,1,0.170022,434163.798258,18.85966,4.394298,8.249952
BraTS2021_01475_flair_0.png,0.011205,1,0.192065,502130.105563,25.854025,4.164485,8.274963
BraTS2021_01475_flair_10.png,0.021729,1,0.205731,707840.008355,30.816271,3.899953,5.996747
BraTS2021_01475_flair_15.png,0.020686,1,0.214339,815949.666941,33.043236,3.823699,5.988453
BraTS2021_01475_flair_20.png,0.020491,1,0.214774,857369.547472,29.898871,3.650244,5.720209
BraTS2021_01475_flair_25.png,0.023303,1,0.2194,1013936.624808,32.812655,3.678078,5.348063
BraTS2021_01475_flair_30.png,0.027018,1,0.223457,1093594.525822,35.278391,3.773185,5.305542
BraTS2021_01475_flair_35.png,0.028154,1,0.222796,1176226.848847,34.528727,3.902881,5.009663
BraTS2021_01475_flair_40.png,0.036453,1,0.231201,1616196.955965,34.219274,3.987608,4.55802
BraTS2021_01475_flair_45.png,0.033866,1,0.233801,1735142.582868,33.947217,4.031588,4.675259
BraTS2021_01475_flair_5.png,0.01659,1,0.195006,511736.434518,28.419514,3.994415,6.960793
BraTS2021_01475_flair_50.png,0.027482,1,0.226509,1650920.923651,29.084914,4.017306,4.737686
BraTS2021_01475_flair_55.png,0.01979,1,0.221895,1623225.486588,25.699384,4.02987,5.041498
BraTS2021_01475_flair_60.png,0.012425,1,0.207854,1203201.096529,22.035172,4.093183,6.023469
BraTS2021_01475_flair_65.png,0.007121,1,0.18152,723236.840529,18.554362,4.29875,7.393736
BraTS2021_01476_flair_13.png,0.009836,1,0.157839,286906.109682,15.387853,3.937739,6.404455
BraTS2021_01476_flair_18.png,0.010284,1,0.161708,330037.968212,15.401534,3.912987,5.921612
BraTS2021_01476_flair_23.png,0.011218,1,0.161876,343409.342349,14.266663,3.835696,5.872202
BraTS2021_01476_flair_28.png,0.009122,1,0.162205,349988.86272,14.203005,3.814354,5.802898
BraTS2021_01476_flair_3.png,0.004528,1,0.137386,170936.411127,12.554071,4.239375,7.928786
BraTS2021_01476_flair_33.png,0.009118,1,0.160832,352365.570082,14.647138,3.877162,5.744462
BraTS2021_01476_flair_38.png,0.008001,1,0.159218,344346.437813,14.159227,3.893103,5.842099
BraTS2021_01476_flair_43.png,0.007463,1,0.156943,298961.045241,12.655317,3.847296,6.942413
BraTS2021_01476_flair_48.png,0.004412,1,0.150433,227281.556698,11.325705,3.86769,8.986823
BraTS2021_01476_flair_8.png,0.005778,1,0.148195,210323.886115,12.908438,3.979666,7.307652
BraTS2021_01477_flair_0.png,0.019227,1,0.210454,1384082.947878,29.48819,4.518828,5.265635
BraTS2021_01477_flair_10.png,0.03057,1,0.232228,1755895.893541,30.153943,4.057859,4.657212
BraTS2021_01477_flair_15.png,0.035344,1,0.242443,1883618.049565,35.628206,4.020707,4.851093
BraTS2021_01477_flair_20.png,0.033066,1,0.242763,1830831.500095,31.598295,3.879489,4.733497
BraTS2021_01477_flair_25.png,0.032535,1,0.237952,1704964.410657,28.4729,3.812623,4.741789
BraTS2021_01477_flair_30.png,0.027214,1,0.238082,1607593.731341,31.011805,3.834253,5.176162
BraTS2021_01477_flair_35.png,0.020551,1,0.224837,1137968.02393,30.169422,3.855289,5.889641
BraTS2021_01477_flair_40.png,0.016249,1,0.208754,755642.911297,30.18652,4.001985,7.073046
BraTS2021_01477_flair_45.png,0.012474,1,0.20768,643564.825666,28.307787,3.966426,9.180326
BraTS2021_01477_flair_5.png,0.025542,1,0.222084,1597130.916376,30.55003,4.285295,4.848996
BraTS2021_01477_flair_50.png,0.006959,1,0.199507,552282.476649,23.65431,3.92858,10.085022
BraTS2021_01478_flair_0.png,0.017504,1,0.219819,1485493.484279,28.891206,4.284005,6.036741
BraTS2021_01478_flair_10.png,0.023159,1,0.230811,1433486.861332,30.292265,3.983325,5.706776
BraTS2021_01478_flair_15.png,0.022453,1,0.240889,1512012.666784,31.604583,3.817945,5.798904
BraTS2021_01478_flair_20.png,0.023205,1,0.239565,1377157.165778,30.982661,3.736711,5.954296
BraTS2021_01478_flair_25.png,0.01992,1,0.22797,1121494.441709,28.983841,3.689185,5.843511
BraTS2021_01478_flair_30.png,0.022531,1,0.22698,1083697.710323,32.770978,3.758966,5.931764
BraTS2021_01478_flair_35.png,0.023072,1,0.218619,946613.830888,35.19627,3.913132,5.951906
BraTS2021_01478_flair_40.png,0.021013,1,0.202325,717933.320452,34.863069,4.104029,5.945342
BraTS2021_01478_flair_45.png,0.017651,1,0.199334,652781.774367,31.760708,4.074438,6.564377
BraTS2021_01478_flair_5.png,0.018853,1,0.229149,1531116.160309,31.066105,4.110266,5.821921
BraTS2021_01478_flair_50.png,0.012359,1,0.19136,511189.933359,25.603297,3.997782,7.39357
BraTS2021_01478_flair_55.png,0.008651,1,0.182276,438032.163956,21.605768,3.997413,8.405293
BraTS2021_01479_flair_13.png,0.010272,1,0.162333,254125.764796,20.937895,4.26681,7.81816
BraTS2021_01479_flair_18.png,0.011401,1,0.163539,254635.726696,21.218114,4.243477,7.489015
BraTS2021_01479_flair_23.png,0.009703,1,0.164237,242495.033446,19.68024,4.129099,8.32294
BraTS2021_01479_flair_28.png,0.01006,1,0.172596,318101.269037,22.871878,4.114964,7.235982
BraTS2021_01479_flair_33.png,0.012724,1,0.177256,383398.151432,25.165031,4.171191,6.533471
BraTS2021_01479_flair_38.png,0.015941,1,0.17884,437595.278713,25.495989,4.212538,6.239025
BraTS2021_01479_flair_43.png,0.013714,1,0.179182,464633.905344,23.987277,4.157744,6.347456
BraTS2021_01479_flair_48.png,0.012101,1,0.178994,472258.391675,22.729448,4.142218,6.60767
BraTS2021_01479_flair_53.png,0.011852,1,0.177511,498250.895809,22.980194,4.25436,6.559332
BraTS2021_01479_flair_58.png,0.010168,1,0.16931,479752.198889,21.127444,4.373026,6.460966
BraTS2021_01479_flair_63.png,0.00931,1,0.159198,435549.565624,18.541774,4.501719,6.787401
BraTS2021_01479_flair_68.png,0.008097,1,0.147023,365243.797593,16.200754,4.684413,7.018566
BraTS2021_01480_flair_0.png,0.005383,1,0.1848,563372.239115,24.107992,4.469741,9.8978
BraTS2021_01480_flair_10.png,0.007136,1,0.188653,456100.233042,24.80219,4.102223,8.153704
BraTS2021_01480_flair_15.png,0.00728,1,0.19394,447902.327121,26.093534,3.988604,9.311979
BraTS2021_01480_flair_20.png,0.007434,1,0.194614,431407.337731,26.872534,3.957735,9.304934
BraTS2021_01480_flair_5.png,0.007147,1,0.185277,537215.001956,25.263664,4.411651,8.243423
BraTS2021_01481_flair_24.png,0.008627,1,0.233843,798930.659898,35.11461,3.627391,10.483147
BraTS2021_01481_flair_29.png,0.010461,1,0.238624,890852.458975,37.673948,3.652991,10.00852
BraTS2021_01481_flair_34.png,0.01277,1,0.243527,1056687.009363,38.245827,3.687465,8.573956
BraTS2021_01481_flair_39.png,0.015602,1,0.251704,1361366.455509,36.215808,3.667755,8.001851
BraTS2021_01481_flair_44.png,0.01554,1,0.259638,1691353.373331,32.831635,3.623244,8.14794
BraTS2021_01481_flair_49.png,0.014325,1,0.260294,1838263.256881,31.357631,3.654874,8.568624
BraTS2021_01481_flair_54.png,0.012344,1,0.252112,1828368.836045,29.695952,3.784866,8.925136
BraTS2021_01481_flair_59.png,0.010918,1,0.240768,1779748.62493,29.612076,4.011629,9.409995
BraTS2021_01481_flair_64.png,0.010032,1,0.223795,1596954.901329,27.662965,4.270343,10.587413
BraTS2021_01481_flair_69.png,0.006964,1,0.200535,1370025.660006,24.525029,4.584673,10.68388
BraTS2021_01482_flair_1.png,0.005948,1,0.137362,125901.34006,14.497622,4.156162,6.312945
BraTS2021_01482_flair_11.png,0.010775,1,0.151169,197073.441406,22.674832,4.090642,5.876535
BraTS2021_01482_flair_16.png,0.005231,1,0.146887,124504.423573,15.714675,3.731351,7.782525
BraTS2021_01482_flair_21.png,0.005181,1,0.148281,127469.942394,15.445298,3.675898,8.18961
BraTS2021_01482_flair_26.png,0.006154,1,0.149016,135183.16019,15.784125,3.706933,7.893128
BraTS2021_01482_flair_31.png,0.005631,1,0.148701,137681.044606,17.113481,3.797103,7.595797
BraTS2021_01482_flair_36.png,0.009927,1,0.14621,126102.517474,16.293895,3.806566,7.6421
BraTS2021_01482_flair_41.png,0.004706,1,0.143866,112662.618365,13.958252,3.702199,9.293718
BraTS2021_01482_flair_46.png,0.003352,1,0.141476,108203.752302,12.242947,3.693369,10.694087
BraTS2021_01482_flair_6.png,0.009155,1,0.14303,126928.622263,18.723685,4.107685,6.33935
BraTS2021_01483_flair_0.png,0.005568,1,0.178074,529656.879582,20.142031,4.325177,7.400369
BraTS2021_01483_flair_10.png,0.011059,1,0.186125,571122.886044,19.667193,4.049919,6.938699
BraTS2021_01483_flair_15.png,0.011034,1,0.19048,632013.967621,20.054897,3.989439,6.340396
BraTS2021_01483_flair_20.png,0.012313,1,0.195786,724464.029197,21.121889,3.948722,5.969124
BraTS2021_01483_flair_25.png,0.014735,1,0.201337,837333.650305,22.24953,3.904866,5.760479
BraTS2021_01483_flair_30.png,0.016358,1,0.204018,999379.818619,22.822888,3.913611,5.247816
BraTS2021_01483_flair_35.png,0.018254,1,0.202989,1026681.682932,22.217028,3.937159,5.081466
BraTS2021_01483_flair_40.png,0.014562,1,0.19756,855537.136509,19.032311,3.851059,5.542428
BraTS2021_01483_flair_45.png,0.011176,1,0.185955,645097.006529,17.160221,3.906386,6.09594
BraTS2021_01483_flair_5.png,0.008358,1,0.17848,546799.952139,19.733384,4.270973,7.045353
BraTS2021_01483_flair_50.png,0.00642,1,0.170223,449003.815159,15.363501,4.031384,6.910565
BraTS2021_01483_flair_55.png,0.004943,1,0.152349,306510.491246,13.123569,4.19368,7.874808
BraTS2021_01484_flair_14.png,0.016093,1,0.210724,628263.916902,34.975904,4.026607,7.093292
BraTS2021_01484_flair_19.png,0.018116,1,0.217713,739373.17637,39.656532,3.983859,6.376475
BraTS2021_01484_flair_24.png,0.016113,1,0.218021,735670.403701,44.962608,4.073028,5.990451
BraTS2021_01484_flair_29.png,0.017303,1,0.216442,720478.242595,45.825525,4.121475,5.850104
BraTS2021_01484_flair_34.png,0.017968,1,0.217221,774485.508902,47.400342,4.210955,5.793851
BraTS2021_01484_flair_39.png,0.018971,1,0.216511,813833.45193,47.988314,4.309806,5.653209
BraTS2021_01484_flair_44.png,0.018389,1,0.215651,843091.881788,47.492481,4.39501,5.530138
BraTS2021_01484_flair_49.png,0.020204,1,0.213593,842972.705638,45.99922,4.496184,5.903272
BraTS2021_01484_flair_54.png,0.018429,1,0.209054,803577.296303,42.13493,4.529331,6.416165
BraTS2021_01484_flair_59.png,0.017213,1,0.202866,774980.943423,39.601653,4.592936,6.713635
BraTS2021_01484_flair_64.png,0.015088,1,0.194248,736904.464428,33.081539,4.604916,7.808434
BraTS2021_01484_flair_69.png,0.010354,1,0.182467,713539.819268,26.132202,4.662205,8.818934
BraTS2021_01484_flair_9.png,0.010836,1,0.20398,543815.108618,33.311129,4.102709,7.772009
BraTS2021_01485_flair_14.png,0.012014,1,0.204858,593827.988765,30.808432,4.04563,7.47286
BraTS2021_01485_flair_19.png,0.012411,1,0.209774,658804.579738,34.219547,4.013384,6.8167
BraTS2021_01485_flair_24.png,0.015509,1,0.216887,924239.779555,34.080951,3.99552,6.035119
BraTS2021_01485_flair_29.png,0.017842,1,0.221132,1038073.216545,36.993917,4.079317,5.819031
BraTS2021_01485_flair_34.png,0.016293,1,0.221268,1057961.873445,37.20228,4.120776,5.767577
BraTS2021_01485_flair_39.png,0.014425,1,0.218331,991715.667052,34.261376,4.099103,6.148974
BraTS2021_01485_flair_44.png,0.011075,1,0.215314,848588.069253,30.103033,4.010802,7.66692
BraTS2021_01485_flair_49.png,0.007499,1,0.208439,694709.554799,27.166094,4.013078,9.982931
BraTS2021_01485_flair_54.png,0.007928,1,0.201373,649034.565389,24.314979,4.068336,11.927947
BraTS2021_01486_flair_0.png,0.006102,1,0.215841,1038359.204351,31.609731,4.362138,9.73549
BraTS2021_01486_flair_10.png,0.012608,1,0.227069,1140598.388504,35.801674,4.12747,7.220879
BraTS2021_01486_flair_15.png,0.019219,1,0.235603,1336209.223874,36.938814,3.989357,6.638001
BraTS2021_01486_flair_20.png,0.021613,1,0.239605,1465722.207507,37.029863,3.9315,6.096558
BraTS2021_01486_flair_25.png,0.02201,1,0.244405,1614318.87232,38.557297,3.934502,5.978997
BraTS2021_01486_flair_30.png,0.027303,1,0.250484,1878897.92352,41.513454,3.955578,5.679984
BraTS2021_01486_flair_35.png,0.023957,1,0.250596,1855778.044087,41.719581,3.972011,5.67483
BraTS2021_01486_flair_40.png,0.022847,1,0.24728,1806956.208177,39.568102,3.98139,5.668221
BraTS2021_01486_flair_45.png,0.023028,1,0.247155,1841095.181775,36.479131,3.948788,6.133459
BraTS2021_01486_flair_5.png,0.011867,1,0.219109,1071120.364452,35.777915,4.342554,7.669095
BraTS2021_01486_flair_50.png,0.015167,1,0.24127,1660920.758686,33.876825,3.985502,6.952859
BraTS2021_01486_flair_55.png,0.012616,1,0.231363,1522715.76769,31.478065,4.101194,7.53651
