conspicuity_col,coverage,retained_n,ad_auroc
cnr_proxy_otsu,0.1,278,0.679
cnr_proxy_otsu,0.15,417,0.7085
cnr_proxy_otsu,0.2,556,0.7273
cnr_proxy_otsu,0.25,694,0.7151
cnr_proxy_otsu,0.3,833,0.6997
cnr_proxy_otsu,0.35,972,0.7139
cnr_proxy_otsu,0.4,1111,0.7197
cnr_proxy_otsu,0.45,1250,0.7218
cnr_proxy_otsu,0.5,1388,0.7185
cnr_proxy_otsu,0.55,1527,0.7253
cnr_proxy_otsu,0.6,1666,0.7328
cnr_proxy_otsu,0.65,1805,0.7368
cnr_proxy_otsu,0.7,1944,0.7482
cnr_proxy_otsu,0.75,2082,0.7562
cnr_proxy_otsu,0.8,2221,0.7679
cnr_proxy_otsu,0.85,2360,0.7711
cnr_proxy_otsu,0.9,2499,0.7831
cnr_proxy_otsu,0.95,2638,0.7959
cnr_proxy_otsu,1.0,2776,0.8074
