conspicuity_col,coverage,retained_n,ad_auroc
fft_spectral_entropy,0.1,278,0.7303
fft_spectral_entropy,0.15,417,0.748
fft_spectral_entropy,0.2,556,0.7403
fft_spectral_entropy,0.25,694,0.7496
fft_spectral_entropy,0.3,833,0.7538
fft_spectral_entropy,0.35,972,0.7641
fft_spectral_entropy,0.4,1111,0.7724
fft_spectral_entropy,0.45,1250,0.7788
fft_spectral_entropy,0.5,1388,0.7902
fft_spectral_entropy,0.55,1527,0.7941
fft_spectral_entropy,0.6,1666,0.8002
fft_spectral_entropy,0.65,1805,0.8024
fft_spectral_entropy,0.7,1944,0.8035
fft_spectral_entropy,0.75,2082,0.8075
fft_spectral_entropy,0.8,2221,0.8072
fft_spectral_entropy,0.85,2360,0.8077
fft_spectral_entropy,0.9,2499,0.8088
fft_spectral_entropy,0.95,2638,0.8105
fft_spectral_entropy,1.0,2776,0.8074
