conspicuity_col,coverage,retained_n,ad_auroc
glcm_cluster_prom,0.1,278,0.8837
glcm_cluster_prom,0.15,417,0.8565
glcm_cluster_prom,0.2,556,0.8561
glcm_cluster_prom,0.25,694,0.8686
glcm_cluster_prom,0.3,833,0.8674
glcm_cluster_prom,0.35,972,0.8892
glcm_cluster_prom,0.4,1111,0.8568
glcm_cluster_prom,0.45,1250,0.8507
glcm_cluster_prom,0.5,1388,0.8405
glcm_cluster_prom,0.55,1527,0.8385
glcm_cluster_prom,0.6,1666,0.8276
glcm_cluster_prom,0.65,1805,0.8127
glcm_cluster_prom,0.7,1944,0.8112
glcm_cluster_prom,0.75,2082,0.8167
glcm_cluster_prom,0.8,2221,0.8119
glcm_cluster_prom,0.85,2360,0.8082
glcm_cluster_prom,0.9,2499,0.812
glcm_cluster_prom,0.95,2638,0.812
glcm_cluster_prom,1.0,2776,0.8074
