conspicuity_col,coverage,retained_n,ad_auroc
glcm_contrast,0.1,278,0.7244
glcm_contrast,0.15,417,0.7603
glcm_contrast,0.2,556,0.763
glcm_contrast,0.25,694,0.7671
glcm_contrast,0.3,833,0.7894
glcm_contrast,0.35,972,0.8016
glcm_contrast,0.4,1111,0.8118
glcm_contrast,0.45,1250,0.8037
glcm_contrast,0.5,1388,0.8074
glcm_contrast,0.55,1527,0.7991
glcm_contrast,0.6,1666,0.8018
glcm_contrast,0.65,1805,0.7986
glcm_contrast,0.7,1944,0.8037
glcm_contrast,0.75,2082,0.8034
glcm_contrast,0.8,2221,0.8052
glcm_contrast,0.85,2360,0.8072
glcm_contrast,0.9,2499,0.8081
glcm_contrast,0.95,2638,0.8094
glcm_contrast,1.0,2776,0.8074
