conspicuity_col,coverage,retained_n,ad_auroc
sigma_global,0.1,278,0.8478
sigma_global,0.15,417,0.8398
sigma_global,0.2,556,0.8496
sigma_global,0.25,694,0.8578
sigma_global,0.3,833,0.8452
sigma_global,0.35,972,0.8406
sigma_global,0.4,1111,0.837
sigma_global,0.45,1250,0.8299
sigma_global,0.5,1388,0.827
sigma_global,0.55,1527,0.8141
sigma_global,0.6,1666,0.8181
sigma_global,0.65,1805,0.8119
sigma_global,0.7,1944,0.8092
sigma_global,0.75,2082,0.8084
sigma_global,0.8,2221,0.8087
sigma_global,0.85,2360,0.8084
sigma_global,0.9,2499,0.8068
sigma_global,0.95,2638,0.8119
sigma_global,1.0,2776,0.8074
