case,n_cyst_orig,n_L1_128x128x64,survive_L1_128x128x64,vanished_L1_128x128x64,n_L0_64x64x32,survive_L0_64x64x32,vanished_L0_64x64x32
case_00002,45137,700,0.01550834127212708,0,79,0.0017502270864257704,0
case_00006,2289,62,0.02708606378331149,0,9,0.003931847968545216,0
case_00008,5237,89,0.016994462478518237,0,14,0.002673286232575902,0
case_00015,1964,98,0.04989816700610998,0,10,0.0050916496945010185,0
case_00020,50,2,0.04,0,1,0.02,0
case_00021,3563,372,0.10440639910188043,0,37,0.010384507437552624,0
case_00026,39138,512,0.013081915274158107,0,60,0.0015330369461904031,0
case_00027,3361,20,0.005950609937518596,0,3,0.0008925914906277894,0
case_00028,255,10,0.0392156862745098,0,2,0.00784313725490196,0
case_00030,247,29,0.11740890688259109,0,3,0.012145748987854251,0
case_00032,674,13,0.019287833827893175,0,2,0.002967359050445104,0
case_00034,467,14,0.029978586723768737,0,1,0.0021413276231263384,0
case_00037,18586,791,0.042558915312600885,0,102,0.005488001721726031,0
case_00045,12800,838,0.06546875,0,102,0.00796875,0
case_00050,1431,64,0.04472396925227114,0,11,0.007686932215234102,0
case_00051,3304,191,0.05780871670702179,0,27,0.008171912832929782,0
case_00054,249,7,0.028112449799196786,0,2,0.008032128514056224,0
case_00058,12149,477,0.039262490739978596,0,56,0.0046094328751337555,0
case_00060,6444,180,0.027932960893854747,0,22,0.003414028553693358,0
case_00063,30181,218,0.007223087372850469,0,26,0.0008614691362115238,0
case_00064,788,58,0.07360406091370558,0,2,0.0025380710659898475,0
case_00066,935,7,0.0074866310160427805,0,0,0.0,1
case_00068,197350,1296,0.006567012921205979,0,159,0.0008056751963516595,0
case_00069,60319,2675,0.04434755218090486,0,336,0.005570384124405245,0
case_00073,7245,205,0.028295376121463076,0,27,0.0037267080745341614,0
case_00074,19205,949,0.04941421504816454,0,119,0.00619630304608175,0
case_00075,308,11,0.03571428571428571,0,2,0.006493506493506494,0
case_00076,139,10,0.07194244604316546,0,2,0.014388489208633094,0
case_00081,181,4,0.022099447513812154,0,3,0.016574585635359115,0
case_00082,194,7,0.03608247422680412,0,0,0.0,1
case_00083,993,43,0.0433031218529708,0,4,0.004028197381671702,0
case_00084,27342,399,0.014592933947772658,0,49,0.0017921146953405018,0
case_00092,506,18,0.03557312252964427,0,5,0.009881422924901186,0
case_00093,95448,482,0.0050498700863297295,0,59,0.0006181376246752158,0
case_00094,13617,1269,0.09319233311302048,0,163,0.011970331203642506,0
case_00095,4429,59,0.013321291487920524,0,9,0.0020320614134116052,0
case_00097,947,42,0.044350580781414996,0,6,0.006335797254487857,0
case_00099,103,4,0.038834951456310676,0,0,0.0,1
case_00100,52,0,0.0,1,0,0.0,1
case_00102,19659,244,0.012411618088407345,0,31,0.0015768859046747037,0
case_00105,1164,30,0.02577319587628866,0,2,0.001718213058419244,0
case_00110,2655,328,0.12354048964218456,0,37,0.013935969868173258,0
case_00111,43,1,0.023255813953488372,0,0,0.0,1
case_00112,17386,587,0.03376279765328425,0,76,0.004371333256643276,0
case_00114,3108,43,0.013835263835263836,0,4,0.001287001287001287,0
case_00115,1381,15,0.010861694424330196,0,3,0.002172338884866039,0
case_00116,4355,49,0.011251435132032146,0,7,0.0016073478760045925,0
case_00117,40601,2352,0.05792960764513189,0,303,0.00746287037265092,0
case_00119,14224,628,0.044150731158605176,0,80,0.00562429696287964,0
case_00120,950,17,0.017894736842105262,0,2,0.002105263157894737,0
case_00121,1141,62,0.05433829973707274,0,6,0.0052585451358457495,0
case_00123,585,6,0.010256410256410256,0,1,0.0017094017094017094,0
case_00124,1439,23,0.015983321751216122,0,5,0.0034746351633078527,0
case_00125,585,15,0.02564102564102564,0,1,0.0017094017094017094,0
case_00127,846,30,0.03546099290780142,0,2,0.002364066193853428,0
case_00128,548,10,0.01824817518248175,0,1,0.0018248175182481751,0
case_00129,482,48,0.0995850622406639,0,5,0.01037344398340249,0
case_00130,461,43,0.09327548806941431,0,4,0.008676789587852495,0
case_00134,3752,238,0.06343283582089553,0,29,0.007729211087420042,0
case_00137,2613,100,0.038270187523918864,0,13,0.004975124378109453,0
case_00138,1021,52,0.050930460333006855,0,6,0.005876591576885406,0
case_00140,504,8,0.015873015873015872,0,4,0.007936507936507936,0
case_00141,68609,479,0.00698159133641359,0,61,0.0008890961827165532,0
case_00143,1311,62,0.04729214340198322,0,10,0.007627765064836003,0
case_00144,957,15,0.01567398119122257,0,0,0.0,1
case_00145,9030,419,0.04640088593576966,0,49,0.005426356589147287,0
case_00147,450,21,0.04666666666666667,0,1,0.0022222222222222222,0
case_00151,9726,38,0.003907053259304956,0,5,0.0005140859551717047,0
case_00152,4324,449,0.10383903792784459,0,56,0.012950971322849213,0
case_00153,231,16,0.06926406926406926,0,0,0.0,1
case_00154,6777,60,0.008853474988933156,0,4,0.0005902316659288771,0
case_00155,135785,1003,0.0073866774680561185,0,131,0.0009647604669146076,0
