stage,ur,fire_rate,clip_norm,seed,dataset,final_dice,diverged,collapsed,max_grad_norm,fg_ratio_mean,n_steps_run,collapse_thresh
B1,0.0,1.0,None,42,BraTS2021,0.090777,0,0,0.0,0.0,300,0.012882
B1,0.0,1.0,1.0,42,BraTS2021,0.090777,0,0,0.0,0.0,300,0.012882
B1,0.1,0.9,None,42,BraTS2021,0.535289,0,0,27.406918,0.108053,300,0.012882
B1,0.1,0.9,1.0,42,BraTS2021,0.524508,0,0,286.707031,0.099906,300,0.012882
B1,0.2,0.8,None,42,BraTS2021,0.639607,0,0,35.93084,0.091495,300,0.012882
B1,0.2,0.8,1.0,42,BraTS2021,0.634575,0,0,21.102346,0.089959,300,0.012882
B1,0.3,0.7,None,42,BraTS2021,0.641722,0,0,34.836113,0.08908,300,0.012882
B1,0.3,0.7,1.0,42,BraTS2021,0.639437,0,0,15.55307,0.086948,300,0.012882
B1,0.4,0.6,None,42,BraTS2021,0.713241,0,0,31.812078,0.087196,300,0.012882
B1,0.4,0.6,1.0,42,BraTS2021,0.627504,0,0,11.514011,0.07759,300,0.012882
B1,0.5,0.5,None,42,BraTS2021,0.621881,0,0,27.562284,0.075138,300,0.012882
B1,0.5,0.5,1.0,42,BraTS2021,0.579123,0,0,19.0963,0.069697,300,0.012882
B1,0.625,0.375,None,42,BraTS2021,0.001283,0,1,7.058749,0.016713,300,0.012882
B1,0.625,0.375,1.0,42,BraTS2021,0.664818,0,0,36.819191,0.082073,300,0.012882
B1,0.75,0.25,None,42,BraTS2021,0.001283,0,1,6.708773,0.016112,300,0.012882
B1,0.75,0.25,1.0,42,BraTS2021,0.674209,0,0,28.573166,0.078995,300,0.012882
B1,1.0,0.0,None,42,BraTS2021,0.676431,0,0,50.775242,0.0924,300,0.012882
B1,1.0,0.0,1.0,42,BraTS2021,0.608151,0,0,26.954605,0.079918,300,0.012882
