stage,ur,fire_rate,clip_norm,seed,dataset,final_dice,diverged,collapsed,max_grad_norm,fg_ratio_mean,n_steps_run,collapse_thresh
B2,0.45,0.55,None,42,BraTS2021,0.686466,0,0,32.822727,0.084172,300,0.012882
B2,0.45,0.55,1.0,42,BraTS2021,0.691051,0,0,39.643982,0.082167,300,0.012882
B2,0.475,0.525,None,42,BraTS2021,0.68503,0,0,26.802713,0.092118,300,0.012882
B2,0.475,0.525,1.0,42,BraTS2021,0.664214,0,0,21.516172,0.074975,300,0.012882
B2,0.5,0.5,None,42,BraTS2021,0.68142,0,0,28.429371,0.072715,300,0.012882
B2,0.5,0.5,1.0,42,BraTS2021,0.651901,0,0,16.614096,0.044311,300,0.012882
B2,0.525,0.475,None,42,BraTS2021,0.624162,0,0,21.171766,0.07588,300,0.012882
B2,0.525,0.475,1.0,42,BraTS2021,0.676776,0,0,19.345177,0.056378,300,0.012882
B2,0.55,0.45,None,42,BraTS2021,0.730342,0,0,95.085175,0.086578,300,0.012882
B2,0.55,0.45,1.0,42,BraTS2021,0.6389,0,0,24.988106,0.077152,300,0.012882
B2,0.575,0.425,None,42,BraTS2021,0.676469,0,0,39.25153,0.079745,300,0.012882
B2,0.575,0.425,1.0,42,BraTS2021,0.664506,0,0,26.36433,0.075462,300,0.012882
B2,0.6,0.4,None,42,BraTS2021,0.650691,0,0,23.244951,0.080317,300,0.012882
B2,0.6,0.4,1.0,42,BraTS2021,0.001283,0,1,15.268335,0.030712,300,0.012882
B2,0.625,0.375,None,42,BraTS2021,0.001283,0,1,7.058663,0.016713,300,0.012882
B2,0.625,0.375,1.0,42,BraTS2021,0.001283,0,1,11.831632,0.018883,300,0.012882
B2,0.65,0.35,None,42,BraTS2021,0.64857,0,0,71.078995,0.092581,300,0.012882
B2,0.65,0.35,1.0,42,BraTS2021,0.001283,0,1,6.814305,0.015049,300,0.012882
B2,0.675,0.325,None,42,BraTS2021,0.651378,0,0,59.038502,0.081078,300,0.012882
B2,0.675,0.325,1.0,42,BraTS2021,0.001283,0,1,11.535335,0.017309,300,0.012882
B2,0.7,0.3,None,42,BraTS2021,0.664386,0,0,42.743355,0.082045,300,0.012882
B2,0.7,0.3,1.0,42,BraTS2021,0.001283,0,1,12.391275,0.017518,300,0.012882
B2,0.725,0.275,None,42,BraTS2021,0.001283,0,1,17.843887,0.019141,300,0.012882
B2,0.725,0.275,1.0,42,BraTS2021,0.001283,0,1,13.470022,0.017397,300,0.012882
B2,0.75,0.25,None,42,BraTS2021,0.001283,0,1,7.532072,0.016173,300,0.012882
B2,0.75,0.25,1.0,42,BraTS2021,0.641223,0,0,36.039501,0.078883,300,0.012882
