stage,ur,fire_rate,clip_norm,seed,dataset,final_dice,diverged,collapsed,max_grad_norm,fg_ratio_mean,n_steps_run,collapse_thresh
B3,0.45,0.55,None,42,BraTS2021,0.629114,0,0,24.693714,0.082661,300,0.012882
B3,0.45,0.55,None,43,BraTS2021,0.695915,0,0,16.016117,0.086711,300,0.012882
B3,0.45,0.55,None,44,BraTS2021,0.665742,0,0,44.036819,0.092615,300,0.012882
B3,0.45,0.55,None,45,BraTS2021,0.684786,0,0,30.274759,0.069115,300,0.012882
B3,0.45,0.55,None,46,BraTS2021,0.657427,0,0,25.5268,0.071735,300,0.012882
B3,0.5,0.5,None,42,BraTS2021,0.703586,0,0,20.619989,0.080045,300,0.012882
B3,0.5,0.5,None,43,BraTS2021,0.694185,0,0,36.153316,0.089896,300,0.012882
B3,0.5,0.5,None,44,BraTS2021,0.700571,0,0,24.543339,0.08019,300,0.012882
B3,0.5,0.5,None,45,BraTS2021,0.646819,0,0,48.139217,0.082533,300,0.012882
B3,0.5,0.5,None,46,BraTS2021,0.66038,0,0,44.886414,0.067242,300,0.012882
B3,0.55,0.45,None,42,BraTS2021,0.647825,0,0,35.594349,0.090082,300,0.012882
B3,0.55,0.45,None,43,BraTS2021,0.688279,0,0,31.739752,0.072203,300,0.012882
B3,0.55,0.45,None,44,BraTS2021,0.001085,0,1,9.40041,0.032882,300,0.012882
B3,0.55,0.45,None,45,BraTS2021,0.679886,0,0,25.11278,0.08886,300,0.012882
B3,0.55,0.45,None,46,BraTS2021,0.676055,0,0,28.610188,0.073411,300,0.012882
B3,0.6,0.4,None,42,BraTS2021,0.607103,0,0,31.879549,0.079155,300,0.012882
B3,0.6,0.4,None,43,BraTS2021,0.709823,0,0,16.801346,0.081281,300,0.012882
B3,0.6,0.4,None,44,BraTS2021,0.681491,0,0,38.538723,0.09465,300,0.012882
B3,0.6,0.4,None,45,BraTS2021,0.686026,0,0,44.610188,0.061958,300,0.012882
B3,0.6,0.4,None,46,BraTS2021,0.001111,0,1,1.81322,0.010622,300,0.012882
B3,0.65,0.35,None,42,BraTS2021,0.001283,0,1,10.353912,0.027539,300,0.012882
B3,0.65,0.35,None,43,BraTS2021,0.707908,0,0,32.864586,0.087272,300,0.012882
B3,0.65,0.35,None,44,BraTS2021,0.645563,0,0,32.229153,0.090988,300,0.012882
B3,0.65,0.35,None,45,BraTS2021,0.69351,0,0,27.436132,0.081783,300,0.012882
B3,0.65,0.35,None,46,BraTS2021,0.001111,0,1,27.538401,0.046753,300,0.012882
B3,0.7,0.3,None,42,BraTS2021,0.001283,0,1,13.306588,0.024131,300,0.012882
B3,0.7,0.3,None,43,BraTS2021,0.00111,0,1,2.474461,0.015135,300,0.012882
B3,0.7,0.3,None,44,BraTS2021,0.001085,0,1,16.265043,0.020994,300,0.012882
B3,0.7,0.3,None,45,BraTS2021,0.64962,0,0,27.619505,0.067636,300,0.012882
B3,0.7,0.3,None,46,BraTS2021,0.001111,0,1,1.636576,0.009579,300,0.012882
B3,0.75,0.25,None,42,BraTS2021,0.001283,0,1,7.075447,0.016103,300,0.012882
B3,0.75,0.25,None,43,BraTS2021,0.705802,0,0,36.378193,0.086912,300,0.012882
B3,0.75,0.25,None,44,BraTS2021,0.001085,0,1,12.502271,0.043304,300,0.012882
B3,0.75,0.25,None,45,BraTS2021,0.001193,0,1,3.66449,0.010607,300,0.012882
B3,0.75,0.25,None,46,BraTS2021,0.001111,0,1,1.86089,0.009458,300,0.012882
B3,0.8,0.2,None,42,BraTS2021,0.001283,0,1,11.022674,0.020643,300,0.012882
B3,0.8,0.2,None,43,BraTS2021,0.00111,0,1,10.482169,0.013859,300,0.012882
B3,0.8,0.2,None,44,BraTS2021,0.001085,0,1,14.257768,0.026732,300,0.012882
B3,0.8,0.2,None,45,BraTS2021,0.001193,0,1,3.917206,0.010521,300,0.012882
B3,0.8,0.2,None,46,BraTS2021,0.001111,0,1,1.166909,0.009394,300,0.012882
