stage,ur,fire_rate,clip_norm,seed,dataset,final_dice,diverged,collapsed,max_grad_norm,fg_ratio_mean,n_steps_run,collapse_thresh
B3,0.25,0.75,None,42,Hippocampus,0.382555,0,0,65.288124,0.14581,300,0.116745
B3,0.25,0.75,None,43,Hippocampus,0.082439,0,1,26.856194,0.12822,300,0.116745
B3,0.25,0.75,None,44,Hippocampus,0.142216,0,0,28.023472,0.135252,300,0.116745
B3,0.25,0.75,None,45,Hippocampus,0.303468,0,0,70.040115,0.171474,300,0.116745
B3,0.25,0.75,None,46,Hippocampus,0.292572,0,0,24.385796,0.131853,300,0.116745
B3,0.3,0.7,None,42,Hippocampus,0.332409,0,0,13.728978,0.144164,300,0.116745
B3,0.3,0.7,None,43,Hippocampus,0.214213,0,0,27.137968,0.148338,300,0.116745
B3,0.3,0.7,None,44,Hippocampus,0.260376,0,0,127.169388,0.129259,300,0.116745
B3,0.3,0.7,None,45,Hippocampus,0.297084,0,0,14.963284,0.162076,300,0.116745
B3,0.3,0.7,None,46,Hippocampus,0.282161,0,0,11.036944,0.121104,300,0.116745
B3,0.35,0.65,None,42,Hippocampus,0.334055,0,0,57.037308,0.165817,300,0.116745
B3,0.35,0.65,None,43,Hippocampus,0.002727,0,1,48.029781,0.122897,300,0.116745
B3,0.35,0.65,None,44,Hippocampus,0.001056,0,1,43.798176,0.18358,300,0.116745
B3,0.35,0.65,None,45,Hippocampus,0.295718,0,0,16.131325,0.158692,300,0.116745
B3,0.35,0.65,None,46,Hippocampus,0.018502,0,1,11.072487,0.091407,300,0.116745
B3,0.4,0.6,None,42,Hippocampus,0.001113,0,1,37.586605,0.107878,300,0.116745
B3,0.4,0.6,None,43,Hippocampus,0.003259,0,1,8.299336,0.101762,300,0.116745
B3,0.4,0.6,None,44,Hippocampus,0.042376,0,1,13.377193,0.114417,300,0.116745
B3,0.4,0.6,None,45,Hippocampus,0.164912,0,0,18.63768,0.180584,300,0.116745
B3,0.4,0.6,None,46,Hippocampus,0.001757,0,1,9.179578,0.083755,300,0.116745
B3,0.45,0.55,None,42,Hippocampus,0.001113,0,1,50.433762,0.106155,300,0.116745
B3,0.45,0.55,None,43,Hippocampus,0.002727,0,1,4.369378,0.053122,300,0.116745
B3,0.45,0.55,None,44,Hippocampus,0.001057,0,1,9.493213,0.061944,300,0.116745
B3,0.45,0.55,None,45,Hippocampus,0.301133,0,0,53.886406,0.164189,300,0.116745
B3,0.45,0.55,None,46,Hippocampus,0.001757,0,1,12.719602,0.114322,300,0.116745
B3,0.5,0.5,None,42,Hippocampus,0.001113,0,1,21.757086,0.033263,300,0.116745
B3,0.5,0.5,None,43,Hippocampus,0.002727,0,1,10.280362,0.057889,300,0.116745
B3,0.5,0.5,None,44,Hippocampus,0.001057,0,1,7.65174,0.030814,300,0.116745
B3,0.5,0.5,None,45,Hippocampus,0.001202,0,1,17.985077,0.123407,300,0.116745
B3,0.5,0.5,None,46,Hippocampus,0.001757,0,1,22.247423,0.087729,300,0.116745
B3,0.6,0.4,None,42,Hippocampus,0.001113,0,1,17.15906,0.093876,300,0.116745
B3,0.6,0.4,None,43,Hippocampus,0.002727,0,1,18.804058,0.116367,300,0.116745
B3,0.6,0.4,None,44,Hippocampus,0.001057,0,1,7.164529,0.067331,300,0.116745
B3,0.6,0.4,None,45,Hippocampus,0.001202,0,1,16.044546,0.114204,300,0.116745
B3,0.6,0.4,None,46,Hippocampus,0.001757,0,1,7.62495,0.063922,300,0.116745
B3,0.7,0.3,None,42,Hippocampus,0.001113,0,1,3.787664,0.029329,300,0.116745
B3,0.7,0.3,None,43,Hippocampus,0.002727,0,1,71.542488,0.127921,300,0.116745
B3,0.7,0.3,None,44,Hippocampus,0.001057,0,1,18.076561,0.121943,300,0.116745
B3,0.7,0.3,None,45,Hippocampus,0.001202,0,1,3.86079,0.026986,300,0.116745
B3,0.7,0.3,None,46,Hippocampus,0.001757,0,1,12.962114,0.084125,300,0.116745
