run_id,dataset,ur,fire_rate,clip_norm,seed,step,dice_proxy,fg_ratio,diverged,sigma_t,dfront_t,rho_t
brats_065,brats,0.65,0.35,None,42,0,0.0610888,0.0,0,0.34629096,0.0,1.00000274
brats_065,brats,0.65,0.35,None,42,1,0.07177138,0.99932861,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,2,0.10695344,0.421875,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,3,0.10832107,0.5,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,4,0.11635745,0.9654541,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,5,0.13577926,0.36395264,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,6,0.18089122,0.41638184,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,7,0.18190736,0.40014648,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,8,0.16387755,0.37414551,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,9,0.1918025,0.34637451,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,10,0.29781783,0.28662109,0,0.55469931,0.0,1.26257896
brats_065,brats,0.65,0.35,None,42,11,0.32470918,0.01074219,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,12,0.456936,0.2131958,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,13,0.29047859,0.22912598,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,14,0.52572352,0.14788818,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,15,0.62563741,0.02416992,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,16,0.36418593,0.22399902,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,17,0.39310193,0.24914551,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,18,0.36200047,0.23132324,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,19,0.57760429,0.12347412,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,20,0.62216729,0.02575684,0,0.50720234,0.0,1.51750952
brats_065,brats,0.65,0.35,None,42,21,0.65381342,0.02526855,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,22,0.48711884,0.11828613,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,23,0.53412879,0.07348633,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,24,0.66096818,0.0213623,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,25,0.59696013,0.12414551,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,26,0.6055488,0.05871582,0,nan,nan,nan
brats_065,brats,0.65,0.35,None,42,27,0.00164402,0.0,0,nan,nan,nan
