run_id,dataset,ur,fire_rate,clip_norm,seed,step,dice_proxy,fg_ratio,diverged,sigma_t,dfront_t,rho_t
hippo_045,hippo,0.45,0.55,None,42,0,0.08886665,0.0,0,0.53909811,0.0,0.9999938
hippo_045,hippo,0.45,0.55,None,42,1,0.07358992,0.0,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,2,0.05894142,0.0,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,3,0.03174144,0.01708984,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,4,0.12087923,0.13092041,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,5,0.14978933,0.1572876,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,6,0.00816333,0.24530029,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,7,0.0811469,0.15222168,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,8,0.15791929,0.26568604,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,9,0.12735915,0.1439209,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,10,0.22143072,0.2119751,0,0.76677575,0.0,1.22000146
hippo_045,hippo,0.45,0.55,None,42,11,0.12866956,0.2520752,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,12,0.05368406,0.20922852,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,13,0.00355625,0.38562012,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,14,0.12587196,0.45623779,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,15,0.23333615,0.4039917,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,16,0.0314194,0.15289307,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,17,0.21277624,0.23706055,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,18,0.14787722,0.36688232,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,19,0.11585081,0.81243896,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,20,0.05657721,0.68804932,0,0.80056569,1.0,1.34182405
hippo_045,hippo,0.45,0.55,None,42,21,0.1537677,0.58416748,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,22,0.07665181,0.40148926,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,23,0.19286662,0.45031738,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,24,0.16657031,0.3180542,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,25,0.09612989,0.4440918,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,26,0.24864423,0.24432373,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,27,0.09970301,0.45471191,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,28,0.20603484,0.50512695,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,29,0.12410343,0.33282471,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,30,0.12543344,0.08856201,0,0.60923599,2.23606801,1.79364431
hippo_045,hippo,0.45,0.55,None,42,31,0.26748216,0.09082031,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,32,0.36511475,0.12902832,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,33,0.02153909,0.1138916,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,34,0.30995399,0.21270752,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,35,0.19971603,0.13757324,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,36,0.33436573,0.328125,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,37,0.28424132,0.2635498,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,38,0.1555239,0.13262939,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,39,0.04628181,0.08728027,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,40,0.02040023,0.04016113,0,0.5543995,3.1622777,1.8127713
hippo_045,hippo,0.45,0.55,None,42,41,0.00629491,0.03808594,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,42,0.04449064,0.07763672,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,43,0.22861576,0.21954346,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,44,0.180489,0.61102295,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,45,0.22746164,0.6182251,0,nan,nan,nan
hippo_045,hippo,0.45,0.55,None,42,46,0.12074703,0.24072266,0,nan,nan,nan
