run_id,dataset,ur,clip_norm,seed,collapsed,x_sigma_mean,x_sigma_last,x_d_mean,x_d_last,final_dice,n_early_steps
brats_050,brats,0.5,None,42,0,0.578473,0.569963,0.539345,1.0,0.737341,51
brats_050,brats,0.5,None,43,0,0.595838,0.573732,1.010749,2.236068,0.626811,51
brats_050,brats,0.5,None,44,0,0.550205,0.569962,0.402369,1.0,0.408249,51
brats_065,brats,0.65,None,42,1,0.508477,0.559213,1.04044,1.414214,0.001277,51
brats_065,brats,0.65,None,43,0,0.531256,0.507991,1.04044,2.0,0.445825,51
brats_065,brats,0.65,None,44,1,0.571302,0.739328,0.166667,0.0,0.000889,51
brats_080,brats,0.8,None,42,1,0.595468,0.716544,1.314392,2.0,0.001277,51
brats_080,brats,0.8,None,43,1,0.31816,0.275111,1.979509,2.236068,0.000858,51
brats_080,brats,0.8,None,44,0,0.321256,0.339075,0.804738,1.0,0.539052,51
hippo_030,hippo,0.3,None,42,1,0.775058,0.7064,0.471405,2.828427,0.001246,51
hippo_030,hippo,0.3,None,43,0,0.829181,0.838216,0.569036,2.0,0.453046,51
hippo_030,hippo,0.3,None,44,1,0.722817,0.701487,0.0,0.0,0.080421,50
hippo_045,hippo,0.45,None,42,1,0.634812,0.538799,1.439069,2.236068,0.000935,51
hippo_045,hippo,0.45,None,43,1,0.737503,0.725058,1.178511,2.828427,0.000625,51
hippo_045,hippo,0.45,None,44,1,0.631694,0.597922,0.402369,1.0,0.002632,50
