# quantimmu-bench E-analysis factors | 口径: Peptide_ID 聚合分 vs Elispot 连续 Spearman
# HLAthena = MHC-I presentation proxy (NOT immunogenicity tool); near-random on ELISpot
# 聚合 NaN 处理: 某肽某工具全 NaN -> 记 NaN, 不参与该工具 Spearman
# Factor 2b: DS2 max-agg per-Patient_ID Spearman_rho; n_i<4 -> rho_i=NaN
Tool,Patient_ID,n_i,rho_i,pval_i,is_proxy
DeepImmuno,101,9,-0.05,0.8984,0
DeepImmuno,102,6,0.1429,0.7872,0
DeepImmuno,104,14,0.3234,0.2593,0
DeepImmuno,105,16,-0.1676,0.5349,0
DeepImmuno,106,13,-0.3297,0.2713,0
DeepImmuno,107,8,0.119,0.7789,0
DeepImmuno,108,12,0.5088,0.0912,0
DeepImmuno,109,10,-0.227,0.5282,0
DeepImmuno,110,13,-0.0798,0.7956,0
PredIG,101,9,0.6103,0.0809,0
PredIG,102,6,0.0286,0.9572,0
PredIG,104,14,0.1716,0.5574,0
PredIG,105,16,0.4206,0.1048,0
PredIG,106,13,0.2912,0.3344,0
PredIG,107,8,0.4762,0.2329,0
PredIG,108,12,-0.063,0.8457,0
PredIG,109,10,-0.5394,0.1076,0
PredIG,110,13,0.4429,0.1296,0
NeoTImmuML,101,9,-0.2845,0.4581,0
NeoTImmuML,102,6,0.2571,0.6228,0
NeoTImmuML,104,14,-0.0352,0.9049,0
NeoTImmuML,105,16,0.0706,0.7949,0
NeoTImmuML,106,13,-0.022,0.9432,0
NeoTImmuML,107,8,-0.1667,0.6932,0
NeoTImmuML,108,12,0.0947,0.7696,0
NeoTImmuML,109,10,0.3497,0.3219,0
NeoTImmuML,110,13,0.0578,0.8513,0
IMPROVE,101,9,0.0509,0.8966,0
IMPROVE,102,6,0.5429,0.2657,0
IMPROVE,104,14,0.2684,0.3535,0
IMPROVE,105,16,0.5125,0.0424,0
IMPROVE,106,13,0.5055,0.078,0
IMPROVE,107,8,-0.1905,0.6514,0
IMPROVE,108,12,-0.1228,0.7038,0
IMPROVE,109,10,-0.0554,0.8792,0
IMPROVE,110,13,0.4044,0.1705,0
pTuneos,101,9,0.2039,0.5987,0
pTuneos,102,6,0.765,0.0763,0
pTuneos,104,14,0.3866,0.1721,0
pTuneos,105,16,-0.1808,0.5027,0
pTuneos,106,13,0.6528,0.0156,0
pTuneos,107,8,0.0982,0.817,0
pTuneos,108,12,0.0294,0.9278,0
pTuneos,109,10,-0.3159,0.374,0
pTuneos,110,13,0.1592,0.6035,0
PRIME,101,9,-0.1356,0.7279,0
PRIME,102,5,-0.1,0.8729,0
PRIME,104,14,0.5259,0.0534,0
PRIME,105,16,0.3859,0.1399,0
PRIME,106,13,0.4396,0.1329,0
PRIME,107,8,-0.3333,0.4198,0
PRIME,108,12,-0.2702,0.3957,0
PRIME,109,10,0.4724,0.168,0
PRIME,110,13,0.4539,0.1192,0
ImmuneApp,101,9,0.6118,0.08,0
ImmuneApp,102,6,0.3719,0.4679,0
ImmuneApp,104,14,-0.2419,0.4048,0
ImmuneApp,105,16,0.5931,0.0154,0
ImmuneApp,106,13,0.1865,0.5418,0
ImmuneApp,107,8,-0.2455,0.5579,0
ImmuneApp,108,12,-0.0673,0.8353,0
ImmuneApp,109,10,0.523,0.1209,0
ImmuneApp,110,13,-0.1074,0.727,0
deepHLApan,101,9,0.8117,0.0079,0
deepHLApan,102,6,-0.4286,0.3965,0
deepHLApan,104,14,-0.0882,0.7643,0
deepHLApan,105,15,0.5357,0.0396,0
deepHLApan,106,13,0.4017,0.1737,0
deepHLApan,107,8,0.4286,0.2894,0
deepHLApan,108,11,-0.1455,0.6696,0
deepHLApan,109,10,0.7576,0.0111,0
deepHLApan,110,12,-0.2456,0.4416,0
HLAthena,101,9,0.1526,0.6952,1
HLAthena,102,5,-0.8,0.1041,1
HLAthena,104,14,0.0088,0.9762,1
HLAthena,105,16,-0.2962,0.2652,1
HLAthena,106,13,0.5,0.0819,1
HLAthena,107,8,-0.5476,0.16,1
HLAthena,108,12,-0.193,0.5479,1
HLAthena,109,10,0.0923,0.7998,1
HLAthena,110,13,0.2834,0.3482,1
