# ablation_dim_weights.csv
# QuantImmuBench G3 §3.3.2 表7: 维度留一消融 + 加权对比 (本地实证, 不照搬大纲)
# section=leave_one_out: variant=dropped_dim (__full__=全维基线); delta_vs_full=rho(去该维)-rho(全维), 最负=最承重维
# section=weighting: variant=加权方案 (uniform=等权基线); delta_vs_full=rho(该方案)-rho(uniform等权)
# 主集=6维SURV6, 7维对照; 主fusion=geomean, mean_rank对照; 主分析=DS2, DS1敏感性
# 加权方案 1-4 用标签, 一律 patient-level LOPO 无泄漏 (权重只用训练折病人算)
# fusion_rho=per-patient Spearman Fisher-z 加权; ci_low/high=95%CI; n_pat=有效病人数
section,dataset,ndim,fusion_method,variant,fusion_rho,ci_low,ci_high,n_pat,delta_vs_full
leave_one_out,DS2,6,geomean,__full__,0.355331,0.132447,0.54401,9,0.0
leave_one_out,DS2,6,geomean,MT_PredIG,0.339896,0.115923,0.530976,9,-0.015435
leave_one_out,DS2,6,geomean,MT_IMPROVE_mean_prediction_rf,0.335719,0.111933,0.527096,9,-0.019612
leave_one_out,DS2,6,geomean,MT_pTuneos,0.321154,0.094427,0.516209,9,-0.034176
leave_one_out,DS2,6,geomean,MT_PRIME,0.380766,0.161472,0.564227,9,0.025435
leave_one_out,DS2,6,geomean,MT_ImmuneApp,0.330916,0.106067,0.52357,9,-0.024415
leave_one_out,DS2,6,geomean,MT_deepHLApan,0.342985,0.119541,0.533359,9,-0.012345
weighting,DS2,6,weighted_mean_rank,uniform,0.351054,0.127268,0.540831,9,0.0
weighting,DS2,6,weighted_mean_rank,rho,0.260463,0.031758,0.46325,9,-0.090592
weighting,DS2,6,weighted_mean_rank,softmax_rho,0.324004,0.098055,0.518186,9,-0.027051
weighting,DS2,6,weighted_mean_rank,inv_var,0.228481,-0.002313,0.436165,9,-0.122574
weighting,DS2,6,weighted_mean_rank,learned_simplex,0.109589,-0.122971,0.33074,9,-0.241465
leave_one_out,DS2,6,mean_rank,__full__,0.349143,0.125212,0.539224,9,0.0
leave_one_out,DS2,6,mean_rank,MT_PredIG,0.329275,0.104251,0.522229,9,-0.019867
leave_one_out,DS2,6,mean_rank,MT_IMPROVE_mean_prediction_rf,0.361147,0.138973,0.548708,9,0.012005
leave_one_out,DS2,6,mean_rank,MT_pTuneos,0.349502,0.125989,0.539244,9,0.000359
leave_one_out,DS2,6,mean_rank,MT_PRIME,0.365263,0.14328,0.552254,9,0.01612
leave_one_out,DS2,6,mean_rank,MT_ImmuneApp,0.356187,0.132809,0.54513,9,0.007044
leave_one_out,DS2,6,mean_rank,MT_deepHLApan,0.345016,0.120583,0.535895,9,-0.004126
weighting,DS2,6,weighted_mean_rank,uniform,0.351054,0.127268,0.540831,9,0.0
weighting,DS2,6,weighted_mean_rank,rho,0.260463,0.031758,0.46325,9,-0.090592
weighting,DS2,6,weighted_mean_rank,softmax_rho,0.324004,0.098055,0.518186,9,-0.027051
weighting,DS2,6,weighted_mean_rank,inv_var,0.228481,-0.002313,0.436165,9,-0.122574
weighting,DS2,6,weighted_mean_rank,learned_simplex,0.109589,-0.122971,0.33074,9,-0.241465
leave_one_out,DS2,7,geomean,__full__,0.342574,0.118327,0.533573,9,0.0
leave_one_out,DS2,7,geomean,MT_PredIG,0.335273,0.110535,0.527392,9,-0.007301
leave_one_out,DS2,7,geomean,MT_IMPROVE_mean_prediction_rf,0.340801,0.115933,0.532437,9,-0.001773
leave_one_out,DS2,7,geomean,MT_pTuneos,0.340155,0.1154,0.531777,9,-0.002419
leave_one_out,DS2,7,geomean,MT_PRIME,0.34314,0.118075,0.534673,9,0.000566
leave_one_out,DS2,7,geomean,MT_ImmuneApp,0.312391,0.085622,0.508387,9,-0.030183
leave_one_out,DS2,7,geomean,MT_deepHLApan,0.261757,0.031155,0.465902,9,-0.080816
leave_one_out,DS2,7,geomean,pool_netAffneg_top20,0.355331,0.132447,0.54401,9,0.012757
weighting,DS2,7,weighted_mean_rank,uniform,0.32417,0.096765,0.519409,9,0.0
weighting,DS2,7,weighted_mean_rank,rho,0.214563,-0.017589,0.424763,9,-0.109607
weighting,DS2,7,weighted_mean_rank,softmax_rho,0.295051,0.065813,0.494705,9,-0.029119
weighting,DS2,7,weighted_mean_rank,inv_var,0.216603,-0.015498,0.426555,9,-0.107566
weighting,DS2,7,weighted_mean_rank,learned_simplex,0.109589,-0.122971,0.33074,9,-0.21458
leave_one_out,DS2,7,mean_rank,__full__,0.323623,0.096169,0.518956,9,0.0
leave_one_out,DS2,7,mean_rank,MT_PredIG,0.339689,0.11399,0.532046,9,0.016067
leave_one_out,DS2,7,mean_rank,MT_IMPROVE_mean_prediction_rf,0.372255,0.149533,0.559024,9,0.048632
leave_one_out,DS2,7,mean_rank,MT_pTuneos,0.34689,0.122515,0.53753,9,0.023268
leave_one_out,DS2,7,mean_rank,MT_PRIME,0.319226,0.092447,0.51452,9,-0.004397
leave_one_out,DS2,7,mean_rank,MT_ImmuneApp,0.324837,0.098477,0.519237,9,0.001215
leave_one_out,DS2,7,mean_rank,MT_deepHLApan,0.275134,0.045604,0.477069,9,-0.048489
leave_one_out,DS2,7,mean_rank,pool_netAffneg_top20,0.349143,0.125212,0.539224,9,0.02552
weighting,DS2,7,weighted_mean_rank,uniform,0.32417,0.096765,0.519409,9,0.0
