ensemble,AUC,rho,tools
ALL8_rankmean,0.6989898989898989,0.1882937427616334,DeepImmuno+PredIG+IMPROVE+NeoTImmuML+pTuneos+PRIME+ImmuneApp+deepHLApan
ALL8_zmean,0.6555555555555556,0.20283701585006172,DeepImmuno+PredIG+IMPROVE+NeoTImmuML+pTuneos+PRIME+ImmuneApp+deepHLApan
ALL8_topkvote,0.6646464646464646,0.21675106519041273,DeepImmuno+PredIG+IMPROVE+NeoTImmuML+pTuneos+PRIME+ImmuneApp+deepHLApan
TOP4auc_rankmean,0.7833333333333333,0.25054822169158225,pTuneos+PredIG+NeoTImmuML+IMPROVE
TOP3auc_rankmean,0.8146464646464646,0.1939308336440961,pTuneos+PredIG+NeoTImmuML
TOP3auc_zmean,0.7722222222222223,0.20106760018205252,pTuneos+PredIG+NeoTImmuML
pTuneos+IMPROVE,0.7282828282828283,0.23350797865963113,pTuneos+IMPROVE
pTuneos+PredIG+IMPROVE,0.7378787878787878,0.27801545261310806,pTuneos+PredIG+IMPROVE
pTuneos+IMPROVE+NeoTImmuML,0.7505050505050505,0.1970102048784043,pTuneos+IMPROVE+NeoTImmuML
pTuneos+NeoTImmuML,0.7984848484848486,0.10049042449264162,pTuneos+NeoTImmuML
