# fusion_nested_cv_members.csv —— 每折 × pool × caliber 选中融合成员
# n_used_lenctrl = 控长口径下该留出患者的完整用例点数 (裸口径列空)
pool,caliber,fold_left_out_patient,members_selected,n_members,single_selected,n_used_lenctrl
fullcov,raw,101,MHCseqNet;IEDB_Calis,2,MHCseqNet,
fullcov,raw,102,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov,raw,104,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov,raw,105,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov,raw,106,MHCseqNet;andy90;MHCflurry;CNNeo,4,MHCseqNet,
fullcov,raw,107,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov,raw,108,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov,raw,109,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov,raw,110,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov,lenctrl,101,ImmuGenX;andy90;TSCAPE;MHCflurry,4,ImmuGenX,12
fullcov,lenctrl,102,MHCseqNet;NeoTImmuML,2,MHCseqNet,8
fullcov,lenctrl,104,andy90;MHCflurry;MHCseqNet,3,andy90,17
fullcov,lenctrl,105,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,19
fullcov,lenctrl,106,MHCseqNet;andy90;MHCflurry;CNNeo,4,MHCseqNet,16
fullcov,lenctrl,107,andy90;MHCflurry;MHCseqNet,3,andy90,12
fullcov,lenctrl,108,MHCflurry;andy90;MHCseqNet,3,MHCflurry,15
fullcov,lenctrl,109,CNNeo;andy90;MHCflurry;MHCseqNet,4,CNNeo,16
fullcov,lenctrl,110,andy90;MHCflurry;MHCseqNet,3,andy90,15
fullcov_no_dtu,raw,101,MHCseqNet;IEDB_Calis,2,MHCseqNet,
fullcov_no_dtu,raw,102,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov_no_dtu,raw,104,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov_no_dtu,raw,105,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov_no_dtu,raw,106,MHCseqNet;andy90;MHCflurry;CNNeo,4,MHCseqNet,
fullcov_no_dtu,raw,107,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov_no_dtu,raw,108,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov_no_dtu,raw,109,MHCseqNet;NeoTImmuML,2,MHCseqNet,
fullcov_no_dtu,raw,110,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,
fullcov_no_dtu,lenctrl,101,ImmuGenX;andy90;NeoTImmuML,3,ImmuGenX,12
fullcov_no_dtu,lenctrl,102,MHCseqNet;NeoTImmuML,2,MHCseqNet,8
fullcov_no_dtu,lenctrl,104,andy90;MHCflurry;MHCseqNet,3,andy90,17
fullcov_no_dtu,lenctrl,105,MHCseqNet;andy90;MHCflurry,3,MHCseqNet,19
fullcov_no_dtu,lenctrl,106,MHCseqNet;andy90;MHCflurry;CNNeo,4,MHCseqNet,16
fullcov_no_dtu,lenctrl,107,andy90;MHCflurry;MHCseqNet,3,andy90,12
fullcov_no_dtu,lenctrl,108,MHCflurry;andy90;MHCseqNet,3,MHCflurry,15
fullcov_no_dtu,lenctrl,109,CNNeo;andy90;MHCflurry;MHCseqNet,4,CNNeo,16
fullcov_no_dtu,lenctrl,110,andy90;MHCflurry;MHCseqNet,3,andy90,15
