# QuantImmuBench DS2 全工具指标 | NN=18 | sub_agg=max
# Spearman: 纯 numpy 实现(禁 scipy.stats); p-value via scipy.special.betainc
# pending_DTU_consent: 工具原始数据使用待 DTU 授权
Tool,Aggregation,Threshold,n_pep,n_pos,n_neg,AUC_ROC,AUPRC,Spearman_rho,Spearman_pval,pending_DTU_consent
DeepImmuno,max,>0,101,90,11,0.4692,0.8932,-0.089,0.3762,False
DeepImmuno,max,>10,101,64,37,0.5361,0.6701,-0.089,0.3762,False
DeepImmuno,max,>median,101,50,51,0.4759,0.5014,-0.089,0.3762,False
DeepImmuno,mean,>0,101,90,11,0.5,0.8812,-0.1099,0.2739,False
DeepImmuno,mean,>10,101,64,37,0.508,0.6472,-0.1099,0.2739,False
DeepImmuno,mean,>median,101,50,51,0.482,0.507,-0.1099,0.2739,False
DeepImmuno,top3mean,>0,101,90,11,0.4859,0.8982,-0.0948,0.3459,False
DeepImmuno,top3mean,>10,101,64,37,0.5355,0.6633,-0.0948,0.3459,False
DeepImmuno,top3mean,>median,101,50,51,0.4678,0.4954,-0.0948,0.3459,False
PredIG,max,>0,101,90,11,0.6631,0.9421,0.2005,0.0444,False
PredIG,max,>10,101,64,37,0.5598,0.6786,0.2005,0.0444,False
PredIG,max,>median,101,50,51,0.5704,0.5609,0.2005,0.0444,False
PredIG,mean,>0,101,90,11,0.7566,0.9601,0.2789,0.0047,False
PredIG,mean,>10,101,64,37,0.6288,0.7215,0.2789,0.0047,False
PredIG,mean,>median,101,50,51,0.6129,0.5834,0.2789,0.0047,False
PredIG,top3mean,>0,101,90,11,0.6657,0.9393,0.1994,0.0456,False
PredIG,top3mean,>10,101,64,37,0.5598,0.6862,0.1994,0.0456,False
PredIG,top3mean,>median,101,50,51,0.57,0.557,0.1994,0.0456,False
IMPROVE,max,>0,101,90,11,0.6157,0.9211,0.2518,0.0111,False
IMPROVE,max,>10,101,64,37,0.6569,0.7621,0.2518,0.0111,False
IMPROVE,max,>median,101,50,51,0.6049,0.6251,0.2518,0.0111,False
IMPROVE,mean,>0,101,90,11,0.6192,0.9185,0.2102,0.0349,False
IMPROVE,mean,>10,101,64,37,0.6161,0.7357,0.2102,0.0349,False
IMPROVE,mean,>median,101,50,51,0.6035,0.6106,0.2102,0.0349,False
IMPROVE,top3mean,>0,101,90,11,0.6268,0.9214,0.3227,0.001,False
IMPROVE,top3mean,>10,101,64,37,0.6812,0.7864,0.3227,0.001,False
IMPROVE,top3mean,>median,101,50,51,0.6453,0.6541,0.3227,0.001,False
NeoTImmuML,max,>0,101,90,11,0.6551,0.9421,0.0218,0.8285,False
NeoTImmuML,max,>10,101,64,37,0.5046,0.6374,0.0218,0.8285,False
NeoTImmuML,max,>median,101,50,51,0.5173,0.5155,0.0218,0.8285,False
NeoTImmuML,mean,>0,101,90,11,0.5758,0.9251,0.0966,0.3365,False
NeoTImmuML,mean,>10,101,64,37,0.5503,0.6962,0.0966,0.3365,False
NeoTImmuML,mean,>median,101,50,51,0.5671,0.6096,0.0966,0.3365,False
NeoTImmuML,top3mean,>0,101,90,11,0.6551,0.9421,0.0218,0.8285,False
NeoTImmuML,top3mean,>10,101,64,37,0.5046,0.6374,0.0218,0.8285,False
NeoTImmuML,top3mean,>median,101,50,51,0.5173,0.5155,0.0218,0.8285,False
pTuneos,max,>0,101,90,11,0.7182,0.9427,0.1186,0.2375,False
pTuneos,max,>10,101,64,37,0.5807,0.664,0.1186,0.2375,False
pTuneos,max,>median,101,50,51,0.5304,0.4962,0.1186,0.2375,False
pTuneos,mean,>0,101,90,11,0.7712,0.9673,0.0288,0.7751,False
pTuneos,mean,>10,101,64,37,0.5099,0.6403,0.0288,0.7751,False
pTuneos,mean,>median,101,50,51,0.4608,0.4502,0.0288,0.7751,False
pTuneos,top3mean,>0,101,90,11,0.7152,0.9462,0.0981,0.329,False
pTuneos,top3mean,>10,101,64,37,0.5737,0.6621,0.0981,0.329,False
pTuneos,top3mean,>median,101,50,51,0.5159,0.4858,0.0981,0.329,False
PRIME,max,>0,101,90,11,0.5167,0.9152,0.1582,0.1141,False
PRIME,max,>10,101,64,37,0.6147,0.7209,0.1582,0.1141,False
