Tool,Aggregation,Threshold,n_pep,n_pos,n_neg,AUPRC,PPV_top10,PPV_top25,PPV_top50,MCC_youden,Youden_thr
DeepImmuno,max,>0,101,90,11,0.8951,0.9,0.92,0.88,0.0818,0.9502
DeepImmuno,max,>10,101,64,37,0.6632,0.6,0.72,0.64,0.1144,0.9896
DeepImmuno,max,>median,101,50,51,0.4929,0.3,0.48,0.46,0.1036,0.9985
DeepImmuno,mean,>0,101,90,11,0.8871,0.8,0.92,0.9,0.108,0.7556
DeepImmuno,mean,>10,101,64,37,0.6209,0.6,0.64,0.62,0.0382,0.7755
DeepImmuno,mean,>median,101,50,51,0.4757,0.4,0.48,0.46,0.101,0.877
DeepImmuno,top3mean,>0,101,90,11,0.9001,1.0,0.84,0.9,0.1159,0.9963
DeepImmuno,top3mean,>10,101,64,37,0.6572,0.6,0.64,0.64,0.0965,0.9879
DeepImmuno,top3mean,>median,101,50,51,0.4871,0.4,0.4,0.46,0.1036,0.9976
IMPROVE,max,>0,101,90,11,0.9221,0.9,0.92,0.92,0.2401,0.478
IMPROVE,max,>10,101,64,37,0.7599,0.9,0.76,0.74,0.3466,0.4806
IMPROVE,max,>median,101,50,51,0.6211,0.8,0.56,0.58,0.2345,0.4727
IMPROVE,mean,>0,101,90,11,0.9184,0.9,0.92,0.94,0.2217,0.3667
IMPROVE,mean,>10,101,64,37,0.7349,0.8,0.72,0.7,0.2437,0.3756
IMPROVE,mean,>median,101,50,51,0.61,0.6,0.56,0.56,0.2593,0.3642
IMPROVE,top3mean,>0,101,90,11,0.9212,0.9,0.88,0.92,0.2217,0.4644
IMPROVE,top3mean,>10,101,64,37,0.7859,0.9,0.8,0.72,0.3716,0.4644
IMPROVE,top3mean,>median,101,50,51,0.654,0.7,0.64,0.58,0.3465,0.4653
NeoTImmuML,max,>0,101,90,11,0.9421,1.0,0.96,0.96,0.2243,0.9832
NeoTImmuML,max,>10,101,64,37,0.6374,0.6,0.56,0.66,0.0829,0.974
NeoTImmuML,max,>median,101,50,51,0.5155,0.4,0.44,0.54,0.1122,0.9743
NeoTImmuML,mean,>0,101,90,11,0.9251,1.0,0.96,0.9,0.1637,0.4221
NeoTImmuML,mean,>10,101,64,37,0.6962,0.8,0.72,0.68,0.1299,0.372
NeoTImmuML,mean,>median,101,50,51,0.6096,0.8,0.6,0.56,0.1925,0.4036
NeoTImmuML,top3mean,>0,101,90,11,0.9421,1.0,0.96,0.96,0.2243,0.9832
NeoTImmuML,top3mean,>10,101,64,37,0.6374,0.6,0.56,0.66,0.0829,0.974
NeoTImmuML,top3mean,>median,101,50,51,0.5155,0.4,0.44,0.54,0.1122,0.9743
PredIG,max,>0,101,90,11,0.9411,1.0,0.96,0.96,0.2473,0.8602
PredIG,max,>10,101,64,37,0.6771,0.8,0.56,0.68,0.1765,0.8365
PredIG,max,>median,101,50,51,0.5619,0.6,0.48,0.54,0.1681,0.8997
PredIG,mean,>0,101,90,11,0.9592,1.0,0.96,0.96,0.4022,0.0446
PredIG,mean,>10,101,64,37,0.7221,0.6,0.68,0.74,0.3152,0.0583
PredIG,mean,>median,101,50,51,0.5898,0.5,0.56,0.6,0.2969,0.0583
PredIG,top3mean,>0,101,90,11,0.939,0.9,0.96,0.94,0.2054,0.8489
PredIG,top3mean,>10,101,64,37,0.6922,0.6,0.64,0.66,0.2242,0.4986
PredIG,top3mean,>median,101,50,51,0.5629,0.5,0.56,0.54,0.2669,0.4234
pTuneos,max,>0,101,90,11,0.9494,1.0,0.96,0.98,0.2797,0.2
pTuneos,max,>10,101,64,37,0.6552,0.5,0.72,0.72,0.1368,0.3
pTuneos,max,>median,101,50,51,0.4936,0.2,0.48,0.54,0.0968,0.2
pTuneos,mean,>0,101,90,11,0.9679,1.0,1.0,0.96,0.3189,0.0032
pTuneos,mean,>10,101,64,37,0.6357,0.7,0.6,0.62,0.1306,0.0032
pTuneos,mean,>median,101,50,51,0.4469,0.3,0.36,0.48,0.1707,0.0005
pTuneos,top3mean,>0,101,90,11,0.95,1.0,0.96,0.96,0.2797,0.1333
pTuneos,top3mean,>10,101,64,37,0.6481,0.6,0.64,0.7,0.1372,0.1333
pTuneos,top3mean,>median,101,50,51,0.4781,0.4,0.4,0.54,0.0968,0.1333
