# R1_single_maxpool_official.csv
# QuantImmuBench §3.1 表5: 30 工具 max-pool 单工具 per-patient Spearman 基线
# 输入=data/frozen/pooled_peptide_level_30tools.csv; DS2 9 患者; Elispot 连续 SFC
# fisherz_rho=跨患者 Fisher-z 等权聚合; ci_lo/ci_hi=95%CI; rho_p<id>=各患者 per-patient rho
# pending_DTU=True 为 DTU 受限工具(结果照常算, 部署/对外受 DTU 同意约束)
Tool,pending_DTU,fisherz_rho,ci_lo,ci_hi,n_pat,n_dropped,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110
HLAthena,False,0.4166,0.2387,0.5675,9,0,1.0,-0.0952,-0.0957,-0.1336,0.5412,-0.2028,0.229,0.5167,0.202
PRIME,False,0.3204,0.1312,0.487,9,0,0.0986,0.4048,0.2748,0.3944,0.3912,-0.1399,0.0179,0.7686,0.4129
ICERFIRE,True,0.3066,0.1158,0.4756,9,0,0.1695,0.4,0.253,0.6244,0.5714,-0.0952,-0.2067,0.3865,0.3916
MHCflurry,False,0.255,0.0615,0.4299,9,0,0.3451,0.5,-0.1583,0.3796,0.4265,0.0559,-0.0859,0.6593,0.2234
IMPROVE,False,0.2496,0.0576,0.4238,9,0,0.2958,0.0952,0.2613,0.3171,0.5206,-0.0909,0.2612,0.0296,0.3521
andy90,False,0.2439,0.0486,0.4212,9,0,0.2042,1.0,-0.438,-0.2021,0.1,-0.2727,0.3235,0.6474,0.3164
deepHLApan,False,0.2357,0.0403,0.4137,9,0,0.9,-0.3714,-0.0882,0.4728,0.4017,0.4286,-0.0806,0.2393,-0.1405
netMHCpan_BA,True,0.228,0.0333,0.4059,9,0,-0.0282,-0.0714,0.0834,0.3434,0.4559,-0.1189,-0.1109,0.8012,0.1984
PredIG,False,0.2143,0.0189,0.3939,9,0,0.7372,-0.2143,0.2,0.2115,0.3824,0.3007,0.1591,-0.3646,0.3914
netMHCstabpan,True,0.1565,-0.0555,0.3549,9,0,1.0,-1.0,0.1264,0.866,0.5,0.4,0.866,0.0976,-1.0
netMHCpan_EL,True,0.1478,-0.0476,0.3324,9,0,-0.0141,0.0476,-0.1485,0.2011,0.3471,-0.0559,0.0394,0.6593,0.059
TSCAPE,True,0.1261,-0.0694,0.3122,9,0,0.4648,0.3571,0.1865,0.2916,-0.2029,0.0,-0.202,0.3324,0.0304
IEDB_Calis,False,0.1231,-0.0739,0.3108,9,0,0.8671,0.7857,-0.2282,0.0202,0.0412,-0.2098,0.0483,0.2821,-0.0464
NeoaPred,False,0.11,-0.3926,0.5621,1,0,,,0.11,,,,,,
MHCnuggets,False,0.0842,-0.1143,0.2762,9,0,0.3732,-1.0,0.1804,0.4162,0.5824,0.1538,-0.0716,0.1751,0.1805
Repitope,False,0.0748,-0.1216,0.2656,9,0,0.5524,-0.381,-0.2233,-0.1388,0.0294,0.3986,0.4179,-0.1633,0.2556
pTuneos,False,0.0645,-0.1318,0.2559,9,0,-0.2236,0.488,0.146,-0.1808,0.6528,0.0982,0.0293,-0.3159,0.108
NeoaG,False,0.061,-0.1345,0.252,9,0,-0.1826,-0.2648,0.0885,0.3091,0.5291,-0.3172,0.0561,0.0755,-0.222
TransHLA,False,0.0428,-0.155,0.2374,9,0,0.2535,0.7143,-0.5301,0.3171,0.5647,-0.0979,-0.227,-0.1691,-0.0697
NetTepi,True,0.0422,-0.1556,0.2369,9,0,0.2958,-1.0,0.2505,-0.0395,0.3382,0.1888,0.1073,0.7157,-0.1233
ImmuneApp,False,0.0413,-0.1548,0.2342,9,0,0.6381,-0.2962,0.07,0.3331,0.2926,-0.1792,-0.2424,-0.2942,-0.1531
BigMHC_IM,False,0.0344,-0.1594,0.2256,9,0,0.2535,0.4762,0.0515,0.1476,-0.2176,-0.2448,0.2627,-0.178,-0.0018
DeepImmuno,False,0.0311,-0.1634,0.2233,9,0,-0.0559,0.0952,0.3313,-0.2807,-0.2618,0.2378,0.4057,0.0148,-0.059
ImmuGenX,False,0.0117,-0.186,0.2086,9,0,0.5282,-1.0,-0.0761,0.2521,0.5265,-0.0699,-0.2433,0.5405,0.0036
CNNeo,False,-0.0044,-0.197,0.1884,9,0,-0.2046,-0.0838,0.0136,-0.2475,-0.046,0.0283,0.0349,0.4938,-0.0679
MUNIS,False,-0.0287,-0.2248,0.1696,9,0,0.1408,-1.0,-0.3497,0.5015,0.4739,-0.0699,-0.1252,0.4395,-0.0018
NeoTImmuML,False,-0.0389,-0.229,0.154,9,0,-0.014,0.0714,-0.0417,0.0237,0.0735,0.1608,-0.1269,-0.3798,-0.0018
Seq2Neo,True,-0.0577,-0.2659,0.1556,9,0,1.0,1.0,0.1632,-0.866,0.5,0.8,-0.5,-0.5002,-1.0
DeepNetBim,False,-0.1903,-0.6921,0.4354,1,0,-0.1903,,,,,,,,
MHCseqNet,False,-0.2421,-0.418,-0.0488,9,0,0.2963,-1.0,-0.0791,-0.0207,0.0753,0.233,-0.1197,-0.7255,-0.0845
