# R4_ablation_official.csv
# QuantImmuBench §3.3.2 表7: 维度留一消融 + 加权对比 (干净口径, 本地实证)
# 输入=pooled_clean_9mer.csv; DS2 9 患者; 维度零选择 <tool>_max(B5); 主集6维SURV6, 7维对照; geomean/mean_rank
# section=leave_one_out: variant=去掉的维(__full__=全维); delta_vs_full 最负=最承重维
# section=weighting: variant=加权方案(uniform=等权基线); delta_vs_full=vs等权
# fusion_rho=裸等权; fusion_rho_lenctrl=控肽长偏相关(B2, ctrl=peplen); ci_*=cluster-bootstrap over patients 95%CI(B4, 裸分数)
# ★ 维度集成员 + 4 加权方案形式=TODO 待袁/朱确认; 加权用标签一律 LOPO 无泄漏
section,ndim,fusion_method,variant,fusion_rho,fusion_rho_lenctrl,ci_lo,ci_hi,n_pat,delta_vs_full
leave_one_out,6,geomean,__full__,0.365746,0.29445,0.205428,0.507053,9,0.0
leave_one_out,6,geomean,PredIG_max,0.321545,0.250927,0.163322,0.447321,9,-0.0442
leave_one_out,6,geomean,IMPROVE_max,0.318949,0.256558,0.136634,0.474227,9,-0.046797
leave_one_out,6,geomean,pTuneos_max,0.320824,0.251077,0.122835,0.485345,9,-0.044922
leave_one_out,6,geomean,PRIME_max,0.332639,0.256219,0.165291,0.482118,9,-0.033107
leave_one_out,6,geomean,ImmuneApp_max,0.349502,0.295475,0.1659,0.512204,9,-0.016244
leave_one_out,6,geomean,deepHLApan_max,0.364799,0.289134,0.219025,0.488116,9,-0.000947
leave_one_out,6,mean_rank,__full__,0.347786,0.309141,0.177655,0.489332,9,0.0
leave_one_out,6,mean_rank,PredIG_max,0.3258,0.281429,0.175712,0.449198,9,-0.021985
leave_one_out,6,mean_rank,IMPROVE_max,0.31368,0.267135,0.14867,0.45796,9,-0.034106
leave_one_out,6,mean_rank,pTuneos_max,0.299387,0.263244,0.096044,0.470318,9,-0.048398
leave_one_out,6,mean_rank,PRIME_max,0.326323,0.284765,0.184915,0.452316,9,-0.021463
leave_one_out,6,mean_rank,ImmuneApp_max,0.334405,0.300673,0.17221,0.472543,9,-0.013381
leave_one_out,6,mean_rank,deepHLApan_max,0.367365,0.328953,0.212829,0.491187,9,0.019579
weighting,6,weighted_mean_rank,uniform,0.347072,0.307932,0.175431,0.48873,9,0.0
weighting,6,weighted_mean_rank,rho,0.321292,0.284604,0.160839,0.451098,9,-0.02578
weighting,6,weighted_mean_rank,softmax_rho,0.345372,0.30824,0.160244,0.491392,9,-0.0017
weighting,6,weighted_mean_rank,inv_var,0.329063,0.303234,0.165696,0.454817,9,-0.01801
weighting,6,weighted_mean_rank,learned_simplex,0.219606,0.199742,0.097877,0.328445,9,-0.127467
leave_one_out,7,geomean,__full__,0.378004,0.344572,0.179137,0.541267,9,0.0
leave_one_out,7,geomean,PredIG_max,0.404821,0.382589,0.212258,0.560998,9,0.026817
leave_one_out,7,geomean,IMPROVE_max,0.385897,0.35846,0.191038,0.546286,9,0.007893
leave_one_out,7,geomean,pTuneos_max,0.416302,0.379603,0.216681,0.564379,9,0.038298
leave_one_out,7,geomean,PRIME_max,0.349872,0.303011,0.173088,0.497111,9,-0.028132
leave_one_out,7,geomean,ImmuneApp_max,0.422469,0.399028,0.230591,0.581648,9,0.044465
leave_one_out,7,geomean,deepHLApan_max,0.458217,0.425221,0.310462,0.580608,9,0.080213
leave_one_out,7,geomean,netMHCpan_BA_max,0.365746,0.29445,0.205428,0.507053,9,-0.012258
leave_one_out,7,mean_rank,__full__,0.384769,0.362183,0.203696,0.529039,9,0.0
leave_one_out,7,mean_rank,PredIG_max,0.388109,0.362871,0.200026,0.537666,9,0.00334
leave_one_out,7,mean_rank,IMPROVE_max,0.369026,0.342869,0.175461,0.531286,9,-0.015743
leave_one_out,7,mean_rank,pTuneos_max,0.387393,0.365741,0.168215,0.550896,9,0.002624
leave_one_out,7,mean_rank,PRIME_max,0.343558,0.303993,0.154261,0.499135,9,-0.041211
leave_one_out,7,mean_rank,ImmuneApp_max,0.35971,0.344684,0.16513,0.510161,9,-0.025059
leave_one_out,7,mean_rank,deepHLApan_max,0.430964,0.408743,0.280674,0.556872,9,0.046195
leave_one_out,7,mean_rank,netMHCpan_BA_max,0.347786,0.309141,0.177655,0.489332,9,-0.036983
weighting,7,weighted_mean_rank,uniform,0.387333,0.36477,0.203696,0.533425,9,0.0
weighting,7,weighted_mean_rank,rho,0.384451,0.373118,0.181273,0.541208,9,-0.002883
weighting,7,weighted_mean_rank,softmax_rho,0.374636,0.352082,0.181668,0.523225,9,-0.012697
weighting,7,weighted_mean_rank,inv_var,0.335872,0.318845,0.129425,0.491286,9,-0.051461
weighting,7,weighted_mean_rank,learned_simplex,0.391691,0.432223,0.139733,0.594096,9,0.004358
