# R5_permutation_null_draws.csv
# QuantImmuBench §3.3.3: nested-LOPO 标签置换零分布, 每行一次置换
# 输入=pooled_clean_9mer.csv; 整合维度=['PredIG_max', 'IMPROVE_max', 'pTuneos_max', 'PRIME_max', 'ImmuneApp_max', 'deepHLApan_max']; min_pep=3
# 置换机制/LOPO 计算与 R5_official.py --shuffle 逐位一致; real_lopo_rho=0.274922
seed,lopo_null
0,-0.015936
1,-0.101522
2,0.167380
3,0.239945
4,-0.065191
5,-0.021805
6,0.076921
7,-0.167803
8,0.133854
9,0.086869
10,0.124316
11,-0.164712
12,0.147405
13,-0.039636
14,0.061013
15,0.116944
16,0.246348
17,0.089960
18,0.136911
19,-0.102426
20,0.042280
21,0.005090
22,-0.089743
23,0.046719
24,0.153113
25,-0.200316
26,-0.108023
27,0.142466
28,-0.151495
29,0.131221
30,0.044406
31,0.210846
32,-0.223725
33,0.174854
34,0.004949
35,0.070748
36,0.147405
37,-0.009708
38,0.105481
39,0.219493
40,0.125950
41,0.148541
42,0.278684
43,0.033485
44,-0.034284
45,-0.143163
46,0.126384
47,0.011202
48,-0.104042
49,-0.291545
50,0.055190
51,-0.009831
52,0.041714
53,-0.032496
54,-0.170355
55,-0.136297
56,-0.133440
57,0.133241
58,0.140979
59,0.103675
60,0.113514
61,0.007337
62,-0.009756
63,-0.203755
64,-0.099937
65,0.019204
66,-0.122872
67,-0.049487
68,0.011526
69,-0.213382
70,-0.166348
71,-0.055840
72,-0.157413
73,0.014473
74,0.013797
75,0.070477
76,0.058524
77,0.232910
78,0.007584
79,0.031623
80,-0.008073
81,-0.205819
82,-0.029479
83,-0.154702
84,0.140205
85,-0.153451
86,-0.064871
87,0.158450
88,-0.095689
89,0.085480
90,0.047228
91,-0.075792
92,0.114077
93,0.010845
94,0.123856
95,0.122841
96,-0.062494
97,0.099715
98,0.063553
99,-0.148161
100,-0.105980
101,0.050877
102,-0.165180
103,-0.063755
104,0.083355
105,0.021692
106,-0.031302
107,0.160950
108,0.095671
109,-0.202831
110,-0.151162
111,-0.013239
112,0.209480
113,0.281901
114,0.162410
115,-0.251773
116,-0.190917
117,0.078470
118,0.103159
119,0.090989
120,0.026318
121,0.033691
122,-0.055022
123,0.146231
124,0.029595
125,-0.196042
126,0.071455
127,-0.030572
128,-0.124680
129,-0.195945
130,0.021675
131,-0.070915
132,0.059893
133,0.054746
134,0.052199
135,-0.126939
136,-0.056451
137,0.083042
138,-0.123902
139,-0.117188
140,0.151259
141,0.047224
142,0.103041
143,-0.002209
144,0.213829
145,-0.085640
146,0.106597
147,-0.002232
148,0.162467
149,-0.260041
150,0.053378
151,-0.146139
152,0.044730
153,0.343570
154,0.121772
155,0.168962
156,-0.013928
157,0.162098
158,-0.249928
159,0.179633
160,0.226169
161,0.124374
162,0.176373
163,-0.116092
164,-0.073036
165,0.137470
166,0.067656
167,0.138855
168,-0.333689
169,-0.131498
170,0.104995
171,-0.278856
172,-0.197803
173,-0.047451
174,0.103415
175,-0.194248
176,-0.003331
177,-0.095194
178,-0.180922
179,-0.055753
180,-0.089700
181,0.066151
182,-0.088552
183,0.089946
184,0.164354
185,0.109709
186,0.034344
187,-0.445891
188,0.085773
189,0.224611
190,0.238125
191,-0.026193
192,-0.075960
193,0.167067
194,-0.328385
195,-0.133741
196,0.255981
197,-0.308895
198,-0.160891
199,0.222115
200,0.033805
201,0.000955
202,-0.092830
203,0.035178
204,0.102972
205,0.049463
206,-0.039908
207,0.115331
208,-0.140666
209,-0.037377
210,0.055339
211,-0.048958
212,0.081924
213,0.173907
214,-0.003810
215,-0.043670
216,0.174975
217,-0.013740
