# R2_best_per_tool.csv
# QuantImmuBench §3.2: 每工具 零选择 max vs in-sample 最优 pooling 变体 (裸选 + 控肽长选两版)
# ★ B5: max_rho/max_rho_lenctrl=零选择基线(headline 用, 裸/控肽长两口径)
# best_raw/best_raw_rho=裸 rho 选的 in-sample 上界(会捡回肽长混杂, 仅对照); best_lenctrl/best_lenctrl_rho=控肽长偏相关选(★ §3.2 规律以此为准)
# gain_raw_over_max=裸选 vs 裸 max; gain_lenctrl_over_maxlen=控肽长选 vs 控肽长 max(排序键)
# 大 k topk≈mean → 裸 gain 大但多是肽长搭便车; 控肽长后 gain 才反映真 pooling 增益(验大纲: 亲和/结合类靠 topk, 免疫原类 max 即峰)
Tool,pending_DTU,max_rho,max_rho_lenctrl,best_raw,best_raw_rho,best_lenctrl,best_lenctrl_rho,gain_raw_over_max,gain_lenctrl_over_maxlen,selection
ImmuGenX,False,0.1042,0.1233,topk_k100_a0,0.3695,topk_k100_a0,0.4194,0.2654,0.2962,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
ImmuneApp,False,-0.0438,-0.0669,topk_k5_a1,0.1289,topk_k5_a1,0.1248,0.1727,0.1918,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
TransHLA,False,0.1131,0.1458,topk_k20_a0p5,0.3206,topk_k20_a0p5,0.3215,0.2075,0.1757,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
PRIME,False,0.1808,0.1112,softmax_T0p2,0.2271,topk_k50_a0,0.2774,0.0463,0.1662,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
netMHCstabpan,True,-0.0329,0.0396,topk_k20_a0,0.0984,topk_k20_a0,0.2036,0.1313,0.164,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
deepHLApan,False,0.174,0.1691,softmax_T0p2,0.3126,softmax_T0p2,0.3305,0.1386,0.1614,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
pTuneos,False,0.0078,-0.0197,topk_k20_a0,0.1093,topk_k20_a0,0.1179,0.1015,0.1376,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
TSCAPE,True,-0.0986,-0.1613,topk_k5_a0p5,0.0411,topk_k5_a0p5,-0.031,0.1397,0.1303,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
NetTepi,True,0.0929,0.1052,rankdecay_g10,0.1686,rankdecay_g10,0.2219,0.0757,0.1167,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
HLAthena,False,0.1096,0.1114,softmax_T1,0.1641,topk_k3_a0,0.2246,0.0544,0.1133,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
netMHCpan_EL,True,0.1689,0.1935,topk_k5_a0,0.2292,topk_k5_a0,0.3017,0.0603,0.1082,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
IMPROVE,False,0.1459,0.1894,topk_k3_a0p5,0.2112,topk_k3_a0p5,0.2836,0.0653,0.0943,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
NeoTImmuML,False,0.1474,0.1623,topk_k100_a0,0.2173,topk_k100_a0,0.2514,0.0699,0.0891,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
IEDB_Calis,False,0.1009,0.0827,topk_k100_a1,0.1783,topk_k100_a1,0.1714,0.0774,0.0887,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
CNNeo,False,-0.0582,-0.0142,softmax_T0p1,0.1276,softmax_T0p1,0.062,0.1858,0.0762,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
andy90,False,-0.0006,0.0687,rankdecay_g3,0.0279,topk_k10_a0,0.144,0.0285,0.0753,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
netMHCpan_BA,True,0.3722,0.4009,rankdecay_g5,0.4008,rankdecay_g5,0.4761,0.0286,0.0751,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
MHCseqNet,False,0.2285,0.2258,topk_k50_a0,0.2811,rankdecay_g5,0.2972,0.0526,0.0713,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
MUNIS,False,0.1803,0.1783,rankdecay_g3,0.2659,rankdecay_g3,0.2443,0.0855,0.066,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
Repitope,False,0.0518,0.146,topk_k50_a1,0.0959,topk_k100_a0,0.2116,0.044,0.0657,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
PredIG,False,0.2898,0.27,topk_k5_a0p5,0.354,topk_k5_a0p5,0.33,0.0642,0.06,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
NeoaG,False,-0.0481,0.0544,rankdecay_g1,-0.0068,rankdecay_g1,0.0981,0.0412,0.0437,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
MHCflurry,False,0.2142,0.2172,topk_k50_a0,0.2563,topk_k50_a0,0.2443,0.0421,0.0271,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
BigMHC_IM,False,0.178,0.1872,softmax_T0p03,0.1853,softmax_T0p03,0.1956,0.0073,0.0084,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
Seq2Neo,True,-0.0746,-0.0779,topk_k3_a0,-0.0326,topk_k3_a0,-0.075,0.042,0.003,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
MHCnuggets,False,0.3188,0.3063,max,0.3188,max,0.3063,0.0,0.0,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
ICERFIRE,True,0.2344,0.2464,topk_k2_a0,0.2363,max,0.2464,0.0019,0.0,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
DeepImmuno,False,0.098,0.1617,max,0.098,max,0.1617,0.0,0.0,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
DeepNetBim,False,,,softmax_T0p03,0.0783,softmax_T0p03,0.0794,,,in-sample上界(raw+lenctrl两版; 规律以lenctrl为准)
