# R4_ablation_official.csv
# QuantImmuBench §3.3.2 表7: 维度留一消融 + 加权对比 (干净口径, 本地实证)
# 输入=pooled_clean_rerun_9mer.csv; DS2 9 患者; 维度零选择 <tool>_max(B5); 主集6维SURV6, 7维对照; geomean/mean_rank
# section=leave_one_out: variant=去掉的维(__full__=全维); delta_vs_full 最负=最承重维
# section=weighting: variant=加权方案(uniform=等权基线); delta_vs_full=vs等权
# fusion_rho=裸等权; fusion_rho_lenctrl=控肽长偏相关(B2, ctrl=peplen); ci_*=cluster-bootstrap over patients 95%CI(B4, 裸分数)
# ★ 维度集成员 + 4 加权方案形式=TODO 待袁/朱确认; 加权用标签一律 LOPO 无泄漏
section,ndim,fusion_method,variant,fusion_rho,fusion_rho_lenctrl,ci_lo,ci_hi,n_pat,delta_vs_full
leave_one_out,6,geomean,__full__,0.277858,0.264069,-0.036623,0.513432,8,0.0
leave_one_out,6,geomean,PredIG_max,0.233794,0.233419,-0.087591,0.467615,8,-0.044064
leave_one_out,6,geomean,IMPROVE_max,0.274217,0.235054,-0.000687,0.503353,8,-0.003641
leave_one_out,6,geomean,pTuneos_max,0.273734,0.268994,-0.028343,0.5062,8,-0.004124
leave_one_out,6,geomean,PRIME_max,0.269395,0.27222,-0.021613,0.500233,8,-0.008463
leave_one_out,6,geomean,ImmuneApp_max,0.363349,0.335614,0.115696,0.567396,8,0.085491
leave_one_out,6,geomean,deepHLApan_max,0.191699,0.158109,-0.079031,0.420593,8,-0.086159
leave_one_out,6,mean_rank,__full__,0.216669,0.197916,-0.099978,0.473084,8,0.0
leave_one_out,6,mean_rank,PredIG_max,0.167266,0.143634,-0.141429,0.412354,8,-0.049404
leave_one_out,6,mean_rank,IMPROVE_max,0.259499,0.220658,-0.015264,0.482341,8,0.042829
leave_one_out,6,mean_rank,pTuneos_max,0.190281,0.185908,-0.119525,0.443474,8,-0.026388
leave_one_out,6,mean_rank,PRIME_max,0.211012,0.213005,-0.111771,0.463519,8,-0.005657
leave_one_out,6,mean_rank,ImmuneApp_max,0.35659,0.323945,0.140564,0.523837,8,0.13992
leave_one_out,6,mean_rank,deepHLApan_max,0.19047,0.16479,-0.124307,0.444613,8,-0.0262
weighting,6,weighted_mean_rank,uniform,0.218444,0.201449,-0.099814,0.475988,8,0.0
weighting,6,weighted_mean_rank,rho,0.281992,0.256139,0.028106,0.496979,8,0.063548
weighting,6,weighted_mean_rank,softmax_rho,0.239559,0.223321,-0.047897,0.471713,8,0.021115
weighting,6,weighted_mean_rank,inv_var,0.257579,0.233716,-0.016587,0.493511,8,0.039135
weighting,6,weighted_mean_rank,learned_simplex,0.283553,0.260188,0.063515,0.465083,8,0.065109
leave_one_out,7,geomean,__full__,0.345643,0.338287,0.072823,0.55009,8,0.0
leave_one_out,7,geomean,PredIG_max,0.250751,0.255418,-0.061656,0.481037,8,-0.094892
leave_one_out,7,geomean,IMPROVE_max,0.312015,0.283984,0.036356,0.522341,8,-0.033629
leave_one_out,7,geomean,pTuneos_max,0.374022,0.370429,0.108257,0.564478,8,0.028378
leave_one_out,7,geomean,PRIME_max,0.296436,0.299977,0.022069,0.513395,8,-0.049208
leave_one_out,7,geomean,ImmuneApp_max,0.4318,0.404995,0.234028,0.586298,8,0.086156
leave_one_out,7,geomean,deepHLApan_max,0.321743,0.308333,0.120274,0.493648,8,-0.0239
leave_one_out,7,geomean,netMHCpan_BA_max,0.277858,0.264069,-0.036623,0.513432,8,-0.067786
leave_one_out,7,mean_rank,__full__,0.285195,0.282171,0.021784,0.497415,8,0.0
leave_one_out,7,mean_rank,PredIG_max,0.253102,0.233974,-0.020637,0.466575,8,-0.032092
leave_one_out,7,mean_rank,IMPROVE_max,0.302643,0.281242,0.041134,0.511823,8,0.017449
leave_one_out,7,mean_rank,pTuneos_max,0.30277,0.303051,0.025593,0.516529,8,0.017576
leave_one_out,7,mean_rank,PRIME_max,0.212526,0.215914,-0.108561,0.466084,8,-0.072668
leave_one_out,7,mean_rank,ImmuneApp_max,0.393876,0.372369,0.191374,0.554752,8,0.108682
leave_one_out,7,mean_rank,deepHLApan_max,0.291313,0.272134,0.017297,0.50669,8,0.006119
leave_one_out,7,mean_rank,netMHCpan_BA_max,0.216669,0.197916,-0.099978,0.473084,8,-0.068525
weighting,7,weighted_mean_rank,uniform,0.287016,0.283983,0.022106,0.500872,8,0.0
weighting,7,weighted_mean_rank,rho,0.352322,0.346885,0.13293,0.522088,8,0.065305
weighting,7,weighted_mean_rank,softmax_rho,0.330783,0.310638,0.056527,0.544655,8,0.043767
weighting,7,weighted_mean_rank,inv_var,0.351881,0.35585,0.137749,0.519804,8,0.064864
weighting,7,weighted_mean_rank,learned_simplex,0.345255,0.3552,0.183636,0.498559,8,0.058239
