# R5_permutation_null_draws.csv
# QuantImmuBench §3.3.3: nested-LOPO 标签置换零分布, 每行一次置换
# 输入=pooled_clean_rerun_9mer.csv; 整合维度=['PredIG_max', 'IMPROVE_max', 'pTuneos_max', 'PRIME_max', 'ImmuneApp_max', 'deepHLApan_max']; min_pep=8
# 置换机制/LOPO 计算与 R5_official.py --shuffle 逐位一致; real_lopo_rho=0.194618
seed,lopo_null
0,-0.176548
1,0.103274
2,0.319176
3,0.102531
4,-0.141504
5,0.190039
6,0.025216
7,-0.197733
8,0.085349
9,0.027700
10,-0.004419
11,0.124284
12,0.032247
13,0.093838
14,-0.343695
15,0.221265
16,0.108778
17,-0.006516
18,-0.222153
19,0.168094
20,-0.000005
21,-0.013800
22,-0.015222
23,-0.144809
24,0.042106
25,0.222464
26,-0.021977
27,0.244348
28,-0.078173
29,0.229094
30,-0.046089
31,-0.359132
32,0.103861
33,0.010524
34,0.088690
35,0.051958
36,0.135734
37,-0.061620
38,0.038741
39,-0.226698
40,-0.120321
41,0.016502
42,-0.100519
43,0.244144
44,-0.185594
45,0.235011
46,-0.067903
47,0.065320
48,-0.031075
49,-0.070668
50,-0.034177
51,0.064120
52,0.141537
53,-0.156624
54,-0.190197
55,-0.108183
56,0.079205
57,-0.153097
58,0.242935
59,0.042659
60,-0.116080
61,-0.151964
62,0.000345
63,-0.345628
64,0.097164
65,-0.135032
66,-0.064766
67,0.059366
68,0.051777
69,-0.003757
70,0.145508
71,0.074956
72,-0.135309
73,0.145748
74,-0.149081
75,0.072310
76,-0.253202
77,0.114619
78,-0.294411
79,-0.108615
80,-0.151787
81,-0.171690
82,0.327416
83,0.249236
84,0.069008
85,0.134146
86,0.031999
87,0.064331
88,-0.160391
89,-0.002379
90,0.067995
91,0.026481
92,0.169593
93,0.084424
94,0.106669
95,0.103354
96,0.079318
97,0.059146
98,0.166949
99,0.174505
100,0.070505
101,0.124305
102,0.201661
103,-0.077791
104,-0.195311
105,0.116246
106,0.067476
107,0.150355
108,0.160429
109,0.157430
110,0.054335
111,0.150055
112,0.142650
113,0.128965
114,-0.177716
115,0.130676
116,-0.199961
117,-0.014769
118,-0.307442
119,0.072157
120,0.028887
121,0.072473
122,-0.039726
123,-0.205004
124,0.061858
125,0.147697
126,0.225895
127,-0.147499
128,0.012726
129,0.152565
130,0.278728
131,0.083771
132,-0.240607
133,0.133839
134,0.080525
135,0.076892
136,0.107215
137,0.057420
138,0.225973
139,0.018697
140,0.122002
141,-0.054219
142,0.145100
143,-0.053592
144,0.160791
145,0.105051
146,-0.079444
147,0.056568
148,0.121136
149,0.061906
150,-0.227847
151,-0.143326
152,0.034076
153,-0.015770
154,-0.073599
155,0.131402
156,0.106157
157,0.138467
158,0.000442
159,0.243849
160,0.287341
161,0.121290
162,-0.014469
163,-0.164940
164,-0.154768
165,-0.077598
166,0.223837
167,0.021282
168,-0.113453
169,-0.363940
170,-0.116168
171,-0.146690
172,-0.046829
173,0.001244
174,0.024199
175,0.253787
176,-0.187771
177,0.029952
178,0.101849
179,-0.053974
180,0.275515
181,-0.090258
182,0.175710
183,-0.027298
184,-0.130547
185,0.056513
186,0.133153
187,-0.005914
188,0.177206
189,-0.236698
190,-0.176066
191,0.196790
192,0.097945
193,-0.448057
194,0.063782
195,0.065365
196,-0.164731
197,-0.185755
198,-0.274538
199,0.131891
200,-0.080593
201,0.191570
202,0.275174
203,-0.279536
204,0.086078
205,0.041984
206,0.110866
207,0.116910
208,0.223368
209,-0.090044
210,0.139285
211,-0.279782
212,0.220793
213,0.037084
214,0.096336
215,-0.336370
216,-0.057402
217,-0.296013
218,0.046084
219,0.125802
220,0.091499
221,-0.116966
222,0.149526
223,0.167827
224,0.087433
225,-0.160564
226,0.107007
227,0.044433
228,0.185461
229,0.126060
230,0.073159
231,-0.266268
232,0.152164
233,0.074892
234,-0.106444
235,0.172168
236,-0.074566
237,0.226736
238,-0.194359
239,-0.049113
240,0.100091
241,-0.148649
242,0.335758
243,0.193907
244,0.072889
245,-0.019709
246,0.133222
247,0.076811
248,0.134933
249,-0.133717
250,0.175099
251,0.153525
252,0.021697
253,0.166600
254,0.058876
255,-0.305905
256,-0.224601
257,0.096971
258,-0.123324
259,0.206842
260,0.160619
261,-0.012669
262,-0.003074
263,0.049032
264,-0.081134
265,0.159427
266,0.139816
267,0.039134
268,-0.101060
269,-0.103143
270,-0.240505
271,0.461359
272,-0.184521
273,0.014546
274,-0.095174
275,0.099687
276,-0.239425
277,-0.152114
278,0.247691
279,-0.137558
280,0.174989
281,-0.231645
282,0.201375
283,0.025962
284,-0.047759
285,0.019141
286,0.063329
287,0.104745
288,0.096833
289,0.116544
290,-0.069345
291,0.224005
292,0.236516
293,-0.159173
294,-0.204322
295,0.188932
296,-0.147701
297,-0.058490
298,0.152927
299,0.185185
300,0.108210
301,0.245942
302,-0.115134
303,0.103006
304,-0.048805
305,-0.086273
306,-0.206280
307,-0.058993
308,0.029259
309,0.006994
310,0.017417
311,-0.284880
312,0.104678
313,-0.023617
314,0.105234
315,-0.019024
316,0.102426
317,-0.068993
318,0.152205
319,0.002440
320,-0.167230
321,0.045736
322,-0.133410
323,-0.223863
324,0.066541
325,-0.114696
326,0.094039
327,0.291883
328,-0.072410
329,-0.387455
330,0.197181
331,0.143506
332,-0.236024
333,0.152562
334,-0.039244
335,0.201681
336,-0.045661
337,-0.232949
338,0.071963
339,0.100593
340,0.025920
341,0.083934
342,-0.154710
343,0.069240
344,-0.208579
345,0.077335
346,-0.198954
347,0.102390
348,0.088188
349,0.078644
350,-0.009175
351,-0.068982
352,-0.138942
353,-0.187672
354,-0.181270
355,0.255898
356,-0.146768
357,0.135119
358,-0.155410
359,-0.031834
360,-0.179659
361,0.019097
362,-0.143802
363,0.105771
364,0.193148
365,-0.172745
366,-0.059151
367,0.113205
368,-0.266958
369,0.027901
370,-0.132386
371,-0.094923
372,0.043852
373,0.123496
374,0.085129
375,-0.069215
376,0.001623
377,0.151394
