# R1_effN_sensitivity_rerun_8to11mer_dai_5_8_10.csv —— §3.1 图1 effN 门槛 5/8/10 三档敏感性 (输入=pooled_dai_rerun_8to11mer.csv)
# 门槛越高越干净 (剔低覆盖患者的 rho=±1 伪迹) 但也剔掉更多患者 (n_full 降), 样本更少更抖。
# 用途: 看稳定工具的排名 (rank_effN*) 是否随门槛翻转 —— 不翻=结论稳健, 翻=对门槛敏感需谨慎。
# rho_effN*=各档 fisherz_rho_effN (Fisher-z 等权聚合); rank_effN*=各档按 rho 降序 (NaN/coverage_fail 最后)
# n_full_effN*=各档通过门槛患者数; coverage_fail_effN10=主档(10)通过患者<3 (不入主排序)
# 按 rank_effN10 (主档排名) 升序排列
Tool,rho_effN5,rho_effN8,rho_effN10,rank_effN5,rank_effN8,rank_effN10,n_full_effN5,n_full_effN8,n_full_effN10,coverage_fail_effN10
PredIG,0.3143284684794728,0.3280730091518109,0.27224072425562135,1,2,1,9,8,6,False
Repitope,0.3093075223418757,0.29358394206247473,0.11265339895876082,2,3,2,9,8,6,False
IEDB_Calis,0.29767513840067045,0.3290523861111096,0.10156932885148551,3,1,3,9,8,6,False
PRIME,0.01184528094128438,0.0025859175467831184,0.08522294350582466,9,7,4,9,8,6,False
DeepImmuno,-0.09549320328137616,-0.04142997525968604,0.04135518098836664,21,11,5,9,8,6,False
ImmuneApp,0.08151547895841012,0.034626826862835816,0.0155015883428902,5,6,6,9,8,6,False
TSCAPE,0.06289719475113789,0.08141292782583603,0.01136039605152665,6,5,7,9,8,6,False
MHCflurry,0.09685562805406595,0.09107206121644464,0.007124529229221271,4,4,8,9,8,6,False
DeepNetBim,0.048593411525052144,-0.031921869830668984,-0.05576529340556152,7,10,9,9,8,6,False
Seq2Neo,-0.09010490853932712,-0.0977580865201052,-0.09708305237214622,20,20,10,9,8,6,False
deepHLApan,-0.05346269267205452,-0.04219772881438991,-0.10123256951524398,18,12,11,9,8,6,False
andy90,-0.1851999593906827,-0.1974153334170646,-0.10733145434401614,23,23,12,9,8,6,False
HLAthena,-0.04722241709031392,-0.004404822789906036,-0.11516950678952068,15,8,13,9,8,6,False
MHCseqNet,-0.02428320958803574,-0.09335584434589901,-0.1413184892246967,12,19,14,9,8,6,False
netMHCstabpan,-0.032155740762595385,-0.1338506467942882,-0.16233527515238969,13,22,15,9,8,6,False
ImmuGenX,0.022533891465148576,-0.007525756388198438,-0.18217523285398027,8,9,16,9,8,6,False
netMHCpan_BA,0.002945054005657273,-0.06290811974590786,-0.18348619844568598,10,13,17,9,8,6,False
NeoTImmuML,-0.10213789073807653,-0.1253845203388163,-0.19065494519656098,22,21,18,9,8,6,False
netMHCpan_EL,-0.25330718950082853,-0.22128518488570148,-0.19125333611245007,24,24,19,9,8,6,False
BigMHC_IM,-0.04832987959180704,-0.07226743320376768,-0.19316679657755725,16,14,20,9,8,6,False
MUNIS,-0.05059416341619955,-0.07480719046677049,-0.1992795858745312,17,15,21,9,8,6,False
TransHLA,-0.02378670712145889,-0.08383601929660287,-0.29120850187577135,11,17,22,9,8,6,False
NetTepi,-0.07022034073630579,-0.0896275939444707,-0.3077524491275478,19,18,23,9,8,6,False
MHCnuggets,-0.04069441409363585,-0.07852532979262879,-0.3365671814810319,14,16,24,9,8,6,False
CNNeo,-0.34397481068853186,-0.3149040521588598,-0.3879580932251221,25,25,25,9,8,6,False
ICERFIRE,,,,26,26,26,0,0,0,True
IMPROVE,,,,27,27,27,0,0,0,True
NeoaG,,,,28,28,28,0,0,0,True
NeoaPred,,,,29,29,29,0,0,0,True
pTuneos,,,,30,30,30,0,0,0,True
