# R1_effN_sensitivity_rerun_9mer_dai_5_8_10.csv —— §3.1 图1 effN 门槛 5/8/10 三档敏感性 (输入=pooled_dai_rerun_9mer.csv)
# 门槛越高越干净 (剔低覆盖患者的 rho=±1 伪迹) 但也剔掉更多患者 (n_full 降), 样本更少更抖。
# 用途: 看稳定工具的排名 (rank_effN*) 是否随门槛翻转 —— 不翻=结论稳健, 翻=对门槛敏感需谨慎。
# rho_effN*=各档 fisherz_rho_effN (Fisher-z 等权聚合); rank_effN*=各档按 rho 降序 (NaN/coverage_fail 最后)
# n_full_effN*=各档通过门槛患者数; coverage_fail_effN10=主档(10)通过患者<3 (不入主排序)
# 按 rank_effN10 (主档排名) 升序排列
Tool,rho_effN5,rho_effN8,rho_effN10,rank_effN5,rank_effN8,rank_effN10,n_full_effN5,n_full_effN8,n_full_effN10,coverage_fail_effN10
PredIG,0.37594872558430814,0.343544966962734,0.31378824188852183,1,1,1,9,8,6,False
MHCflurry,0.1314800451737014,0.1300554055909152,0.15269349972565513,5,5,2,9,8,6,False
PRIME,0.07311201488881934,0.07153500445410292,0.14618046171326501,9,7,3,9,8,6,False
IEDB_Calis,0.29808268272399024,0.3295009661740267,0.1022332043984355,3,2,4,9,8,6,False
Repitope,0.30606644152692375,0.32546210298089806,0.07207426083419155,2,3,5,9,8,6,False
netMHCpan_EL,-0.08679115624847993,-0.021858139504555917,0.06787445136837707,20,13,6,9,8,6,False
netMHCpan_BA,0.07842345100367064,0.022099827371872282,0.03917044643317749,8,10,7,9,8,6,False
MUNIS,0.039521036259709943,0.026498001709552754,0.030032777137991483,12,8,8,9,8,6,False
ImmuneApp,-0.06704394217116312,-0.042631076163217575,0.028126762049813504,16,15,9,9,8,6,False
TSCAPE,0.07970071826859869,0.09315541182970649,0.02576846890762588,7,6,10,9,8,6,False
andy90,-0.0767100055157875,-0.05353657437564418,0.007827699490525556,18,17,11,9,8,6,False
DeepImmuno,-0.1676409439833589,-0.078247946457361,-0.011557310173085363,24,19,12,9,8,6,False
BigMHC_IM,0.1484204643554016,0.13451449901985826,-0.02978606045971954,4,4,13,9,8,6,False
DeepNetBim,0.048593411525052144,-0.031921869830668984,-0.05576529340556152,10,14,14,9,8,6,False
ImmuGenX,0.08202948839665412,0.005847536073711784,-0.06341973410855085,6,11,15,9,8,6,False
netMHCstabpan,-0.07348848726501352,-0.1391826987935918,-0.06772699130473454,17,22,16,9,8,6,False
Seq2Neo,0.022877198736635997,0.02216530804104373,-0.07738118181937817,13,9,17,9,8,6,False
MHCseqNet,-0.017538828296169238,-0.0683862084284751,-0.10981786841284534,14,18,18,9,8,6,False
HLAthena,-0.12864254031365535,-0.09646837299978299,-0.18703455372816344,22,20,19,9,8,6,False
NeoTImmuML,-0.12924886520723256,-0.1416906687374059,-0.1988347468281537,23,23,20,9,8,6,False
deepHLApan,-0.11172173048492902,-0.11496266877272147,-0.2014738530148707,21,21,21,9,8,6,False
MHCnuggets,0.043783880103911904,-0.017014478433656343,-0.21826053380777666,11,12,22,9,8,6,False
NetTepi,-0.030451547056262167,-0.04497885742034361,-0.23219651246630305,15,16,23,9,8,6,False
TransHLA,-0.07676173607818425,-0.16113514165330928,-0.2485888995874784,19,24,24,9,8,6,False
CNNeo,-0.34468526504853664,-0.315720670063488,-0.38898466643559937,25,25,25,9,8,6,False
ICERFIRE,,,,26,26,26,0,0,0,True
IMPROVE,,,,27,27,27,0,0,0,True
NeoaG,,,,28,28,28,0,0,0,True
NeoaPred,,,,29,29,29,0,0,0,True
pTuneos,,,,30,30,30,0,0,0,True
