# R1_recomputed_effN10.csv —— §3.1 图1 修正重算 (effN 门槛)
# 输入=pooled_clean_9mer.csv; DS2 9 患者; Elispot 连续 SFC; headline 零选择 <tool>_max
# fisherz_rho_effN=等权 Fisher-z (门槛改用有效覆盖 effN>=10, 非患者总行数 len(g))
# ci_*=cluster-bootstrap over 通过门槛患者 95%CI (n_boot=2000, seed=42, 2.5/97.5)
# n_full=effN>=10 的患者数; n_dropped_effN=2<=effN<10 被剔患者数 (原 bug 伪迹来源)
# coverage_fail=(n_full<3): 通过门槛患者不足 3 → 不入主排序; 排序: coverage_fail 后置 + rho 降序
# pending_DTU=True 为 DTU 受限工具 (结果照常算, 部署受 DTU 同意约束)
# rho_p<id>=各患者 per-patient rho (与 canonical spearman_np 可比); effN_p<id>=各患者有效覆盖点数
Tool,pending_DTU,fisherz_rho_effN,ci_lo,ci_hi,n_full,min_effN,max_effN,n_dropped_effN,coverage_fail,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110,effN_p101,effN_p102,effN_p104,effN_p105,effN_p106,effN_p107,effN_p108,effN_p109,effN_p110
MHCnuggets,False,0.4819800158658207,0.37926539488686756,0.5701086129479562,8,12.0,19.0,1,False,0.26056984162547947,0.11904761904761904,0.5742335610928354,0.6242320228502211,0.46176470588235297,0.6363636363636364,0.2468698046761278,0.5375157536910806,0.42001804081828326,12,8,17,19,16,12,15,16,15
netMHCpan_BA,True,0.47167425547455333,0.2854241103184489,0.6254128425698547,8,12.0,19.0,1,False,0.03915210597723474,-0.35714285714285715,0.4662580196907638,0.6660818722489531,0.5970588235294118,0.23776223776223776,0.18962463257731557,0.7929099792017599,0.4986597165459618,12,8,17,19,16,12,15,16,15
MHCseqNet,False,0.36082790225517763,0.17004009604249604,0.5284223303904643,8,12.0,19.0,1,False,0.5211396832509589,-0.6428571428571429,0.32883460336085446,0.5764508023684871,-0.06764705882352941,0.06293706293706294,0.5652960744757709,0.6206673619968832,0.08400360816365665,12,8,17,19,16,12,15,16,15
MHCflurry,False,0.3434408949140752,0.20544124769755215,0.477621362246711,8,12.0,19.0,1,False,0.5493093958591189,0.0,0.23803698900002151,0.39894613456599565,0.19117647058823528,0.03496503496503497,0.21824721862672167,0.6681825667430561,0.3127793920987216,12,8,17,19,16,12,15,16,15
IMPROVE,False,0.31855719129506493,0.11030263364561683,0.5077725830268738,8,12.0,19.0,1,False,0.7605822404203185,0.0,0.43926413434024586,0.28019347990438975,0.42058823529411765,-0.2097902097902098,0.13595728373467908,0.17778265528378795,0.31992863534669236,12,8,17,19,16,12,15,16,15
MUNIS,False,0.31103597736201677,0.17609151968529166,0.46184335093362644,8,12.0,19.0,1,False,0.18310313195303965,-0.5952380952380952,0.11779149971135085,0.5430588351581175,0.2088235294117647,0.1958041958041958,0.28622586049406123,0.6741219673363277,0.1376229325234375,12,8,17,19,16,12,15,16,15
PRIME,False,0.3042383763290362,0.10067279394277097,0.4859616770314372,8,12.0,19.0,1,False,0.0985939941285598,0.21428571428571427,0.4196322177216874,0.2601058498491954,0.16470588235294117,-0.16783216783216784,0.2468698046761278,0.7275765726757721,0.48436123005002024,12,8,17,19,16,12,15,16,15
ICERFIRE,True,0.2961875304715567,0.09038706930503011,0.4502361419851809,6,10.0,16.0,3,False,0.11715583722580122,0.4,0.2530254556413207,0.5467957356320032,0.45604395604395603,0.09523809523809523,-0.10858160259244366,0.1661735128220992,0.3872389581988908,9,4,14,16,13,8,12,10,14
netMHCstabpan,True,0.2926248331610633,0.039507143820336814,0.5019157259852477,8,12.0,19.0,1,False,-0.2535274134734395,-0.2619047619047619,0.2907977649123974,0.03339196721036968,0.55,0.5384615384615384,0.3276645658438964,0.7097583708959573,-0.10902595953155438,12,8,17,19,16,12,15,16,15
NetTepi,True,0.29251948596304334,0.09290075407844021,0.47804393068252027,8,12.0,19.0,1,False,0.4718426861866791,-1.0,0.20024570024570024,-0.019332191542845604,0.4441176470588235,0.08771983822781299,0.31484844654346733,0.7216371720825006,-0.08757822978764204,12,3,17,19,16,12,15,16,15
