# R1_recomputed_rerun_8to11mer_dai_effN8.csv —— §3.1 图1 修正重算 (effN 门槛)
# 输入=pooled_dai_rerun_8to11mer.csv; DS2 9 患者; Elispot 连续 SFC; headline 零选择 <tool>_max
# fisherz_rho_effN=等权 Fisher-z (门槛改用有效覆盖 effN>=8, 非患者总行数 len(g))
# ci_*=cluster-bootstrap over 通过门槛患者 95%CI (n_boot=2000, seed=42, 2.5/97.5)
# n_full=effN>=8 的患者数; n_dropped_effN=2<=effN<8 被剔患者数 (原 bug 伪迹来源)
# coverage_fail=(n_full<3): 通过门槛患者不足 3 → 不入主排序; 排序: coverage_fail 后置 + rho 降序
# pending_DTU=True 为 DTU 受限工具 (结果照常算, 部署受 DTU 同意约束)
# rho_p<id>=各患者 per-patient rho (与 canonical spearman_np 可比); effN_p<id>=各患者有效覆盖点数
Tool,pending_DTU,fisherz_rho_effN,ci_lo,ci_hi,n_full,min_effN,max_effN,n_dropped_effN,coverage_fail,rho_p101,rho_p102,rho_p104,rho_p105,rho_p106,rho_p107,rho_p108,rho_p109,rho_p110,effN_p101,effN_p102,effN_p104,effN_p105,effN_p106,effN_p107,effN_p108,effN_p109,effN_p110
IEDB_Calis,False,0.3290523861111096,-0.014574867515617599,0.6143326504147455,8,8.0,16.0,1,False,0.7074749701108396,0.02857142857142857,-0.26367132550379335,0.28907251484432317,-0.1879067676847756,0.8455943246644705,0.3411576789889338,0.5753922836133599,-0.23243488125919057,9,6,14,16,13,8,12,10,14
PredIG,False,0.3280730091518109,0.12958507722844406,0.5341092935692171,8,8.0,16.0,1,False,0.15256428831468236,0.2,0.27942811188215416,0.3460975771111081,0.09340659340659341,0.7142857142857143,-0.06655001449214289,0.14155521462623263,0.6952699476752813,9,6,14,16,13,8,12,10,14
Repitope,False,0.29358394206247473,0.02716046991135809,0.5239170162492348,8,8.0,16.0,1,False,0.6611119160302902,0.42857142857142855,0.17381748691882032,0.46720821615995967,0.12087912087912088,0.7380952380952381,0.05954474980875943,-0.3631198983890315,0.1936194790994454,9,6,14,16,13,8,12,10,14
MHCflurry,False,0.09107206121644464,-0.16238088647093826,0.39618683667080495,8,8.0,16.0,1,False,-0.35598333940092547,0.14285714285714285,-0.20242036451305656,-0.19602111277373702,-0.07142857142857142,0.7857142857142857,0.2697026903102633,0.19079181101796572,0.04840486977486135,9,6,14,16,13,8,12,10,14
TSCAPE,True,0.08141292782583603,-0.0813911417812712,0.2508617010527558,8,8.0,16.0,1,False,0.5085476277156078,-0.08571428571428572,-0.20242036451305656,-0.17243962552276113,0.3131868131868132,0.023809523809523808,-0.03852895575860904,-0.08000946913656627,0.23762390616750118,9,6,14,16,13,8,12,10,14
ImmuneApp,False,0.034626826862835816,-0.1413626816613805,0.2330912283327584,8,8.0,16.0,1,False,0.1356127007241621,0.42857142857142855,-0.13861394526437568,-0.1577011959909012,0.1978021978021978,0.047619047619047616,0.5709290716957521,-0.10462776733243281,-0.33883408842402946,9,6,14,16,13,8,12,10,14
PRIME,False,0.0025859175467831184,-0.17994719117182761,0.2029484842345749,8,8.0,16.0,1,False,-0.35598333940092547,0.08571428571428572,0.5148517966962526,-0.04568913154876577,0.08791208791208792,-0.11904761904761904,-0.2626974256268798,0.2400284074096988,-0.07480752601569482,9,6,14,16,13,8,12,10,14
HLAthena,False,-0.004404822789906036,-0.18459391293277946,0.18210322424811756,8,8.0,16.0,1,False,0.16951587590520262,-0.37142857142857144,0.18041815097902866,-0.3728822671560561,-0.15384615384615385,0.4523809523809524,-0.017513161708458656,-0.3261924510952317,0.026402656240833464,9,6,14,16,13,8,12,10,14
ImmuGenX,False,-0.007525756388198438,-0.29007926154312974,0.37953743115291094,8,8.0,16.0,1,False,-0.15256428831468236,0.2571428571428571,-0.14521460932458405,-0.4377313570962398,0.08791208791208792,0.8333333333333334,-0.19965004347642867,-0.4615930911724977,0.12321239579055616,9,6,14,16,13,8,12,10,14
DeepNetBim,False,-0.031921869830668984,-0.30938072869572397,0.24223855280055204,8,8.0,16.0,1,False,-0.18646746349572288,0.6,0.3608363019580573,0.2566382847296971,-0.18681318681318682,0.2619047619047619,-0.6339764538462034,0.4862113893683643,-0.5148517966962526,9,6,14,16,13,8,12,10,14
