# [不匹配口径诊断 · 保留对照] 派生 correction_matrix_9mer.csv (raw 受退化夸大)。
# 主口径诊断见 correction_diagnostics_matched.csv。
metric,value,note
delta_A_mean,0.005692,
delta_A_std,0.134126,
delta_A_min,-0.530969,
delta_A_max,0.376813,
delta_B_mean,0.003219,
delta_B_std,0.135311,
delta_B_min,-0.52726,
delta_B_max,0.389626,
delta_C_mean,0.029278,
delta_C_std,0.149411,
delta_C_min,-0.509384,
delta_C_max,0.426783,
corr_raw_deltaB_spearman,0.423645,raw越高掉越多=长度伪迹非均匀
corr_raw_deltaB_pearson,0.755293,
rank_kendall_raw_vs_A,0.596059,
rank_spearman_raw_vs_A,0.71133,
rank_kendall_raw_vs_B,0.551724,
rank_spearman_raw_vs_B,0.702956,
rank_kendall_raw_vs_C,0.522167,
rank_spearman_raw_vs_C,0.686207,
control_HLAthena_raw,0.627245,
control_HLAthena_A,0.250431,
control_HLAthena_B,0.237618,
control_HLAthena_C,0.200462,
control_MHCnuggets_raw,0.446608,
control_MHCnuggets_A,0.412725,
control_MHCnuggets_B,0.432287,
control_MHCnuggets_C,0.336458,
