# ★主口径 · 匹配患者集 clean: 每工具 raw 与 A/B/C 用同一批患者 (同完整用例掩码
#   + 同步剔退化/不可算患者), delta=raw-矫正=纯长度效应, 无不同患者集/退化点污染。
# raw=裸Spearman; A=偏相关(ctrl=peplen); B=仅残差化label; C=多控残差(peplen,n_subpep,is_indel)。均 per-patient Fisher-z 等权聚合。
# coverage_flag=覆盖过稀不可靠: k_matched<=1 (预期 NeoaPred k=1 / DeepNetBim k=0)。
tool,k_matched,raw_matched,A_partpeplen,B_residlabel,C_multi,delta_A,delta_B,delta_C,n_drop_degenerate,n_drop_uncomputable,coverage_flag
BigMHC_IM,9,0.179421,0.131443,0.12151,0.058273,0.047978,0.057911,0.121149,0,0,
CNNeo,9,0.056858,0.038046,0.02657,0.030148,0.018812,0.030287,0.02671,0,0,
DeepImmuno,9,0.157533,0.167777,0.177934,0.023288,-0.010244,-0.020401,0.134244,0,0,
DeepNetBim,0,,,,,,,,0,0,覆盖过稀不可靠
HLAthena,8,0.206969,0.250431,0.237618,0.200462,-0.043462,-0.030649,0.006508,0,0,
ICERFIRE,9,0.26764,0.216228,0.261633,0.097933,0.051412,0.006008,0.169708,0,0,
IEDB_Calis,9,0.248645,0.17395,0.16909,0.14743,0.074694,0.079555,0.101215,0,0,
IMPROVE,9,0.285233,0.230633,0.202138,0.285158,0.0546,0.083095,7.5e-05,0,0,
ImmuGenX,9,0.131715,0.139383,0.141665,0.147207,-0.007668,-0.00995,-0.015492,0,0,
ImmuneApp,9,0.178843,0.101529,0.10348,-0.029611,0.077314,0.075363,0.208454,0,0,
MHCflurry,9,0.307889,0.30164,0.300267,0.254805,0.006249,0.007622,0.053084,0,0,
MHCnuggets,9,0.446608,0.412725,0.432287,0.336458,0.033883,0.014321,0.11015,0,0,
MHCseqNet,9,0.245929,0.206637,0.207668,0.160319,0.039292,0.03826,0.08561,0,0,
MUNIS,9,0.206732,0.171907,0.17408,0.14475,0.034825,0.032652,0.061983,0,0,
NeoTImmuML,9,0.164198,0.232444,0.257968,0.175052,-0.068246,-0.093769,-0.010854,0,0,
NeoaG,9,-0.06997,-0.016455,0.01987,-0.055235,-0.053516,-0.08984,-0.014735,0,0,
NeoaPred,1,0.077029,0.224264,0.176066,0.208791,-0.147235,-0.099037,-0.131762,0,0,覆盖过稀不可靠
NetTepi,8,0.292519,0.255889,0.25218,0.234304,0.036631,0.04034,0.058216,0,0,
PRIME,9,0.294475,0.282453,0.295305,0.253171,0.012021,-0.000831,0.041304,0,0,
PredIG,9,0.250122,0.227936,0.208242,0.238046,0.022186,0.04188,0.012076,0,0,
Repitope,9,0.121643,0.136627,0.148938,0.159286,-0.014984,-0.027295,-0.037643,0,0,
Seq2Neo,9,0.072076,0.001655,0.004761,-0.046453,0.070421,0.067315,0.118529,0,0,
TSCAPE,9,0.116795,0.015163,0.025294,-0.090093,0.101632,0.091501,0.206888,0,0,
TransHLA,9,0.169356,0.14133,0.127976,0.190391,0.028026,0.04138,-0.021035,0,0,
andy90,9,0.033412,0.0998,0.093273,0.137979,-0.066388,-0.059861,-0.104567,0,0,
deepHLApan,9,0.051648,0.005064,0.044637,0.032293,0.046584,0.007011,0.019355,0,0,
netMHCpan_BA,9,0.391691,0.432223,0.423988,0.420149,-0.040531,-0.032297,-0.028458,0,0,
netMHCpan_EL,9,0.178944,0.21534,0.22812,0.237365,-0.036396,-0.049175,-0.058421,0,0,
netMHCstabpan,9,0.233745,0.203705,0.1643,0.217093,0.03004,0.069445,0.016652,0,0,
pTuneos,9,0.162326,0.147856,0.192487,0.149926,0.01447,-0.030162,0.0124,0,0,
