op,name,mean_absXZ,mean_delta,n_tools
sum,sum 求和,0.6138041468538961,0.1366428785371516,27
topk_k1_a0,max (top-1),0.14655460604184667,0.021196917855421993,27
softmax_T0p05,softmax T=0.05,0.10998992962762308,0.010927702916315259,27
topk_k3_a0,top-3 均值,0.18546309478538417,0.026852457935567904,27
rankdecay_g5,rankdecay γ=5,0.10676872644241718,-0.005602732872177091,27
topk_k8_a0,top-8 均值,0.23561109561860397,0.04476884051982511,27
softmax_T1,softmax T=1,0.09911925018088118,-0.004392869497219038,27
topk_k20_a0,top-20 均值,0.23994998195795872,0.04829409302567465,27
topk_k100_a0,top-100 (≈mean),0.10110524893747164,-0.011396339487287398,27
mean,mean 均值,0.1190239333350168,0.014848420660915984,27
geomean,geomean,0.1595226527803447,-0.012843187940034351,27
