Tool,n_patients,rho_global,fisherz_weighted,fisherz_ci_lo,fisherz_ci_hi,fisherz_n_used,fisherz_n_dropped,median,simple_mean,hs_weighted,geometric_mean,power_mean_p2,uwls3,rho_min,rho_max,rho_std,rho_p101,n_p101,rho_p102,n_p102,rho_p104,n_p104,rho_p105,n_p105,rho_p106,n_p106,rho_p107,n_p107,rho_p108,n_p108,rho_p109,n_p109,rho_p110,n_p110
DeepImmuno,9,-0.089,0.0151,-0.2135,0.2421,9,0,-0.05,0.033,0.0204,0.0012,0.0651,0.0209,-0.3297,0.5088,0.275,-0.05,9,0.2,6,0.3234,14,-0.1676,16,-0.3297,13,0.119,8,0.5088,12,-0.227,10,-0.0798,13
PredIG,9,0.2005,0.2286,-0.0032,0.4371,9,0,0.2912,0.1954,0.214,0.1286,0.2449,0.2205,-0.5394,0.6442,0.3687,0.6442,9,-0.0857,6,0.1716,14,0.4206,16,0.2912,13,0.4762,8,-0.063,12,-0.5394,10,0.4429,13
IMPROVE,9,0.2518,0.2502,0.0209,0.4545,9,0,0.2684,0.2103,0.2368,0.1785,0.2399,0.2382,-0.1905,0.5125,0.2858,0.0848,9,0.4857,6,0.2684,14,0.5125,16,0.5055,13,-0.1905,8,-0.1228,12,-0.0554,10,0.4044,13
NeoTImmuML,9,0.0218,0.0328,-0.194,0.2562,9,0,0.0578,0.0357,0.0335,0.0189,0.052,0.0338,-0.2845,0.3497,0.1952,-0.2845,9,0.2571,6,-0.0352,14,0.0706,16,-0.022,13,-0.1667,8,0.0947,12,0.3497,10,0.0578,13
pTuneos,9,0.1186,0.1206,-0.112,0.3408,9,0,0.0982,0.1215,0.1185,0.0767,0.1652,0.122,-0.3159,0.6528,0.3352,-0.2236,9,0.488,6,0.3866,14,-0.1808,16,0.6528,13,0.0982,8,0.0294,12,-0.3159,10,0.1592,13
PRIME,9,0.1582,0.2794,0.0499,0.4809,9,0,0.4396,0.2343,0.2616,0.1811,0.2775,0.2672,-0.3333,0.5259,0.3493,-0.0509,9,0.4857,6,0.5259,14,0.3859,16,0.4396,13,-0.3333,8,-0.2702,12,0.4724,10,0.4539,13
ImmuneApp,9,0.0789,0.1572,-0.0762,0.3741,9,0,0.1309,0.1466,0.1515,0.1021,0.1903,0.1547,-0.2455,0.5931,0.3389,0.5477,9,0.1309,6,-0.2419,14,0.5931,16,0.1865,13,-0.2455,8,-0.0673,12,0.523,10,-0.1074,13
deepHLApan,9,0.0016,0.2243,-0.0074,0.4331,9,0,0.2393,0.1957,0.2025,0.1358,0.253,0.2237,-0.3714,0.9,0.3973,0.9,9,-0.3714,6,-0.0882,14,0.4728,16,0.4017,13,0.4286,8,-0.0807,12,0.2393,10,-0.1405,13
HLAthena,8,0.0907,-0.0109,-0.2487,0.2282,8,0,-0.0921,-0.0583,-0.0227,-0.1158,-0.0044,-0.0267,-0.5476,0.5,0.3454,,0,-0.3143,6,0.0088,14,-0.2962,16,0.5,13,-0.5476,8,-0.193,12,0.0923,10,0.2834,13
BigMHC,9,-0.041,-0.0138,-0.2415,0.2153,9,0,0.0286,0.0057,-0.0096,-0.0712,0.0738,-0.0061,-0.619,0.7714,0.3993,0.1695,9,0.7714,6,0.0286,14,0.2903,16,-0.3901,13,-0.619,8,-0.1366,12,-0.1043,10,0.0413,13
CNNeo,9,0.0853,-0.2037,-0.4133,0.0264,9,0,-0.2932,-0.2156,-0.2045,-0.2492,-0.1765,-0.209,-0.4867,0.3892,0.266,-0.4427,9,-0.3769,6,-0.2932,14,-0.1857,16,-0.1302,13,-0.3395,8,-0.4867,12,0.3892,10,-0.0748,13
IEDB_Calis,9,0.0962,0.1124,-0.1205,0.3336,9,0,0.0476,0.2049,0.1262,0.1425,0.2689,0.1535,-0.3454,0.8857,0.4219,0.8333,9,0.8857,6,-0.3454,14,0.0383,16,-0.0824,13,0.0476,8,0.2767,12,0.3171,10,-0.1264,13
MHCflurry_presentation,9,0.0981,0.1236,-0.1076,0.3421,9,0,0.1169,0.1354,0.1246,0.0951,0.1774,0.1296,-0.2143,0.7714,0.3304,-0.1017,9,0.7714,6,-0.1012,14,0.2992,16,0.3956,13,-0.2143,8,-0.214,12,0.1169,10,0.2669,13
MHCflurry_affinity_neg,9,0.128,0.2027,-0.0283,0.4132,9,0,0.2571,0.1605,0.189,0.1261,0.1916,0.1898,-0.3221,0.5254,0.2865,-0.3221,9,0.2571,6,0.0308,14,0.4112,16,0.4341,13,-0.0476,8,-0.1088,12,0.2646,10,0.5254,13
Repitope,9,0.0835,0.1193,-0.112,0.3383,9,0,0.1429,0.1567,0.1269,0.1186,0.1937,0.1334,-0.3262,0.7381,0.3129,0.2833,9,0.1429,6,0.0352,14,-0.1046,16,-0.044,13,0.7381,8,0.3853,12,-0.3262,10,0.2999,13
netmhcpan_ba,9,0.0901,0.1549,-0.0789,0.3726,9,0,0.0528,0.0928,0.1345,0.0339,0.1462,0.1356,-0.4246,0.5461,0.3668,-0.1526,9,-0.0857,6,0.0528,14,0.3387,16,0.5385,13,-0.3333,8,-0.4246,12,0.5461,10,0.3549,13
TSCAPE,9,-0.1386,0.0005,-0.2258,0.2267,9,0,0.0246,-0.0129,-0.0028,-0.0309,0.0051,-0.004,-0.2692,0.3579,0.201,0.0678,9,0.1429,6,0.0484,14,0.3579,16,-0.2692,13,-0.119,8,0.0246,12,-0.2675,10,-0.1018,13
ICERFIRE,9,0.2828,0.3077,0.0777,0.5066,9,0,0.3865,0.2706,0.2922,0.2385,0.2993,0.2973,-0.207,0.6244,0.2881,0.1695,9,0.4,4,0.143,14,0.6244,16,0.5714,13,-0.0952,8,-0.207,12,0.3865,10,0.4429,13
NetTepi,8,0.0358,0.0234,-0.2082,0.2526,8,0,0.022,0.0349,0.026,0.0146,0.0526,0.0272,-0.3614,0.3022,0.206,0.2034,9,,1,0.044,14,-0.0589,16,0.3022,13,0.0,8,-0.3614,12,0.1908,10,-0.0413,13
BigMHC_EL,8,0.0862,0.1076,-0.1297,0.3333,8,0,0.1315,0.052,0.0905,-0.0215,0.1061,0.0914,-0.5952,0.5385,0.3654,0.1017,9,,1,0.2288,14,0.1341,16,0.5385,13,-0.5952,8,-0.3825,12,0.1288,10,0.2613,13
MHCnuggets,8,0.094,0.2024,-0.0355,0.4186,8,0,0.2173,0.1976,0.1943,0.1381,0.2497,0.2042,-0.4175,0.7301,0.3815,0.4068,9,,1,-0.0418,14,0.2504,16,0.5879,13,-0.119,8,-0.4175,12,0.7301,10,0.1843,13
TransHLA,9,0.1171,0.0675,-0.1668,0.2946,9,0,0.0184,0.0944,0.0722,0.0192,0.1627,0.0783,-0.4906,0.7143,0.4166,0.2543,9,0.7143,6,-0.4906,14,0.43,16,0.544,13,-0.2381,8,-0.3363,12,0.0184,10,-0.0468,13
