Tool,Aggregation,Threshold,fpr,tpr,auc
DeepImmuno,max,>0,0.0,0.0,0.4813
DeepImmuno,max,>0,0.0,0.011111111111111112,0.4813
DeepImmuno,max,>0,0.0,0.05555555555555555,0.4813
DeepImmuno,max,>0,0.09090909090909091,0.05555555555555555,0.4813
DeepImmuno,max,>0,0.09090909090909091,0.08888888888888889,0.4813
DeepImmuno,max,>0,0.09090909090909091,0.14444444444444443,0.4813
DeepImmuno,max,>0,0.18181818181818182,0.14444444444444443,0.4813
DeepImmuno,max,>0,0.18181818181818182,0.25555555555555554,0.4813
DeepImmuno,max,>0,0.36363636363636365,0.25555555555555554,0.4813
DeepImmuno,max,>0,0.36363636363636365,0.36666666666666664,0.4813
DeepImmuno,max,>0,0.45454545454545453,0.36666666666666664,0.4813
DeepImmuno,max,>0,0.45454545454545453,0.4222222222222222,0.4813
DeepImmuno,max,>0,0.5454545454545454,0.4222222222222222,0.4813
DeepImmuno,max,>0,0.5454545454545454,0.5888888888888889,0.4813
DeepImmuno,max,>0,0.6363636363636364,0.5888888888888889,0.4813
DeepImmuno,max,>0,0.6363636363636364,0.6444444444444445,0.4813
DeepImmuno,max,>0,0.7272727272727273,0.6444444444444445,0.4813
DeepImmuno,max,>0,0.7272727272727273,0.7333333333333333,0.4813
DeepImmuno,max,>0,0.8181818181818182,0.7333333333333333,0.4813
DeepImmuno,max,>0,0.8181818181818182,0.7888888888888889,0.4813
DeepImmuno,max,>0,0.8181818181818182,0.8111111111111111,0.4813
DeepImmuno,max,>0,0.8181818181818182,0.9,0.4813
DeepImmuno,max,>0,0.9090909090909091,0.9,0.4813
DeepImmuno,max,>0,0.9090909090909091,0.9222222222222223,0.4813
DeepImmuno,max,>0,1.0,0.9333333333333333,0.4813
DeepImmuno,max,>0,1.0,1.0,0.4813
DeepImmuno,max,>10,0.0,0.0,0.5188
DeepImmuno,max,>10,0.0,0.015625,0.5188
DeepImmuno,max,>10,0.0,0.03125,0.5188
DeepImmuno,max,>10,0.02702702702702703,0.03125,0.5188
DeepImmuno,max,>10,0.02702702702702703,0.0625,0.5188
DeepImmuno,max,>10,0.05405405405405406,0.0625,0.5188
DeepImmuno,max,>10,0.10810810810810811,0.078125,0.5188
DeepImmuno,max,>10,0.10810810810810811,0.125,0.5188
DeepImmuno,max,>10,0.13513513513513514,0.125,0.5188
DeepImmuno,max,>10,0.13513513513513514,0.140625,0.5188
DeepImmuno,max,>10,0.16216216216216217,0.140625,0.5188
DeepImmuno,max,>10,0.16216216216216217,0.1875,0.5188
DeepImmuno,max,>10,0.1891891891891892,0.1875,0.5188
DeepImmuno,max,>10,0.1891891891891892,0.28125,0.5188
DeepImmuno,max,>10,0.2702702702702703,0.28125,0.5188
DeepImmuno,max,>10,0.2702702702702703,0.3125,0.5188
DeepImmuno,max,>10,0.2972972972972973,0.3125,0.5188
DeepImmuno,max,>10,0.2972972972972973,0.34375,0.5188
DeepImmuno,max,>10,0.32432432432432434,0.34375,0.5188
DeepImmuno,max,>10,0.32432432432432434,0.390625,0.5188
DeepImmuno,max,>10,0.35135135135135137,0.390625,0.5188
DeepImmuno,max,>10,0.35135135135135137,0.46875,0.5188
DeepImmuno,max,>10,0.40540540540540543,0.46875,0.5188
DeepImmuno,max,>10,0.40540540540540543,0.484375,0.5188
DeepImmuno,max,>10,0.4864864864864865,0.484375,0.5188
DeepImmuno,max,>10,0.4864864864864865,0.515625,0.5188
DeepImmuno,max,>10,0.5675675675675675,0.515625,0.5188
DeepImmuno,max,>10,0.5675675675675675,0.578125,0.5188
