# count-confound diagnostic: |rho(pooled_score, n_subpep)| > 0.5 => count_confounded=True; sum ~0.75 (must True); 参考 n_subpep↔Elispot≈0.16, Peptide_Length↔Elispot≈0.31
Tool,Pooling,rho_pooled_vs_nsubpep,n_pep
BigMHC,max,0.2401,101
BigMHC,mean,-0.1025,101
BigMHC,top3mean,0.2544,101
BigMHC,sum,0.4353,101
BigMHC,geomean,-0.0672,101
BigMHC,softmax,-0.0874,101
BigMHC,topk_w,0.2493,101
BigMHC,rankdecay,0.2501,101
CNNeo,max,0.472,101
CNNeo,mean,0.3284,101
CNNeo,top3mean,0.4916,101
CNNeo,sum,0.9874,101
CNNeo,geomean,0.4316,101
CNNeo,softmax,0.1685,101
CNNeo,topk_w,0.4928,101
CNNeo,rankdecay,0.493,101
DeepImmuno,max,0.3558,101
DeepImmuno,mean,-0.0249,101
DeepImmuno,top3mean,0.3627,101
DeepImmuno,sum,0.9674,101
DeepImmuno,geomean,-0.0239,101
DeepImmuno,softmax,0.0082,101
DeepImmuno,topk_w,0.3736,101
DeepImmuno,rankdecay,0.3756,101
HLAthena,max,0.3227,92
HLAthena,mean,0.22,92
HLAthena,top3mean,0.5704,92
HLAthena,sum,0.8293,92
HLAthena,geomean,0.2791,92
HLAthena,softmax,0.172,92
HLAthena,topk_w,0.5767,92
HLAthena,rankdecay,0.552,92
IEDB_Calis,max,0.1782,101
IEDB_Calis,mean,0.0666,101
IEDB_Calis,top3mean,0.2041,101
IEDB_Calis,sum,-0.0268,101
IEDB_Calis,geomean,0.2683,101
IEDB_Calis,softmax,0.098,101
IEDB_Calis,topk_w,0.2063,101
IEDB_Calis,rankdecay,0.2006,101
IMPROVE,max,0.1242,101
IMPROVE,mean,0.2082,101
IMPROVE,top3mean,0.1584,101
IMPROVE,sum,0.9822,101
IMPROVE,geomean,0.2151,101
IMPROVE,softmax,0.2024,101
IMPROVE,topk_w,0.1488,101
IMPROVE,rankdecay,0.1515,101
ImmuneApp,max,0.2674,101
ImmuneApp,mean,-0.1354,101
ImmuneApp,top3mean,0.2642,101
ImmuneApp,sum,0.6101,101
ImmuneApp,geomean,-0.118,101
ImmuneApp,softmax,-0.1316,101
ImmuneApp,topk_w,0.2933,101
ImmuneApp,rankdecay,0.3385,101
MHCflurry_affinity_neg,max,0.2642,101
MHCflurry_affinity_neg,mean,-0.2957,101
MHCflurry_affinity_neg,top3mean,0.4878,101
MHCflurry_affinity_neg,sum,-0.9855,101
MHCflurry_affinity_neg,geomean,-0.0097,101
MHCflurry_affinity_neg,softmax,0.265,101
MHCflurry_affinity_neg,topk_w,0.5659,101
MHCflurry_affinity_neg,rankdecay,0.5762,101
MHCflurry_presentation,max,0.136,101
MHCflurry_presentation,mean,-0.0646,101
MHCflurry_presentation,top3mean,0.3334,101
MHCflurry_presentation,sum,0.6812,101
MHCflurry_presentation,geomean,-0.0735,101
MHCflurry_presentation,softmax,-0.061,101
MHCflurry_presentation,topk_w,0.3598,101
MHCflurry_presentation,rankdecay,0.3425,101
NeoTImmuML,max,-0.1301,101
NeoTImmuML,mean,0.0627,101
NeoTImmuML,top3mean,-0.1301,101
NeoTImmuML,sum,0.8867,101
NeoTImmuML,geomean,0.4627,101
NeoTImmuML,softmax,-0.0077,101
NeoTImmuML,topk_w,-0.1021,101
NeoTImmuML,rankdecay,-0.1164,101
PRIME,max,0.1639,101
PRIME,mean,-0.0707,101
PRIME,top3mean,0.2416,101
PRIME,sum,0.6732,101
PRIME,geomean,-0.0453,101
PRIME,softmax,-0.0703,101
PRIME,topk_w,0.2381,101
PRIME,rankdecay,0.2264,101
PredIG,max,0.3454,101
PredIG,mean,0.2167,101
PredIG,top3mean,0.3582,101
PredIG,sum,0.6202,101
PredIG,geomean,0.2644,101
PredIG,softmax,0.2246,101
PredIG,topk_w,0.3726,101
PredIG,rankdecay,0.3669,101
Repitope,max,0.114,101
Repitope,mean,0.0466,101
Repitope,top3mean,0.114,101
Repitope,sum,0.9232,101
Repitope,geomean,0.0323,101
Repitope,softmax,0.0475,101
Repitope,topk_w,0.128,101
Repitope,rankdecay,0.1211,101
TSCAPE,max,0.4265,101
TSCAPE,mean,0.0601,101
TSCAPE,top3mean,0.4543,101
TSCAPE,sum,0.8229,101
TSCAPE,geomean,-0.0225,101
TSCAPE,softmax,0.0882,101
TSCAPE,topk_w,0.4594,101
TSCAPE,rankdecay,0.4582,101
deepHLApan,max,0.534,101
deepHLApan,mean,0.1698,101
deepHLApan,top3mean,0.5461,101
deepHLApan,sum,0.9169,101
deepHLApan,geomean,0.0485,101
deepHLApan,softmax,0.2448,101
deepHLApan,topk_w,0.5442,101
deepHLApan,rankdecay,0.5425,101
netmhcpan_ba,max,0.3288,101
netmhcpan_ba,mean,-0.0394,101
netmhcpan_ba,top3mean,0.402,101
netmhcpan_ba,sum,0.8038,101
netmhcpan_ba,geomean,-0.0476,101
netmhcpan_ba,softmax,-0.0223,101
netmhcpan_ba,topk_w,0.3803,101
netmhcpan_ba,rankdecay,0.3839,101
pTuneos,max,0.1364,101
pTuneos,mean,-0.0892,101
pTuneos,top3mean,0.1948,101
pTuneos,sum,0.2294,101
pTuneos,geomean,-0.1032,101
pTuneos,softmax,-0.0782,101
pTuneos,topk_w,0.165,101
pTuneos,rankdecay,0.1565,101
