Tool,Pooling,n_pep,Spearman_rho,Spearman_pval,pval_note,count_confounded,pending_DTU_consent,reinference_pending,hlathena_caveat
BigMHC,max,101,-0.041,0.6831,normal_approx_t,False,False,True,False
BigMHC,mean,101,-0.0942,0.3462,normal_approx_t,False,False,True,False
BigMHC,top3mean,101,-0.0396,0.6935,normal_approx_t,False,False,True,False
BigMHC,sum,101,0.0776,0.4384,normal_approx_t,False,False,True,False
BigMHC,geomean,101,-0.0991,0.3218,normal_approx_t,False,False,True,False
BigMHC,softmax,101,-0.0933,0.3511,normal_approx_t,False,False,True,False
BigMHC,topk_w,101,-0.0291,0.772,normal_approx_t,False,False,True,False
BigMHC,rankdecay,101,-0.037,0.7125,normal_approx_t,False,False,True,False
CNNeo,max,101,0.0853,0.3943,normal_approx_t,False,False,True,False
CNNeo,mean,101,-0.1086,0.2772,normal_approx_t,False,False,True,False
CNNeo,top3mean,101,0.0733,0.4644,normal_approx_t,False,False,True,False
CNNeo,sum,101,0.1314,0.1873,normal_approx_t,True,False,True,False
CNNeo,geomean,101,-0.1477,0.1373,normal_approx_t,False,False,True,False
CNNeo,softmax,101,-0.0756,0.4508,normal_approx_t,False,False,True,False
CNNeo,topk_w,101,0.0739,0.4611,normal_approx_t,False,False,True,False
CNNeo,rankdecay,101,0.0777,0.438,normal_approx_t,False,False,True,False
DeepImmuno,max,101,-0.089,0.374,normal_approx_t,False,False,True,False
DeepImmuno,mean,101,-0.1099,0.2713,normal_approx_t,False,False,True,False
DeepImmuno,top3mean,101,-0.0948,0.3436,normal_approx_t,False,False,True,False
DeepImmuno,sum,101,0.1153,0.2483,normal_approx_t,True,False,True,False
DeepImmuno,geomean,101,-0.0808,0.42,normal_approx_t,False,False,True,False
DeepImmuno,softmax,101,-0.1089,0.2758,normal_approx_t,False,False,True,False
DeepImmuno,topk_w,101,-0.0859,0.3908,normal_approx_t,False,False,True,False
DeepImmuno,rankdecay,101,-0.0879,0.3801,normal_approx_t,False,False,True,False
HLAthena,max,92,0.0907,0.3873,normal_approx_t,False,False,True,True
HLAthena,mean,92,0.1851,0.074,normal_approx_t,False,False,True,True
HLAthena,top3mean,92,0.1921,0.0633,normal_approx_t,True,False,True,True
HLAthena,sum,92,0.1895,0.0672,normal_approx_t,True,False,True,True
HLAthena,geomean,92,0.3298,0.0009,normal_approx_t,False,False,True,True
HLAthena,softmax,92,0.1567,0.1324,normal_approx_t,False,False,True,True
HLAthena,topk_w,92,0.2032,0.049,normal_approx_t,True,False,True,True
HLAthena,rankdecay,92,0.1956,0.0584,normal_approx_t,True,False,True,True
IEDB_Calis,max,101,0.0962,0.3363,normal_approx_t,False,False,True,False
IEDB_Calis,mean,101,0.0023,0.982,normal_approx_t,False,False,True,False
IEDB_Calis,top3mean,101,0.0944,0.3456,normal_approx_t,False,False,True,False
IEDB_Calis,sum,101,-0.0327,0.7448,normal_approx_t,False,False,True,False
IEDB_Calis,geomean,101,0.1216,0.2227,normal_approx_t,False,False,True,False
IEDB_Calis,softmax,101,0.0053,0.9583,normal_approx_t,False,False,True,False
IEDB_Calis,topk_w,101,0.0934,0.3504,normal_approx_t,False,False,True,False
IEDB_Calis,rankdecay,101,0.0988,0.3231,normal_approx_t,False,False,True,False
IMPROVE,max,101,0.2518,0.0096,normal_approx_t,False,False,True,False
IMPROVE,mean,101,0.2102,0.0324,normal_approx_t,False,False,True,False
IMPROVE,top3mean,101,0.3227,0.0007,normal_approx_t,False,False,True,False
IMPROVE,sum,101,0.1777,0.0723,normal_approx_t,True,False,True,False
IMPROVE,geomean,101,0.2013,0.0408,normal_approx_t,False,False,True,False
IMPROVE,softmax,101,0.2134,0.0298,normal_approx_t,False,False,True,False
IMPROVE,topk_w,101,0.3105,0.0012,normal_approx_t,False,False,True,False
IMPROVE,rankdecay,101,0.3104,0.0012,normal_approx_t,False,False,True,False
ImmuneApp,max,101,0.0789,0.4311,normal_approx_t,False,False,True,False
ImmuneApp,mean,101,0.0693,0.4895,normal_approx_t,False,False,True,False
ImmuneApp,top3mean,101,0.0922,0.3569,normal_approx_t,False,False,True,False
ImmuneApp,sum,101,0.1408,0.1571,normal_approx_t,True,False,True,False
ImmuneApp,geomean,101,0.1345,0.1768,normal_approx_t,False,False,True,False
ImmuneApp,softmax,101,0.0681,0.497,normal_approx_t,False,False,True,False
ImmuneApp,topk_w,101,0.1018,0.3088,normal_approx_t,False,False,True,False
ImmuneApp,rankdecay,101,0.0972,0.3313,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,max,101,0.128,0.199,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,mean,101,-0.2684,0.0056,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,top3mean,101,0.2348,0.0162,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,sum,101,-0.1796,0.0692,normal_approx_t,True,False,True,False
MHCflurry_affinity_neg,geomean,101,-0.1967,0.0459,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,softmax,101,0.1287,0.1966,normal_approx_t,False,False,True,False
MHCflurry_affinity_neg,topk_w,101,0.184,0.0625,normal_approx_t,True,False,True,False
MHCflurry_affinity_neg,rankdecay,101,0.1836,0.0631,normal_approx_t,True,False,True,False
MHCflurry_presentation,max,101,0.0981,0.3266,normal_approx_t,False,False,True,False
MHCflurry_presentation,mean,101,0.1297,0.1931,normal_approx_t,False,False,True,False
MHCflurry_presentation,top3mean,101,0.1711,0.084,normal_approx_t,False,False,True,False
MHCflurry_presentation,sum,101,0.1873,0.0578,normal_approx_t,True,False,True,False
MHCflurry_presentation,geomean,101,0.1673,0.0912,normal_approx_t,False,False,True,False
MHCflurry_presentation,softmax,101,0.1241,0.2133,normal_approx_t,False,False,True,False
MHCflurry_presentation,topk_w,101,0.1625,0.1014,normal_approx_t,False,False,True,False
MHCflurry_presentation,rankdecay,101,0.1681,0.0897,normal_approx_t,False,False,True,False
NeoTImmuML,max,101,0.0218,0.8281,normal_approx_t,False,False,False,False
NeoTImmuML,mean,101,0.0966,0.3341,normal_approx_t,False,False,False,False
NeoTImmuML,top3mean,101,0.0218,0.8281,normal_approx_t,False,False,False,False
NeoTImmuML,sum,101,0.1641,0.0979,normal_approx_t,True,False,False,False
NeoTImmuML,geomean,101,0.1591,0.1089,normal_approx_t,False,False,False,False
NeoTImmuML,softmax,101,0.0773,0.4405,normal_approx_t,False,False,False,False
NeoTImmuML,topk_w,101,0.0245,0.807,normal_approx_t,False,False,False,False
NeoTImmuML,rankdecay,101,0.0297,0.7676,normal_approx_t,False,False,False,False
PRIME,max,101,0.1582,0.1109,normal_approx_t,False,False,True,False
PRIME,mean,101,0.1767,0.074,normal_approx_t,False,False,True,False
PRIME,top3mean,101,0.2143,0.029,normal_approx_t,False,False,True,False
PRIME,sum,101,0.2485,0.0107,normal_approx_t,True,False,True,False
